openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,88.35000000,90.83200000,84.64500000,90.71100000,193634.03500000,1609545599999,17001837.88475900,44292,100400.79800000,8826547.57294000,0
2021-01-02,90.82700000,91.99000000,82.47300000,85.76800000,199756.52900000,1609631999999,17183606.94688000,44071,91318.92900000,7855963.02171700,0
2021-01-03,85.75400000,95.00000000,81.29100000,93.77800000,290702.54100000,1609718399999,25860355.24970900,61139,154732.92300000,13806881.31947100,0
2021-01-04,93.78900000,115.52200000,86.01000000,114.27100000,658257.70800000,1609804799999,67203089.09183600,165478,354393.19100000,36258782.18062300,0
2021-01-05,114.23100000,123.96200000,98.41000000,119.68900000,517557.04300000,1609891199999,58313817.94618300,140671,260680.86000000,29466274.22220300,0
2021-01-06,119.68600000,120.50000000,107.75200000,115.19100000,303818.95400000,1609977599999,34949794.39867800,88646,150252.40700000,17304891.45056100,0
2021-01-07,115.30900000,129.00000000,107.89000000,114.82300000,409727.42600000,1610063999999,48445383.17331500,117440,214288.33700000,25426092.07174700,0
2021-01-08,114.99900000,119.37000000,100.00000000,110.48100000,302116.47100000,1610150399999,33409728.60556500,99049,145860.91800000,16144881.84360600,0
2021-01-09,110.72100000,119.21900000,105.91800000,117.47900000,230440.99600000,1610236799999,26073657.04721900,65631,119211.56400000,13512165.52761700,0
2021-01-10,117.61100000,135.99000000,111.43000000,127.00700000,470126.59900000,1610323199999,58640036.52495200,139044,244798.69200000,30596271.88305100,0
2021-01-11,126.90000000,127.28700000,94.02000000,114.21200000,571386.72500000,1610409599999,63078257.00217500,180071,283658.88500000,31408027.29512800,0
2021-01-12,114.28300000,135.75400000,109.10000000,127.76500000,476089.84100000,1610495999999,58907294.73428700,135723,242193.21200000,30010090.74570000,0
2021-01-13,127.66100000,147.92800000,119.83800000,146.81100000,426638.76000000,1610582399999,57961124.05729300,134779,215961.75000000,29362543.24241100,0
2021-01-14,146.81800000,154.94400000,139.14100000,147.53000000,250449.03000000,1610668799999,36545460.18486500,83054,128373.08600000,18749369.75835600,0
2021-01-15,147.69500000,169.59900000,139.50000000,166.51300000,355799.39100000,1610755199999,54835078.53485100,123222,176966.34200000,27310031.71249600,0
2021-01-16,166.41500000,203.49800000,166.35000000,181.41700000,571037.75100000,1610841599999,106843388.14754000,217546,281887.93200000,52788108.19740800,0
2021-01-17,181.32600000,198.92700000,174.18100000,186.32300000,348083.53300000,1610927999999,65718279.64045800,147294,178089.19400000,33563677.78145600,0
2021-01-18,186.25300000,200.69600000,180.50000000,200.05400000,228058.11200000,1611014399999,43117879.84910100,98115,112734.05300000,21344973.65972900,0
2021-01-19,200.05400000,209.98000000,183.90000000,186.07900000,290743.12400000,1611100799999,57959750.21558600,122735,142468.70100000,28469880.03927800,0
2021-01-20,185.88200000,199.22900000,171.34600000,196.73300000,277923.43600000,1611187199999,51639229.69336700,118123,141839.65400000,26371400.93819900,0
2021-01-21,196.78700000,199.28500000,155.21000000,160.32100000,454780.95700000,1611273599999,78794860.30594400,172678,214442.77100000,37142177.53417900,0
2021-01-22,160.29000000,199.31800000,147.27000000,189.59200000,333628.87700000,1611359999999,60154623.68819000,139194,164629.87900000,29732483.31986300,0
2021-01-23,189.59700000,220.00000000,185.54800000,213.30400000,290322.73400000,1611446399999,59474583.25961000,129168,148291.16100000,30398474.49659800,0
2021-01-24,213.37300000,288.90000000,212.19400000,264.40100000,705578.74400000,1611532799999,178495333.85086400,291424,362883.85400000,91861472.06747200,0
2021-01-25,264.52600000,283.00000000,238.00000000,247.64700000,502590.09200000,1611619199999,130151766.95921400,238790,244654.67700000,63396152.23682200,0
2021-01-26,247.50600000,287.99800000,240.29000000,277.66100000,464004.53100000,1611705599999,122811169.10006900,214201,239007.07700000,63291157.01331700,0
2021-01-27,277.65300000,298.57600000,255.00000000,286.00000000,526131.38100000,1611791999999,145486899.75097100,244790,264740.80400000,73294068.91711400,0
2021-01-28,286.20800000,308.89900000,275.00000000,297.20900000,364117.93000000,1611878399999,105275554.11707000,157793,185234.67400000,53630340.34867600,0
2021-01-29,297.55400000,308.37300000,271.27400000,287.80000000,359239.90000000,1611964799999,104226658.39307900,181952,174179.98200000,50582198.84773100,0
2021-01-30,288.00600000,323.70300000,282.00000000,314.79100000,282329.49800000,1612051199999,85317876.92941300,141394,141095.68300000,42689544.16076500,0
2021-01-31,315.12400000,319.00000000,290.00000000,299.60100000,186022.76800000,1612137599999,56581465.34170700,99325,86322.90000000,26277655.23885400,0
2021-02-01,299.97500000,307.36600000,283.60700000,294.95400000,202277.08300000,1612223999999,59554714.01417000,101841,94996.22100000,28002454.99815000,0
2021-02-02,295.28100000,307.00000000,285.66500000,302.98700000,197749.28400000,1612310399999,58394762.96228000,99727,98946.28300000,29249061.66543500,0
2021-02-03,302.99500000,388.50000000,300.49000000,384.49900000,348001.69900000,1612396799999,116986485.90244600,202369,173297.09300000,58238635.60037300,0
2021-02-04,384.21700000,520.18200000,384.21700000,466.58200000,1031523.19100000,1612483199999,460051699.13453300,616461,519249.28200000,231604494.86683800,0
2021-02-05,466.58200000,542.54300000,464.84000000,505.37600000,436865.87200000,1612569599999,220708372.17936700,321539,222792.32900000,112674834.62414100,0
2021-02-06,505.63400000,510.12300000,432.43800000,473.93600000,428312.32200000,1612655999999,202152806.31787400,306270,206844.09300000,97598576.93718700,0
2021-02-07,473.88900000,482.13000000,392.50000000,472.90700000,352083.24700000,1612742399999,155430748.68683800,235711,169327.77900000,74849878.43397500,0
2021-02-08,473.12500000,531.01000000,462.19100000,489.29400000,387242.33200000,1612828799999,193008722.37662800,275829,192568.73100000,96022739.54716500,0
2021-02-09,488.82500000,510.64900000,471.00000000,488.21800000,253535.25900000,1612915199999,124262888.94911000,185350,126687.95200000,62121359.72088600,0
2021-02-10,488.28000000,581.66700000,488.00000000,523.49700000,428773.25300000,1613001599999,228813157.84912800,343973,218946.88100000,117052187.63392400,0
2021-02-11,523.34000000,541.82700000,507.43400000,517.18900000,163767.73100000,1613087999999,86035492.01009900,125947,78581.29600000,41304077.40102400,0
2021-02-12,517.60000000,544.15200000,499.00300000,528.32500000,177878.28500000,1613174399999,92701093.19756000,128593,89332.63000000,46608233.35646200,0
2021-02-13,528.32600000,543.61900000,484.68500000,494.73200000,182381.46400000,1613260799999,92899910.86362000,130037,90282.93900000,45996401.84654400,0
2021-02-14,494.38700000,509.29800000,460.28000000,468.52500000,137670.97600000,1613347199999,66471257.21857500,106905,66389.72800000,32060487.25563000,0
2021-02-15,468.43000000,497.00000000,380.00000000,455.66600000,350475.31100000,1613433599999,158264814.52515400,225290,186425.84300000,84483169.46828200,0
2021-02-16,455.76600000,478.87500000,421.17900000,432.36400000,247618.86900000,1613519999999,110057601.05557900,151584,128832.33400000,57161423.14603200,0
2021-02-17,432.24100000,469.00000000,400.00000000,451.33300000,273023.56400000,1613606399999,117981454.39125500,174930,136436.11500000,59016257.04899400,0
2021-02-18,451.83500000,480.00000000,434.41100000,441.50300000,216935.09200000,1613692799999,99719425.43734300,134742,106016.61500000,48791272.92075800,0
2021-02-19,441.25800000,452.03000000,405.21300000,419.60400000,279827.88700000,1613779199999,119861909.58079700,171569,126228.26800000,54127647.45669400,0
2021-02-20,419.58800000,498.00000000,405.60000000,441.10800000,633739.33300000,1613865599999,292872534.16290100,371941,320535.74500000,148353621.50956100,0
2021-02-21,441.05500000,454.82400000,424.00600000,436.96500000,220938.51500000,1613951999999,97373952.78925700,145848,109160.92700000,48135318.64232700,0
2021-02-22,436.98600000,448.61100000,347.90700000,400.00000000,395236.16400000,1614038399999,160801715.12905400,246485,194113.87000000,79057445.19828600,0
2021-02-23,400.35000000,404.05200000,284.62700000,364.25800000,585503.05300000,1614124799999,198787341.25102000,305571,282699.72800000,96095453.70287600,0
2021-02-24,364.03100000,406.00000000,341.52700000,367.50300000,318085.95300000,1614211199999,121668006.23715700,202702,158951.47200000,60928469.25900200,0
2021-02-25,367.08600000,388.68800000,334.36000000,338.56300000,187331.60300000,1614297599999,68945167.61217400,114848,93231.64000000,34314746.66550400,0
2021-02-26,339.29900000,353.66800000,302.54900000,323.26800000,240591.26200000,1614383999999,79227621.85588800,137730,112288.83000000,36999748.36381900,0
2021-02-27,323.18200000,349.99800000,322.78700000,332.82400000,168185.16800000,1614470399999,56884807.71485600,106977,84926.49400000,28758595.04019600,0
2021-02-28,332.80800000,365.98000000,300.14000000,354.15500000,256054.90100000,1614556799999,84398747.62572500,149276,128146.52800000,42348512.71874000,0
2021-03-01,353.79100000,389.25500000,350.13400000,385.95200000,292520.86400000,1614643199999,109400921.72857500,167585,145884.12700000,54573487.42499700,0
2021-03-02,385.54500000,417.79100000,376.12200000,390.94600000,310310.83200000,1614729599999,121896938.04511800,169933,159525.65500000,62689585.65764300,0
2021-03-03,390.44400000,419.00000000,383.73400000,395.50100000,170228.24400000,1614815999999,68682406.43447600,102886,82047.30400000,33112409.89579200,0
2021-03-04,395.50200000,410.99800000,365.69100000,373.73300000,178117.31500000,1614902399999,69120232.09988700,100883,85231.61900000,33116080.74491800,0
2021-03-05,374.25100000,377.27500000,339.99000000,367.00500000,153319.43100000,1614988799999,54693741.80278100,91539,71819.99900000,25628907.19877500,0
2021-03-06,366.65800000,391.18100000,351.66400000,387.93400000,99771.41100000,1615075199999,37001714.56937700,65809,50386.42300000,18693256.82214300,0
2021-03-07,387.93500000,419.96000000,384.01200000,414.89000000,289459.79900000,1615161599999,117475690.40205500,188152,144457.55200000,58632101.20160200,0
2021-03-08,415.03300000,437.31500000,391.79900000,437.28200000,284970.59000000,1615247999999,117644375.09777900,167866,142885.60300000,59068469.56140600,0
2021-03-09,437.21200000,450.00000000,416.83300000,444.08800000,201434.13600000,1615334399999,86970136.10073600,135370,100866.77200000,43572123.42855300,0
2021-03-10,444.05900000,459.00000000,399.04200000,406.84800000,235481.22400000,1615420799999,100714851.13544200,168037,117401.99400000,50215129.85258800,0
2021-03-11,406.25200000,416.00000000,387.42800000,404.84600000,169000.49700000,1615507199999,68346629.02235500,106224,80251.83700000,32468439.13109700,0
2021-03-12,405.14200000,408.00000000,360.00000000,373.76300000,209409.99900000,1615593599999,79720491.83934000,115452,100907.97000000,38404659.13307700,0
2021-03-13,373.69400000,428.00000000,359.67400000,413.75900000,233935.37500000,1615679999999,92950717.67645800,129582,112943.44100000,44978964.22133000,0
2021-03-14,413.94800000,418.42700000,376.86600000,380.66900000,169324.94800000,1615766399999,66280536.53432700,101496,79835.91200000,31262945.61317900,0
2021-03-15,380.00900000,389.90400000,353.79100000,367.59200000,150620.01800000,1615852799999,56050171.23541400,88048,74335.47700000,27670668.92613100,0
2021-03-16,367.59200000,377.99900000,350.19400000,370.66600000,119804.40400000,1615939199999,43833626.74773000,73188,58158.74300000,21302446.43333400,0
2021-03-17,370.67400000,384.31900000,358.00000000,382.90000000,118430.40400000,1616025599999,43928897.91625900,68053,66427.81700000,24674487.82120000,0
2021-03-18,382.89900000,384.72000000,360.82200000,363.13300000,91231.72000000,1616111999999,33914018.54291200,51827,45816.37200000,17032150.36437300,0
2021-03-19,362.99100000,380.00000000,353.33900000,368.86100000,100318.81700000,1616198399999,37117068.74220200,60858,52026.63200000,19253359.86279500,0
2021-03-20,368.82600000,396.20000000,367.37500000,370.17100000,95874.82300000,1616284799999,36840923.71430400,66335,50823.84400000,19537561.37569800,0
2021-03-21,370.17100000,375.82300000,359.43200000,367.33900000,63351.06500000,1616371199999,23264295.86725700,42400,30172.14200000,11079618.52651900,0
2021-03-22,367.59700000,373.72000000,331.94800000,336.33500000,92905.14900000,1616457599999,33096036.62658600,73452,44424.13200000,15863320.45457500,0
2021-03-23,336.19500000,345.33700000,325.92400000,330.48900000,100615.91600000,1616543999999,33904399.56311900,60619,51024.28300000,17205100.40530500,0
2021-03-24,330.29900000,348.80200000,296.22500000,308.01900000,120517.59900000,1616630399999,39549884.17350700,88154,59404.23900000,19526986.51583200,0
2021-03-25,308.39400000,333.16800000,298.00000000,325.22300000,158041.74600000,1616716799999,49941389.36985900,108334,78375.11800000,24829157.84693100,0
2021-03-26,325.63400000,360.58600000,325.23600000,358.42800000,119722.20100000,1616803199999,41599531.20292000,90295,59597.59200000,20700096.93050200,0
2021-03-27,358.68200000,361.97500000,339.40800000,351.31900000,77996.41300000,1616889599999,27149520.16274200,52137,37783.58800000,13148939.84971000,0
2021-03-28,351.31500000,356.83000000,332.06000000,347.72100000,90141.86700000,1616975999999,31129472.05542200,54604,43398.23200000,14996101.11356400,0
2021-03-29,348.03600000,367.81900000,344.39000000,360.82700000,122881.97100000,1617062399999,43786205.29780000,75756,60360.72500000,21535267.52255700,0
2021-03-30,360.69400000,383.59900000,353.00000000,377.32800000,143158.50400000,1617148799999,53078573.07938400,86421,74058.33600000,27457355.70093900,0
2021-03-31,377.30500000,395.00000000,357.40100000,382.56700000,196426.49400000,1617235199999,74542637.70649800,127989,95322.88400000,36185558.71227700,0
2021-04-01,382.56700000,393.50000000,370.85100000,382.21600000,151457.54200000,1617321599999,58180598.31730600,91959,72580.91700000,27906773.70412300,0
2021-04-02,382.24900000,422.31200000,377.35300000,420.08200000,191826.84400000,1617407999999,76811150.04589400,125095,100731.35600000,40386710.75976900,0
2021-04-03,420.00000000,425.50000000,376.31400000,379.62200000,137624.37500000,1617494399999,55444876.92556500,109050,67531.18100000,27207875.71234800,0
2021-04-04,379.59800000,411.66400000,372.00000000,403.40000000,110604.90400000,1617580799999,43798822.55119500,74789,58444.85100000,23178319.63976400,0
2021-04-05,403.49900000,408.17100000,383.36400000,398.08500000,107399.95200000,1617667199999,42698961.81087100,76578,52566.14600000,20910506.85086600,0
2021-04-06,398.39900000,415.12900000,379.30300000,382.99000000,177327.11100000,1617753599999,70518542.38413500,117296,85434.89600000,33994712.27177700,0
2021-04-07,383.29300000,387.12900000,340.20700000,349.20300000,184615.22000000,1617839999999,66657505.16501200,147708,88380.90500000,31875302.08953300,0
2021-04-08,348.67200000,371.56600000,346.40000000,371.02700000,122396.09600000,1617926399999,44012502.73314800,85094,63529.07700000,22851687.72397300,0
2021-04-09,371.04600000,374.22000000,356.60400000,358.86300000,78595.93500000,1618012799999,28773676.86216300,54954,36407.23100000,13338059.84472500,0
2021-04-10,358.99900000,375.62600000,356.08700000,367.29500000,125065.96100000,1618099199999,46087688.64244400,85981,61434.23400000,22636025.45171100,0
2021-04-11,367.33100000,375.00000000,360.28300000,372.02600000,80279.60000000,1618185599999,29530750.75163600,59794,41397.01900000,15230422.78609600,0
2021-04-12,372.23100000,418.05000000,365.00000000,397.56400000,394741.45400000,1618271999999,154519712.33730300,267199,196223.01500000,76885632.29739700,0
2021-04-13,397.50200000,420.91800000,384.38300000,399.07400000,286982.21700000,1618358399999,115364282.55149900,186257,138710.27800000,55680588.72069800,0
2021-04-14,398.95300000,431.10000000,386.88800000,428.51700000,285814.23900000,1618444799999,116303390.33749200,221892,145351.50700000,59260667.57313600,0
2021-04-15,428.47400000,489.00000000,422.30000000,466.07600000,427683.29100000,1618531199999,195128878.29695100,391880,216722.32300000,98862632.65799400,0
2021-04-16,466.07600000,470.07300000,418.52900000,440.78400000,281327.68700000,1618617599999,124849554.48083800,172804,131370.52300000,58280726.33883200,0
2021-04-17,441.31800000,462.17600000,418.26200000,425.00000000,144154.81600000,1618703999999,63467114.43141000,112357,69070.72000000,30395069.32789100,0
2021-04-18,425.00100000,428.77500000,280.72700000,381.49800000,467760.75700000,1618790399999,173470065.00993100,368810,237603.32900000,88196213.10851900,0
2021-04-19,381.30000000,398.32900000,340.54600000,344.14200000,232671.51900000,1618876799999,86100304.06410300,184240,117162.59100000,43382329.49650800,0
2021-04-20,344.60200000,371.35700000,309.05000000,360.44900000,256030.58700000,1618963199999,88642100.56217300,272646,129325.16000000,44780718.99217900,0
2021-04-21,360.69900000,384.70100000,341.44700000,351.43100000,214484.79200000,1619049599999,78136819.90616700,226588,106463.95300000,38792132.73158700,0
2021-04-22,351.43100000,415.13400000,343.06200000,359.70900000,435741.36100000,1619135999999,166196984.53306600,420839,218294.10800000,83301935.57284900,0
2021-04-23,359.82100000,372.27100000,308.12000000,343.38600000,418595.21800000,1619222399999,139283758.94175800,278209,209055.70300000,69545185.77098700,0
2021-04-24,343.81600000,344.44200000,314.13700000,317.33100000,147934.68100000,1619308799999,48588917.20932400,102354,67031.18000000,21990110.03858400,0
2021-04-25,317.33200000,353.79100000,314.75300000,348.53000000,145310.17460000,1619395199999,48982869.22446910,113015,73195.76050000,24672107.42885210,0
2021-04-26,348.98000000,409.11000000,345.43000000,405.65000000,321545.86880000,1619481599999,125008959.85110630,261753,165909.89700000,64451716.68513930,0
2021-04-27,405.21000000,453.01000000,394.06000000,440.70000000,318605.47650000,1619567999999,135316576.29316900,307183,164073.55420000,69746322.95207100,0
2021-04-28,440.86000000,486.71200000,423.01000000,460.88000000,427915.33540000,1619654399999,196809183.84495420,356730,200010.31450000,91925876.02602320,0
2021-04-29,460.99000000,463.23000000,423.77000000,438.96000000,244980.12990000,1619740799999,109095041.92787500,138634,119075.12360000,52945477.17149500,0
2021-04-30,438.95000000,462.08000000,429.07000000,444.72000000,234640.05390000,1619827199999,103171295.55306100,138383,121960.26360000,53664266.61388100,0
2021-05-01,444.72000000,512.00000000,436.27000000,504.47000000,352307.57670000,1619913599999,169248097.74987380,320855,181471.88610000,87299847.03237180,0
2021-05-02,504.60000000,510.00000000,470.60000000,482.41000000,212962.02130000,1619999999999,103724763.07757600,134436,109021.68320000,53097074.17385700,0
2021-05-03,482.41000000,535.00000000,481.04000000,518.22000000,280956.00900000,1620086399999,144481534.84124800,267001,147852.04230000,76080878.84163600,0
2021-05-04,518.62000000,519.95000000,442.14000000,448.10000000,374734.92990000,1620172799999,178709503.75679900,274589,188290.72660000,89797309.13625200,0
2021-05-05,448.03000000,485.00000000,439.43000000,480.40000000,219568.82680000,1620259199999,101671908.06717000,159950,118833.40470000,54990784.81685000,0
2021-05-06,480.79000000,482.31000000,440.00000000,452.93000000,196776.23380000,1620345599999,90858464.41462700,152931,102896.21490000,47471642.72977800,0
2021-05-07,452.94000000,469.64000000,432.15000000,445.13000000,157154.56230000,1620431999999,70866368.14702300,127533,80924.40820000,36547848.93904800,0
2021-05-08,445.33000000,475.65000000,440.27000000,466.90000000,118733.59780000,1620518399999,54400512.75032700,104189,58348.87010000,26756495.52034800,0
2021-05-09,466.86000000,469.98000000,440.64000000,459.51000000,108532.97560000,1620604799999,49517583.53833200,86590,55665.55010000,25412045.81355200,0
2021-05-10,459.44000000,482.46000000,400.00000000,433.48000000,193342.49050000,1620691199999,88043397.83148800,180557,97568.03420000,44454814.02113400,0
2021-05-11,433.02000000,459.34000000,417.40000000,457.28000000,141927.16960000,1620777599999,62184834.88040800,127998,73291.97600000,32133130.02809900,0
2021-05-12,457.73000000,598.00000000,455.98000000,513.81000000,1027598.07860000,1620863999999,561350359.76867600,1107486,501908.83940000,274013319.33309600,0
2021-05-13,513.81000000,621.00000000,450.00000000,509.33000000,976961.41740000,1620950399999,536546277.55163900,890105,488468.28980000,268492562.25824700,0
2021-05-14,508.87000000,634.32000000,505.61000000,594.78000000,443099.65820000,1621036799999,255286597.19882500,485997,228198.62250000,131550887.00485300,0
2021-05-15,594.80000000,611.00000000,508.31000000,517.89000000,336189.73370000,1621123199999,186997832.41528800,258370,169793.04030000,94586120.00843600,0
