openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-05-15,0.03888000,0.04399000,0.03798000,0.03841000,1481714.50000000,1589587199999,60266.93726000,654,570796.50000000,23247.48105500,0
2020-05-16,0.03911000,0.03991000,0.03841000,0.03921000,382419.20000000,1589673599999,14985.36895900,287,150925.60000000,5926.43240600,0
2020-05-17,0.03967000,0.04099000,0.03950000,0.04019000,855910.50000000,1589759999999,34165.59206400,438,458292.80000000,18268.63479500,0
2020-05-18,0.04031000,0.04099000,0.03971000,0.04026000,547431.80000000,1589846399999,22135.26486900,281,196034.00000000,7915.17460100,0
2020-05-19,0.04036000,0.04058000,0.03889000,0.04058000,1200662.20000000,1589932799999,47929.47352300,437,575055.40000000,22889.07268300,0
2020-05-20,0.04058000,0.04082000,0.03836000,0.03973000,917099.30000000,1590019199999,36395.15368600,453,389918.10000000,15524.67519200,0
2020-05-21,0.03947000,0.04032000,0.03713000,0.03864000,796768.90000000,1590105599999,31003.16030300,501,345552.40000000,13445.23976400,0
2020-05-22,0.03905000,0.08864000,0.03876000,0.05671000,77971250.30000000,1590191999999,4921680.61271100,22017,33896211.50000000,2139997.50733600,0
2020-05-23,0.05645000,0.05868000,0.04964000,0.05084000,28749484.40000000,1590278399999,1514611.52152900,8568,12282361.60000000,650595.78230700,0
2020-05-24,0.05081000,0.05450000,0.04585000,0.04600000,13169519.20000000,1590364799999,659661.78619000,4607,5983026.20000000,299595.73642800,0
2020-05-25,0.04586000,0.05049000,0.04550000,0.04974000,6805805.60000000,1590451199999,324098.47063600,2285,4078960.30000000,194533.38287100,0
2020-05-26,0.04974000,0.05189000,0.04608000,0.04758000,3338237.60000000,1590537599999,160944.74152300,1185,1608400.90000000,77525.60716800,0
2020-05-27,0.04805000,0.04815000,0.04521000,0.04571000,2972403.40000000,1590623999999,138295.61357000,921,1167084.90000000,54528.93210400,0
2020-05-28,0.04587000,0.04701000,0.04505000,0.04579000,1580132.90000000,1590710399999,72271.04218200,566,550040.10000000,25266.93205000,0
2020-05-29,0.04578000,0.04793000,0.04573000,0.04735000,2087266.00000000,1590796799999,97474.10683900,812,1188257.60000000,55590.01083400,0
2020-05-30,0.04735000,0.04777000,0.04612000,0.04719000,1167743.50000000,1590883199999,54820.15995000,512,571736.20000000,26859.12276400,0
2020-05-31,0.04753000,0.05388000,0.04566000,0.04648000,8518975.50000000,1590969599999,420090.66987700,3061,4275926.40000000,210690.96735200,0
2020-06-01,0.04646000,0.04905000,0.04640000,0.04836000,2561131.10000000,1591055999999,122388.52357600,1050,1370914.30000000,65552.74058200,0
2020-06-02,0.04800000,0.04882000,0.04457000,0.04608000,1747944.00000000,1591142399999,82534.88545600,855,826594.80000000,39141.71126400,0
2020-06-03,0.04630000,0.05299000,0.04576000,0.04932000,6223267.70000000,1591228799999,310521.61733800,1943,2760363.60000000,137643.26285000,0
