openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-09-22,0.85000000,7.00000000,0.85000000,5.31930000,31441883.16000000,1600819199999,166715315.42381000,375884,15867808.70000000,84391801.59004700,0
2020-09-23,5.32790000,5.36000000,3.40000000,3.53500000,12620608.01000000,1600905599999,53155220.86928200,168336,5975856.86000000,25177802.57964900,0
2020-09-24,3.53050000,4.88730000,3.40330000,4.64110000,7107843.86000000,1600991999999,28912533.31870800,104806,3482423.44000000,14176364.44186700,0
2020-09-25,4.63660000,5.02340000,4.20010000,4.71340000,3886096.71000000,1601078399999,17910676.09614700,78381,1939527.03000000,8959695.65147100,0
2020-09-26,4.71640000,4.82000000,4.32940000,4.52000000,1814932.97000000,1601164799999,8304263.78359900,34016,916629.09000000,4197036.68376100,0
2020-09-27,4.52140000,4.71340000,4.10680000,4.64840000,1500134.56000000,1601251199999,6626177.40545900,25867,756716.56000000,3345085.49682100,0
2020-09-28,4.64850000,4.70500000,4.16670000,4.20210000,1210446.38000000,1601337599999,5281810.91244600,20903,587480.78000000,2564973.66828300,0
2020-09-29,4.19990000,4.28990000,3.96070000,4.13940000,1057878.53000000,1601423999999,4361852.97110400,17711,513115.83000000,2114082.28380000,0
2020-09-30,4.14290000,4.41100000,3.99580000,4.32930000,915518.31000000,1601510399999,3839122.43215200,18015,489319.81000000,2054104.35740000,0
2020-10-01,4.32930000,4.53000000,4.01400000,4.15000000,1477288.72000000,1601596799999,6232982.47650600,20441,689276.49000000,2916374.98141500,0
2020-10-02,4.14220000,4.21980000,3.63320000,3.91150000,1847614.48000000,1601683199999,7189956.87541700,23878,912029.39000000,3544016.21779400,0
2020-10-03,3.91560000,4.19000000,3.86960000,4.01680000,679798.03000000,1601769599999,2729615.96465700,7459,338959.89000000,1363166.13737000,0
2020-10-04,4.02020000,4.07980000,3.83340000,3.96400000,630849.97000000,1601855999999,2483672.14201200,8755,311192.36000000,1226312.27863700,0
2020-10-05,3.95820000,4.04560000,3.87000000,3.98130000,475912.76000000,1601942399999,1883990.19066800,7561,249601.96000000,988636.79171300,0
2020-10-06,3.99490000,4.00000000,3.50000000,3.54240000,971155.87000000,1602028799999,3553458.05934700,17876,429350.42000000,1574108.83831700,0
2020-10-07,3.54010000,3.54620000,3.20700000,3.44200000,988661.32000000,1602115199999,3329160.07209500,16799,489077.28000000,1651793.22433300,0
2020-10-08,3.44090000,3.95990000,3.32280000,3.91470000,900977.83000000,1602201599999,3300534.46696100,11436,437112.81000000,1592486.15398800,0
2020-10-09,3.91470000,4.32520000,3.80340000,4.24910000,573063.37000000,1602287999999,2339370.56800600,10448,308475.19000000,1258499.54969000,0
2020-10-10,4.24270000,4.26930000,4.00010000,4.02300000,821315.35000000,1602374399999,3382885.21893500,10467,353922.56000000,1456595.65033600,0
2020-10-11,4.02050000,4.17620000,3.93330000,4.09600000,542437.49000000,1602460799999,2203938.04742900,7368,284784.79000000,1158515.92425200,0
2020-10-12,4.08410000,4.71000000,4.05400000,4.41000000,851811.15000000,1602547199999,3741254.63913600,15031,457905.42000000,2011392.75231400,0
2020-10-13,4.40990000,4.56360000,4.32030000,4.48060000,776819.51000000,1602633599999,3461676.16187700,12883,392990.66000000,1751173.75568000,0
2020-10-14,4.48080000,4.48480000,4.01250000,4.15960000,512479.12000000,1602719999999,2172949.68079700,8005,242741.48000000,1029564.12030500,0
2020-10-15,4.15000000,4.23120000,3.99850000,4.12690000,306544.02000000,1602806399999,1255397.29857300,6083,135597.25000000,555939.62322100,0
2020-10-16,4.12660000,4.15820000,3.87550000,4.04330000,538055.06000000,1602892799999,2158279.79059500,9844,219794.51000000,880958.01537600,0
2020-10-17,4.04620000,4.21000000,3.96730000,4.19460000,258634.77000000,1602979199999,1059554.14978100,6287,144269.74000000,591075.16364400,0
2020-10-18,4.18740000,4.24610000,4.07010000,4.11950000,138296.50000000,1603065599999,576945.33393700,2474,57258.65000000,238852.07990000,0
2020-10-19,4.13710000,4.17480000,3.99260000,4.05000000,274925.09000000,1603151999999,1117039.44878900,4916,119126.16000000,484915.08764900,0
2020-10-20,4.05680000,4.09080000,3.69250000,3.80400000,589447.62000000,1603238399999,2274226.08162400,12841,274259.79000000,1055477.92482900,0
2020-10-21,3.80070000,4.10300000,3.79180000,3.95850000,319446.86000000,1603324799999,1268228.48236600,7362,166462.22000000,660753.38687200,0
2020-10-22,3.95740000,4.49040000,3.95110000,4.33850000,741499.28000000,1603411199999,3221997.41567300,14349,359151.91000000,1559131.46961100,0
2020-10-23,4.34060000,4.48720000,4.13540000,4.25680000,324892.94000000,1603497599999,1398999.50802800,7122,164162.21000000,707551.23863300,0
2020-10-24,4.25390000,4.36200000,4.14000000,4.18210000,218601.98000000,1603583999999,933338.63013400,4589,96393.06000000,412546.94346700,0
2020-10-25,4.18030000,4.25260000,4.10000000,4.14790000,209663.90000000,1603670399999,877035.36595300,4185,100772.01000000,421594.68291500,0
2020-10-26,4.14090000,4.48970000,4.01410000,4.14800000,661155.33000000,1603756799999,2796040.22995100,11278,328373.02000000,1392392.97553100,0
2020-10-27,4.14540000,4.35000000,4.03430000,4.12170000,292754.21000000,1603843199999,1224513.04193800,6096,123717.88000000,517535.18463400,0
2020-10-28,4.12140000,4.17920000,3.93080000,4.05960000,359147.72000000,1603929599999,1446616.72349300,6470,166854.28000000,672307.16741600,0
2020-10-29,4.06070000,4.10510000,3.72960000,3.77580000,422589.86000000,1604015999999,1634343.73554500,9672,202856.69000000,783999.01811800,0
2020-10-30,3.77440000,3.82260000,3.57810000,3.72240000,850092.33000000,1604102399999,3139921.29191900,14192,458298.05000000,1694334.61913700,0
2020-10-31,3.71160000,3.76120000,3.58760000,3.64560000,346114.94000000,1604188799999,1268757.58993300,5536,142312.91000000,521611.37306200,0
2020-11-01,3.63550000,3.71420000,3.55210000,3.68140000,295468.18000000,1604275199999,1075668.74943000,4647,137627.99000000,501410.06539700,0
2020-11-02,3.68510000,3.87750000,3.61450000,3.61700000,322604.28000000,1604361599999,1196807.92325200,4773,146569.86000000,545043.18651600,0
2020-11-03,3.61740000,3.65130000,3.23680000,3.32300000,664899.75000000,1604447999999,2257175.60509200,11493,247246.54000000,837769.84119600,0
2020-11-04,3.32990000,3.37590000,3.00000000,3.17180000,466205.93000000,1604534399999,1474605.41632300,7338,215871.40000000,681767.36930800,0
2020-11-05,3.17360000,3.38410000,3.02110000,3.33480000,644688.78000000,1604620799999,2097043.28514100,10486,316861.32000000,1031916.58207300,0
2020-11-06,3.33500000,3.66660000,3.31940000,3.59130000,910038.31000000,1604707199999,3199980.72489200,14871,464885.26000000,1634658.09011700,0
2020-11-07,3.59400000,3.91930000,3.37000000,3.41260000,832528.78000000,1604793599999,3034525.37252800,15264,397352.15000000,1450663.64243800,0
2020-11-08,3.40930000,3.67000000,3.36130000,3.47540000,543130.62000000,1604879999999,1902820.87779200,9342,238477.71000000,838857.12761600,0
2020-11-09,3.46740000,3.53990000,3.26190000,3.41250000,534923.49000000,1604966399999,1828111.81139500,9459,279152.21000000,956963.68720500,0
2020-11-10,3.42100000,3.63000000,3.36900000,3.57130000,482731.01000000,1605052799999,1695101.15596300,10551,227742.50000000,800527.43000500,0
2020-11-11,3.57750000,3.82000000,3.46000000,3.48420000,389355.68000000,1605139199999,1409573.37188700,9822,180495.30000000,656049.08793500,0
2020-11-12,3.49180000,3.56910000,3.32000000,3.42430000,314355.65000000,1605225599999,1075162.17142600,8465,116810.59000000,401182.93148200,0
2020-11-13,3.42680000,3.70180000,3.39110000,3.67450000,585394.03000000,1605311999999,2067256.88164900,12430,324847.37000000,1148406.68788400,0
2020-11-14,3.67790000,3.70420000,3.39600000,3.48940000,443020.54000000,1605398399999,1558296.05820400,10363,217644.14000000,766226.04931600,0
2020-11-15,3.48400000,3.64150000,3.41010000,3.54530000,438362.91000000,1605484799999,1550016.68820200,10309,219843.42000000,777961.68347000,0
2020-11-16,3.53480000,3.82000000,3.45500000,3.70000000,658000.76000000,1605571199999,2430446.32783600,15685,331737.48000000,1225908.26627300,0
2020-11-17,3.70620000,3.93330000,3.68810000,3.83550000,490826.18000000,1605657599999,1866137.89559700,13282,241464.62000000,918823.99994700,0
2020-11-18,3.84760000,3.87390000,3.55000000,3.74450000,531913.49000000,1605743999999,1983620.13266600,14573,247337.18000000,923839.86374900,0
2020-11-19,3.74980000,3.82720000,3.55630000,3.63990000,386309.17000000,1605830399999,1423279.11502300,11531,183203.35000000,675234.20660800,0
2020-11-20,3.64320000,4.01110000,3.62240000,3.71500000,657029.12000000,1605916799999,2485341.37747400,17727,320393.99000000,1213740.63470900,0
2020-11-21,3.71240000,4.09830000,3.67000000,4.02810000,557225.00000000,1606003199999,2180220.32288000,15953,278733.49000000,1091013.22314800,0
2020-11-22,4.02910000,4.06020000,3.71000000,3.88920000,562448.53000000,1606089599999,2174569.09352200,15568,279512.87000000,1081102.59083300,0
2020-11-23,3.90660000,4.25750000,3.85190000,4.07470000,611842.99000000,1606175999999,2502647.90818800,17388,322974.93000000,1322860.90309300,0
2020-11-24,4.07480000,4.33340000,3.86500000,4.26000000,855854.35000000,1606262399999,3523674.51983300,23606,452826.20000000,1867320.63525400,0
2020-11-25,4.26000000,4.39890000,3.90010000,4.04530000,763623.28000000,1606348799999,3224315.91348600,21340,386869.64000000,1636793.44132700,0
2020-11-26,4.03630000,4.08900000,3.28000000,3.54470000,1011308.69000000,1606435199999,3583580.90367000,22311,466116.65000000,1651748.01146600,0
2020-11-27,3.53990000,3.75810000,3.41780000,3.59420000,382067.49000000,1606521599999,1370077.82828900,10723,200025.62000000,719798.56263900,0
2020-11-28,3.59030000,3.69980000,3.47520000,3.62710000,256600.45000000,1606607999999,921787.75397900,7168,140621.01000000,504410.60548500,0
