openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-03-02,51.80000000,64.90000000,48.00000000,53.33500000,467120.04000000,1614729599999,26289563.04740200,68900,242688.60000000,13729809.43306900,0
2021-03-03,53.07800000,60.97900000,52.00200000,54.10000000,237702.03500000,1614815999999,13623617.68631100,41054,132238.24500000,7591004.91814200,0
2021-03-04,54.10000000,56.88800000,48.85800000,49.50000000,124454.01200000,1614902399999,6539154.57773100,27269,60352.31200000,3179160.45947900,0
2021-03-05,49.50100000,49.79000000,44.65200000,48.47500000,77934.04300000,1614988799999,3650736.49180400,16588,41019.08500000,1920734.97940700,0
2021-03-06,48.47500000,49.00000000,45.02000000,47.00500000,76564.66600000,1615075199999,3615229.96594300,19429,31302.93900000,1476771.18838800,0
2021-03-07,47.00300000,52.02400000,45.46300000,51.81000000,172876.54200000,1615161599999,8307771.75446500,24020,71087.03700000,3416580.21617100,0
2021-03-08,51.81100000,54.55500000,46.97100000,48.91200000,136016.05700000,1615247999999,6778301.82397000,24710,59472.05100000,2955324.31687300,0
2021-03-09,49.03300000,50.94000000,45.99000000,49.77500000,76432.10900000,1615334399999,3708523.01731500,18000,42176.70400000,2050990.97906000,0
2021-03-10,49.77100000,52.70000000,47.20000000,47.50000000,92061.90800000,1615420799999,4529755.75693400,20637,52399.82700000,2586588.45921800,0
2021-03-11,47.50000000,47.75500000,42.10000000,44.80100000,129463.36000000,1615507199999,5788899.10041800,25592,69154.14100000,3095812.05077400,0
2021-03-12,44.86800000,49.01200000,41.40300000,43.69200000,142165.57700000,1615593599999,6321337.89434400,22184,80421.90800000,3599352.00672600,0
2021-03-13,43.50400000,49.29900000,42.31900000,49.01500000,136153.58100000,1615679999999,6342690.25414000,20536,64092.95300000,2988052.02882300,0
2021-03-14,49.01500000,49.64900000,44.20000000,46.84900000,122790.96700000,1615766399999,5833525.90859000,21144,52467.29500000,2487158.83066300,0
2021-03-15,46.58800000,47.98000000,42.57300000,44.79000000,97113.26400000,1615852799999,4412339.18113700,16112,52586.95900000,2395690.14362900,0
2021-03-16,44.79000000,45.38900000,42.01800000,44.43900000,82870.46200000,1615939199999,3608747.45487000,12564,42254.69800000,1842471.86387200,0
2021-03-17,44.44000000,44.56400000,40.26100000,43.75000000,89560.53000000,1616025599999,3819036.00564300,15588,41354.05700000,1768929.74344600,0
2021-03-18,43.84800000,45.68700000,42.40500000,42.50400000,77043.44500000,1616111999999,3379341.19643000,13383,35349.19100000,1553270.91728700,0
2021-03-19,42.50300000,46.38500000,41.70000000,43.95600000,161791.14100000,1616198399999,7196334.39611100,22948,91616.40000000,4084985.39539000,0
2021-03-20,43.97700000,47.87600000,43.77900000,44.50800000,135048.41400000,1616284799999,6214526.27200300,23568,70217.51600000,3233604.52935600,0
2021-03-21,44.50500000,46.15900000,42.60000000,43.34100000,81756.88200000,1616371199999,3599323.44921200,14804,37622.47800000,1656604.56463100,0
2021-03-22,43.20500000,43.48700000,37.04400000,39.00500000,131525.32400000,1616457599999,5395813.43282000,22989,57836.14800000,2371787.20670000,0
2021-03-23,39.00600000,40.00000000,36.61900000,36.79900000,117563.33100000,1616543999999,4511757.33818000,17145,58178.55500000,2235625.51317200,0
2021-03-24,36.80000000,40.00000000,34.23200000,36.45600000,184951.73200000,1616630399999,6952592.95239400,25573,77352.97900000,2921586.90597600,0
2021-03-25,36.44600000,42.00000000,34.22500000,34.35900000,349141.57100000,1616716799999,13457747.86124500,41525,146670.42400000,5683776.02786400,0
2021-03-26,34.37500000,39.31500000,34.10100000,38.16400000,130776.37400000,1616803199999,4880571.44183700,17372,70340.42200000,2638812.08355400,0
2021-03-27,38.16200000,38.69400000,36.50000000,37.46800000,75061.77900000,1616889599999,2821823.20061800,10443,42541.31200000,1598501.98562600,0
2021-03-28,37.43900000,37.77900000,35.41100000,35.92600000,89660.67800000,1616975999999,3299246.21439200,14459,36803.55900000,1354406.00231600,0
2021-03-29,35.97800000,38.00500000,35.10000000,37.44400000,108607.25200000,1617062399999,4003591.13943700,14253,51296.65200000,1894895.83747500,0
2021-03-30,37.31800000,41.26600000,37.00000000,39.71700000,201602.13200000,1617148799999,7935958.92662700,27855,99022.29900000,3899783.50383100,0
2021-03-31,39.67000000,40.49100000,36.05600000,37.09100000,96400.92200000,1617235199999,3671221.34428100,16817,45069.12100000,1721695.96731100,0
2021-04-01,36.86400000,49.00000000,36.84700000,46.22000000,656842.46600000,1617321599999,28641666.16433900,105940,356891.42400000,15581162.82095800,0
2021-04-02,46.27500000,47.69900000,42.20000000,43.46600000,184169.71600000,1617407999999,8184130.21592600,32733,82241.83700000,3658692.16946600,0
2021-04-03,43.47100000,43.89000000,39.16500000,39.39000000,98729.86100000,1617494399999,4144606.51276200,18078,46088.73300000,1938483.45911500,0
2021-04-04,39.16700000,42.17400000,38.85000000,41.39600000,81647.31700000,1617580799999,3342654.02760300,15685,43728.60700000,1793704.22159800,0
2021-04-05,41.32100000,44.77000000,40.00000000,42.85500000,155842.79200000,1617667199999,6628306.42458100,27599,83854.95400000,3576405.72724900,0
2021-04-06,42.85400000,44.20600000,40.37900000,41.40100000,96547.35700000,1617753599999,4088633.61170900,17762,45187.09300000,1917328.93206900,0
2021-04-07,41.40100000,41.72800000,37.19000000,38.20000000,102872.08900000,1617839999999,4012722.11327100,16898,51583.48700000,2013692.09464900,0
2021-04-08,38.15400000,43.80200000,37.70000000,43.10100000,115608.68800000,1617926399999,4657178.09839100,20605,62886.64400000,2530656.56338200,0
2021-04-09,43.16900000,44.05700000,41.19800000,42.68100000,112041.09400000,1618012799999,4770878.54186000,21703,57196.02400000,2435854.76768100,0
2021-04-10,42.71000000,45.15000000,41.22700000,42.17000000,98885.42100000,1618099199999,4311363.52172800,19716,49647.75700000,2167858.08599300,0
2021-04-11,42.17000000,42.74500000,40.56600000,41.07200000,43437.18300000,1618185599999,1811683.20209000,9565,22671.24000000,946874.02386800,0
2021-04-12,41.08900000,42.29500000,40.00000000,41.00100000,84542.54400000,1618271999999,3467253.68128500,15938,44424.54800000,1825042.23959400,0
2021-04-13,41.00100000,45.68400000,40.86900000,43.59400000,182822.07600000,1618358399999,8033734.66455100,33030,98268.44000000,4317793.99709700,0
2021-04-14,43.47300000,46.80000000,42.01000000,46.70000000,220724.36400000,1618444799999,9866807.43285000,36937,123744.43500000,5542486.93174300,0
2021-04-15,46.70000000,53.79200000,46.37700000,50.26800000,375263.21200000,1618531199999,18970682.03600600,60455,222258.46300000,11245456.91615900,0
2021-04-16,50.25600000,52.62800000,46.20000000,50.49900000,164503.76200000,1618617599999,8057847.56608100,27101,86700.30500000,4236447.81340200,0
2021-04-17,50.43200000,51.84200000,45.42300000,46.33900000,103360.35700000,1618703999999,4983397.00769200,21379,50556.15800000,2438201.17322000,0
2021-04-18,46.33600000,46.34200000,35.34500000,39.29300000,226619.07600000,1618790399999,9145124.40578700,33154,115382.18500000,4684537.19498100,0
2021-04-19,39.10200000,40.70000000,34.50000000,35.24800000,151993.27100000,1618876799999,5623418.25295000,25609,71212.22900000,2642269.27697600,0
2021-04-20,35.38700000,36.53200000,29.83500000,34.46700000,235604.24400000,1618963199999,7780238.22007100,32704,109093.32200000,3608829.96780900,0
2021-04-21,34.41700000,35.96500000,31.02600000,31.45700000,112496.90000000,1619049599999,3789818.07703300,20133,47029.56300000,1591018.43174100,0
2021-04-22,31.45400000,34.30000000,27.77700000,28.45700000,210248.76400000,1619135999999,6597833.94699900,29673,96039.97800000,3019775.24908300,0
2021-04-23,28.45700000,29.20000000,23.63400000,27.71500000,153971.92200000,1619222399999,4041659.38531000,18629,78380.03000000,2061838.50174400,0
2021-04-24,27.68700000,27.74300000,24.34900000,24.60200000,93993.38600000,1619308799999,2416047.03630100,12748,49847.05700000,1278260.09068000,0
2021-04-25,24.73800000,26.89200000,24.00000000,24.84200000,84038.61300000,1619395199999,2123747.15936700,12135,36576.98800000,928264.54827400,0
2021-04-26,24.95400000,31.57600000,24.84000000,30.37500000,254596.32200000,1619481599999,7302323.72746600,36159,140205.49000000,4033092.02922400,0
2021-04-27,30.37600000,36.22000000,29.92900000,34.76300000,236184.18400000,1619567999999,7785837.33698200,38615,126448.05600000,4178067.46121900,0
2021-04-28,34.76300000,36.21700000,32.07100000,32.79900000,170055.08700000,1619654399999,5781880.68656700,26644,91173.44000000,3107688.63031600,0
2021-04-29,32.83600000,34.40000000,30.57600000,31.68800000,192338.87800000,1619740799999,6265883.12846300,26313,95099.63200000,3102876.17546500,0
2021-04-30,31.69000000,36.09600000,31.41900000,34.63600000,413656.67800000,1619827199999,14280145.66859900,46270,242164.72400000,8386909.79411000,0
2021-05-01,34.73700000,38.70000000,33.92900000,37.78400000,271393.03700000,1619913599999,9805753.19500700,36128,137280.10200000,4961810.05199900,0
2021-05-02,37.78400000,37.89900000,34.75100000,36.03100000,174335.14400000,1619999999999,6290247.31304100,26232,87959.30300000,3176485.28324900,0
2021-05-03,36.07800000,37.91900000,35.03000000,35.09600000,134206.41100000,1620086399999,4906109.55519900,22791,64923.52000000,2374900.88139600,0
2021-05-04,35.04200000,35.24400000,30.82600000,30.99900000,184948.17000000,1620172799999,6110905.92640900,25044,87114.01800000,2881752.68327900,0
2021-05-05,30.97600000,34.94000000,30.77600000,33.96200000,142427.48300000,1620259199999,4712349.41962400,22911,69735.99400000,2307509.12201800,0
2021-05-06,33.97100000,34.34300000,31.11400000,31.86100000,160311.15800000,1620345599999,5266426.26098200,27895,78857.65300000,2598420.61334700,0
2021-05-07,31.73900000,47.73900000,31.03500000,34.36600000,1046195.59400000,1620431999999,40070738.55262800,131794,527279.24900000,20271814.14475800,0
2021-05-08,34.30600000,43.66500000,33.88800000,37.95300000,1353144.95900000,1620518399999,53613199.03029200,176125,688179.69400000,27267399.19434300,0
2021-05-09,37.92600000,38.26000000,33.94800000,35.17500000,475809.03600000,1620604799999,17022804.80048500,66230,278405.49200000,9974600.69479700,0
2021-05-10,35.17500000,36.44800000,29.93800000,31.69800000,246143.78900000,1620691199999,8212790.23320300,39923,107124.31400000,3589298.62886100,0
2021-05-11,31.78900000,32.74500000,30.07500000,32.47300000,124949.56500000,1620777599999,3950699.40431600,19152,60082.18700000,1901989.94575100,0
2021-05-12,32.46900000,37.49200000,28.79000000,29.52100000,311079.92600000,1620863999999,10786774.58847100,47363,159267.16800000,5540156.75306400,0
2021-05-13,29.52000000,33.80000000,27.03400000,28.84900000,229746.32400000,1620950399999,6905075.62014800,28895,121129.17300000,3653252.81752600,0
2021-05-15,29.71100000,30.79700000,26.40600000,26.53400000,83884.50900000,1621123199999,2396803.77779600,13594,38503.36700000,1102644.67169500,0
2021-05-16,26.65100000,29.46300000,24.87300000,26.15800000,106238.50900000,1621209599999,2896609.95324100,15775,49426.59900000,1354373.78074600,0
2021-05-17,26.22200000,26.64800000,23.62100000,24.53100000,106847.67900000,1621295999999,2685686.82397900,14594,51382.53400000,1291458.83356600,0
2021-05-18,24.61600000,27.00000000,23.68100000,25.08100000,211011.17200000,1621382399999,5297101.52602400,21861,106089.92900000,2661568.96983600,0
2021-05-19,25.09000000,25.43500000,3.06300000,16.25400000,367055.53500000,1621468799999,6697270.21984500,30997,166022.49900000,3060520.13344400,0
2021-05-20,16.25400000,19.79400000,15.09300000,18.25100000,261533.16600000,1621555199999,4698623.91414600,27174,132120.11300000,2371945.52832100,0
2021-05-21,18.26400000,19.50000000,13.25400000,15.02500000,236077.39700000,1621641599999,4006835.90810500,19521,120542.95600000,2051712.22491500,0
2021-05-22,15.07800000,15.42800000,13.13700000,13.74000000,146051.09300000,1621727999999,2051583.60403900,9928,65470.66400000,915442.41914100,0
2021-05-23,13.74000000,14.03200000,8.20000000,10.51000000,233389.61000000,1621814399999,2612186.13000600,15633,123586.96800000,1408335.17804700,0
2021-05-24,10.51100000,12.94900000,10.34500000,12.53100000,190583.03000000,1621900799999,2254310.35325600,14760,86223.30100000,1017252.85507200,0
2021-05-25,12.53100000,13.23400000,11.19200000,12.85700000,214199.31300000,1621987199999,2612623.11800300,17521,104615.10500000,1275852.37382800,0
2021-05-26,12.82100000,15.31100000,12.68600000,14.88500000,372111.66200000,1622073599999,5291617.16445700,29724,188091.15500000,2674019.48940700,0
2021-05-27,14.88500000,14.88800000,13.26800000,13.53500000,149783.04200000,1622159999999,2103767.03424600,14011,73925.22300000,1038445.39708600,0
2021-05-28,13.51700000,13.65100000,10.99900000,11.65500000,158562.16400000,1622246399999,1944859.25384700,13000,79359.18400000,970841.96363200,0
2021-05-29,11.65500000,12.16400000,10.60000000,11.01000000,120635.66300000,1622332799999,1359115.41569100,9332,60829.74900000,685718.97888800,0
2021-05-30,11.00100000,12.31500000,10.60000000,11.82800000,82479.41300000,1622419199999,963989.05917200,7232,38988.59200000,454738.15899400,0
2021-05-31,11.75300000,12.93800000,11.10000000,12.58800000,129328.88300000,1622505599999,1558859.88621700,10476,61106.31800000,737487.66732400,0
2021-06-01,12.61900000,12.88000000,11.50500000,12.68800000,99287.73500000,1622591999999,1203423.37907500,7726,47015.03900000,569214.20479200,0
2021-06-02,12.76200000,20.53800000,12.27200000,17.97700000,2209214.39300000,1622678399999,37411666.64885600,132581,1139860.52300000,19441555.32092300,0
