openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,0.19930000,0.21090000,0.19780000,0.20420000,17512550.81000000,1609545599999,3587050.47238100,17210,8810197.65000000,1805278.15543800,0
2021-01-02,0.20430000,0.20940000,0.19910000,0.20370000,24303978.42000000,1609631999999,4964748.74713000,23435,12520527.61000000,2558264.22030500,0
2021-01-03,0.20370000,0.21990000,0.19960000,0.21700000,35168934.02000000,1609718399999,7354265.75500900,31217,17149608.26000000,3591558.66739700,0
2021-01-04,0.21710000,0.23670000,0.20270000,0.21840000,48001810.82000000,1609804799999,10418996.29494900,45658,22774469.61000000,4955662.92618500,0
2021-01-05,0.21840000,0.23280000,0.21580000,0.23120000,41766999.72000000,1609891199999,9416569.97606000,43936,21056807.12000000,4747332.25570100,0
2021-01-06,0.23140000,0.25500000,0.22740000,0.25040000,55779665.22000000,1609977599999,13561689.28207100,52215,28832247.64000000,7012379.99077900,0
2021-01-07,0.25040000,0.28480000,0.24500000,0.25650000,76279662.96000000,1610063999999,20110577.57696100,65918,39565820.18000000,10463198.46762100,0
2021-01-08,0.25650000,0.27410000,0.23920000,0.25080000,48317665.06000000,1610150399999,12300884.07533400,51661,23936876.02000000,6099420.03585100,0
2021-01-09,0.25070000,0.28760000,0.24330000,0.27440000,58104618.42000000,1610236799999,15476801.40894800,55768,30767102.45000000,8206943.77767300,0
2021-01-10,0.27470000,0.29480000,0.23650000,0.25740000,62144663.23000000,1610323199999,16684575.64737100,63741,30676312.66000000,8244050.80724300,0
2021-01-11,0.25720000,0.25770000,0.20150000,0.23000000,61079213.00000000,1610409599999,13761130.36106700,64504,29593500.74000000,6675951.86803400,0
2021-01-12,0.22980000,0.24840000,0.22230000,0.23170000,32817237.01000000,1610495999999,7687124.11939400,34603,16908371.34000000,3960907.16490600,0
2021-01-13,0.23150000,0.25000000,0.22250000,0.24970000,23253944.49000000,1610582399999,5558798.55250000,27156,12209047.44000000,2922926.92979600,0
2021-01-14,0.24950000,0.25590000,0.23810000,0.24630000,25935194.08000000,1610668799999,6395141.79880400,27924,12584802.53000000,3101641.24383000,0
2021-01-15,0.24600000,0.25970000,0.22670000,0.24720000,36839569.31000000,1610755199999,9113446.63296000,44097,18480880.24000000,4571906.65673700,0
2021-01-16,0.24730000,0.28750000,0.24730000,0.26650000,92923415.38000000,1610841599999,25367955.82055000,84334,46114533.20000000,12586573.73241500,0
2021-01-17,0.26620000,0.27940000,0.24870000,0.27360000,38287679.04000000,1610927999999,10157823.40703000,39912,19696537.30000000,5226223.34514700,0
2021-01-18,0.27360000,0.30000000,0.26570000,0.28270000,48800356.03000000,1611014399999,13880134.97792100,45992,24658638.03000000,7025182.00816900,0
2021-01-19,0.28240000,0.29140000,0.26660000,0.26840000,34965043.29000000,1611100799999,9814049.28165700,35368,17063664.70000000,4787850.84864500,0
2021-01-20,0.26850000,0.28990000,0.25200000,0.27860000,37215169.87000000,1611187199999,10128855.09384500,38260,18608274.79000000,5064151.31650100,0
2021-01-21,0.27870000,0.28020000,0.24130000,0.24380000,36823694.84000000,1611273599999,9485655.70796100,40990,18664681.27000000,4797879.13717100,0
2021-01-22,0.24370000,0.34650000,0.22800000,0.31390000,209596364.52000000,1611359999999,63754326.63585600,184486,106462234.80000000,32452557.30778300,0
2021-01-23,0.31360000,0.36230000,0.30980000,0.32950000,128183995.57000000,1611446399999,43509691.08226400,117469,64110991.79000000,21773458.57431000,0
2021-01-24,0.32920000,0.33380000,0.30560000,0.31850000,49465601.49000000,1611532799999,15879804.84955700,50502,24192847.07000000,7765661.58380700,0
2021-01-25,0.31840000,0.33940000,0.29680000,0.30140000,51615067.87000000,1611619199999,16384336.62547800,50832,25471907.52000000,8088294.84660800,0
2021-01-26,0.30090000,0.31350000,0.28050000,0.29920000,44860510.23000000,1611705599999,13307485.57183500,39558,22472847.92000000,6664650.25727700,0
2021-01-27,0.29910000,0.31630000,0.27110000,0.30260000,42916084.30000000,1611791999999,12543055.93067900,45171,20596073.48000000,6027944.04024600,0
