openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,0.00266160,0.00275000,0.00261290,0.00269260,4631363470.00000000,1625356799999,12412835.76403080,47617,2315213458.00000000,6206673.76108830,0
2021-07-04,0.00269320,0.00280000,0.00264000,0.00273460,5345043621.00000000,1625443199999,14612149.72469840,54047,2637673177.00000000,7211182.76230490,0
2021-07-05,0.00273460,0.00275310,0.00259870,0.00263910,5236081171.00000000,1625529599999,13958350.60672370,54857,2602468279.00000000,6937117.17293620,0
2021-07-06,0.00263950,0.00274000,0.00263470,0.00267540,4975891875.00000000,1625615999999,13346360.15600390,49149,2415502705.00000000,6477956.22346940,0
2021-07-07,0.00267540,0.00272000,0.00264010,0.00264970,5236457784.00000000,1625702399999,14104508.72832340,48723,2680165046.00000000,7219604.54850320,0
2021-07-08,0.00264990,0.00265620,0.00244460,0.00248530,5740696704.00000000,1625788799999,14564783.33181020,57947,2840984831.00000000,7206211.80229410,0
2021-07-09,0.00248470,0.00256690,0.00238020,0.00254470,5170324272.00000000,1625875199999,12811889.66847970,48179,2668761782.00000000,6614389.45306500,0
2021-07-10,0.00254510,0.00258860,0.00246230,0.00250240,4457459253.00000000,1625961599999,11236164.31061990,39037,2174043996.00000000,5479851.97316190,0
2021-07-11,0.00250290,0.00254400,0.00245670,0.00252370,3006460921.00000000,1626047999999,7530859.92918820,29017,1515274114.00000000,3796907.46568440,0
2021-07-12,0.00252370,0.00255180,0.00242760,0.00246240,3572577001.00000000,1626134399999,8892240.88849080,36185,1784321524.00000000,4442491.21811070,0
2021-07-13,0.00246130,0.00247330,0.00236800,0.00238910,3212115025.00000000,1626220799999,7781663.68165450,32496,1677243407.00000000,4062943.49328000,0
