openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-07-23,1.01000000,1.14140000,1.01000000,1.03410000,1947220.42000000,1595548799999,2030643.59412600,5198,1072101.30000000,1124599.77916900,0
2020-07-24,1.03410000,1.04040000,1.02310000,1.03690000,1260183.39000000,1595635199999,1301211.77015300,3024,539788.22000000,557365.50469400,0
2020-07-25,1.03590000,1.03720000,1.00040000,1.00280000,1918594.31000000,1595721599999,1938882.13466100,3683,715359.63000000,722499.55938400,0
2020-07-26,1.00280000,1.01890000,1.00220000,1.01070000,1120072.37000000,1595807999999,1130244.78017400,2298,409567.68000000,413216.75320900,0
2020-07-27,1.01020000,1.01770000,1.00750000,1.01270000,1281683.88000000,1595894399999,1295665.02510200,2390,244440.75000000,247382.88052400,0
2020-07-28,1.01270000,1.03080000,1.01180000,1.02170000,772407.38000000,1595980799999,786843.05235400,1651,394970.90000000,402745.38974700,0
2020-07-29,1.02150000,1.05000000,1.01300000,1.02930000,2567993.65000000,1596067199999,2648214.61608500,3661,742508.58000000,765906.64303100,0
2020-07-30,1.02930000,1.04000000,1.02400000,1.03000000,1687970.57000000,1596153599999,1742149.56476600,2806,642926.87000000,664123.58495700,0
2020-07-31,1.03000000,1.03200000,1.01410000,1.02010000,6505500.25000000,1596239999999,6620982.44053900,4184,5801859.87000000,5903009.55254700,0
2020-08-01,1.02010000,1.02450000,1.00310000,1.01850000,3039974.84000000,1596326399999,3087060.15474900,4980,992290.21000000,1009293.26782400,0
2020-08-02,1.01850000,1.02350000,1.01120000,1.01880000,3009365.04000000,1596412799999,3056027.58082200,3797,2012045.65000000,2043101.56317200,0
2020-08-03,1.01810000,1.02240000,1.01080000,1.01370000,1381117.87000000,1596499199999,1401292.76418000,2157,658691.37000000,668995.13359900,0
2020-08-04,1.01370000,1.01840000,1.01230000,1.01470000,905220.22000000,1596585599999,918805.59384500,1881,550980.01000000,559525.98678200,0
2020-08-05,1.01460000,1.01890000,1.01210000,1.01470000,825417.02000000,1596671999999,837772.86149800,1436,382934.21000000,389078.98711300,0
2020-08-06,1.01470000,1.01700000,1.01280000,1.01390000,897824.33000000,1596758399999,910794.09739500,1597,332537.31000000,337642.54933500,0
2020-08-07,1.01390000,1.01960000,1.01350000,1.01750000,760257.15000000,1596844799999,772566.54726700,1325,464973.23000000,472809.78058000,0
2020-08-08,1.01750000,1.01860000,1.01290000,1.01790000,1018178.21000000,1596931199999,1033981.22459800,1306,460645.31000000,468303.51638800,0
2020-08-09,1.01710000,1.01850000,1.01340000,1.01680000,485475.15000000,1597017599999,493504.48113700,1119,288873.74000000,293872.23581700,0
2020-08-10,1.01680000,1.01900000,1.01300000,1.01610000,1393787.58000000,1597103999999,1415039.57363100,1786,576667.65000000,586071.87899100,0
2020-08-11,1.01520000,1.02260000,1.01360000,1.01760000,2530342.09000000,1597190399999,2573756.94467700,7154,1263645.68000000,1285735.95747900,0
2020-08-12,1.01760000,1.01920000,1.01540000,1.01890000,747400.22000000,1597204799999,760496.38742000,2095,365755.02000000,372172.49359600,0
