openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-09-04,4.12000000,4.12000000,2.59000000,2.93800000,731752.55100000,1599263999999,2167055.76283800,9451,372737.72900000,1104982.67108500,0
2020-09-05,2.93800000,3.15000000,1.82600000,2.14300000,2322020.36100000,1599350399999,5554434.30052300,26493,1051415.10400000,2529735.12569100,0
2020-09-06,2.14300000,2.60000000,1.90200000,2.31600000,1865004.66400000,1599436799999,4142246.82601200,19275,944215.19000000,2097216.02585900,0
2020-09-07,2.31600000,2.45000000,1.86000000,2.18900000,1384710.49400000,1599523199999,2896747.27203700,12934,607617.82600000,1275251.32632400,0
2020-09-08,2.19900000,2.24600000,1.86100000,1.99500000,870729.73000000,1599609599999,1769922.52482200,9694,397790.16500000,809746.31052600,0
2020-09-09,2.02000000,2.27300000,1.88200000,2.14600000,1039498.17500000,1599695999999,2194577.92753100,9843,518218.26800000,1093028.54254800,0
2020-09-10,2.15600000,2.46600000,2.13500000,2.19300000,1296251.85900000,1599782399999,2973125.87694900,12568,621564.55100000,1425031.24975600,0
2020-09-11,2.19300000,2.30700000,1.98500000,2.18200000,814701.94300000,1599868799999,1753982.11534600,8030,346262.55200000,742715.86758800,0
2020-09-12,2.18500000,2.98000000,2.05000000,2.75400000,2179260.90600000,1599955199999,5443037.58078500,21035,1101485.44300000,2759633.20706700,0
2020-09-13,2.75500000,2.98000000,2.15900000,2.37600000,3625029.04700000,1600041599999,9186291.25866500,34784,1726242.27900000,4362115.32256400,0
2020-09-14,2.37600000,2.95500000,2.25000000,2.70100000,2745960.97900000,1600127999999,7305051.37487500,28607,1423692.62800000,3792177.71546500,0
2020-09-15,2.69700000,2.93500000,2.29600000,2.40100000,2571952.70700000,1600214399999,6680756.55645800,24988,1074066.90200000,2790078.04941800,0
2020-09-16,2.40300000,2.51100000,2.03100000,2.16400000,2180834.43500000,1600300799999,4927993.75293900,23168,851375.04000000,1933855.93162800,0
2020-09-17,2.17200000,2.31000000,1.88800000,2.02800000,1678727.17000000,1600387199999,3430503.39237600,14520,650688.16000000,1332991.46943300,0
2020-09-18,2.02800000,2.23000000,1.81800000,1.90700000,2201299.41700000,1600473599999,4429379.82698200,17656,905723.19700000,1829131.19300100,0
2020-09-19,1.91300000,2.18000000,1.81000000,2.13000000,1768520.19900000,1600559999999,3496326.10666100,15310,855886.20400000,1704912.05289700,0
2020-09-20,2.13000000,2.13400000,1.82100000,1.87800000,1189882.99100000,1600646399999,2329577.48110800,10202,476006.84900000,933495.22859200,0
2020-09-21,1.87700000,1.94400000,1.36400000,1.47600000,2525410.19000000,1600732799999,3991072.49160600,20168,1036261.08200000,1638948.14869300,0
2020-09-22,1.47700000,1.60500000,1.28600000,1.47200000,2364515.80500000,1600819199999,3332679.20894500,16155,1162283.25500000,1639587.48272100,0
2020-09-23,1.47200000,1.51700000,1.18600000,1.20000000,2448407.61400000,1600905599999,3346256.57733500,18264,1069203.06100000,1465695.71726600,0
2020-09-24,1.20000000,1.55000000,1.16000000,1.50700000,2053976.23300000,1600991999999,2731415.68585700,13598,1049486.87400000,1403145.59693600,0
2020-09-25,1.50700000,1.68900000,1.36000000,1.60400000,1945754.47700000,1601078399999,2921559.75029200,13885,902456.91400000,1351913.10898500,0
2020-09-26,1.60400000,1.74000000,1.47300000,1.52200000,1343975.13100000,1601164799999,2126679.81306200,10183,595070.44500000,943505.00286700,0
2020-09-27,1.51300000,1.57600000,1.31500000,1.43100000,1198951.94600000,1601251199999,1712041.90986700,8794,506828.71800000,725492.18250700,0
2020-09-28,1.43100000,1.53900000,1.25000000,1.35700000,2802375.86700000,1601337599999,3831410.80297100,17377,1355529.65000000,1860098.07395000,0
2020-09-29,1.35700000,1.41300000,1.13400000,1.20800000,3018150.18900000,1601423999999,3760340.29143700,14778,1135979.73800000,1421771.24612300,0
2020-09-30,1.20600000,1.52000000,1.11200000,1.43800000,5614275.32600000,1601510399999,7199258.83264900,25912,2756826.41700000,3568102.25386200,0
2020-10-01,1.43600000,1.53500000,1.21700000,1.40000000,3811256.79200000,1601596799999,5228311.39652400,21304,1679321.01100000,2318766.24104100,0
2020-10-02,1.39900000,1.40000000,1.16700000,1.30000000,2998730.90000000,1601683199999,3807546.66023200,15375,1320964.80800000,1679239.74540500,0
2020-10-03,1.30000000,1.36000000,1.25200000,1.25400000,1279206.79400000,1601769599999,1677583.63302000,7060,549580.93500000,721461.45589600,0
2020-10-04,1.26000000,1.29700000,1.20700000,1.25300000,1035046.37200000,1601855999999,1290189.64781600,5468,514204.25600000,640965.87294200,0
2020-10-05,1.25400000,1.26700000,1.17400000,1.19700000,1022721.22400000,1601942399999,1242479.96069700,5351,438945.78000000,533532.42935100,0
2020-10-06,1.19800000,1.20700000,1.01000000,1.02900000,2446272.18700000,1602028799999,2641002.79673900,10757,1116792.67600000,1201538.93079200,0
2020-10-07,1.02800000,1.17200000,0.91800000,1.06100000,2563411.90400000,1602115199999,2648808.25566000,11925,1209963.04000000,1251217.39336000,0
2020-10-08,1.06200000,1.22900000,0.98200000,1.22300000,2106276.41600000,1602201599999,2320524.91956300,10576,1034702.33500000,1144107.20378800,0
2020-10-09,1.22700000,1.35600000,1.18000000,1.26400000,1964742.51900000,1602287999999,2500441.81829900,10876,936177.24200000,1194857.21963000,0
2020-10-10,1.26400000,1.34500000,1.19000000,1.30100000,1563632.62400000,1602374399999,1991182.31210800,8977,776333.37400000,991944.85394800,0
2020-10-11,1.30300000,1.51600000,1.29100000,1.48300000,2087427.36300000,1602460799999,2958775.63653800,12522,1120668.44600000,1591305.08988600,0
2020-10-12,1.48600000,1.59900000,1.31700000,1.51800000,1953906.83300000,1602547199999,2859942.35021900,11374,947300.05600000,1388972.59659200,0
2020-10-13,1.51900000,1.58000000,1.42900000,1.52000000,1225138.92000000,1602633599999,1840536.93694800,8600,530066.70000000,797783.59627900,0
2020-10-14,1.51900000,1.61300000,1.37200000,1.42000000,1526801.37700000,1602719999999,2290429.28756400,10506,696453.77900000,1046876.37316600,0
