openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,1.12210000,1.18680000,1.08500000,1.15000000,12613736.57000000,1625356799999,14320445.42798600,45065,5931775.33000000,6734454.60382900,0
2021-07-04,1.15060000,1.21760000,1.11800000,1.17110000,15261451.78000000,1625443199999,18090799.02811000,53410,7619691.25000000,9042078.57403000,0
2021-07-05,1.17010000,1.17220000,1.07160000,1.10500000,14738950.63000000,1625529599999,16489159.77042000,51086,7574165.56000000,8466567.61115300,0
2021-07-06,1.10560000,1.22620000,1.10470000,1.17540000,19130955.14000000,1625615999999,22435995.26292900,75808,9883670.79000000,11595724.82235300,0
2021-07-07,1.17550000,1.42760000,1.15200000,1.40490000,61627253.92000000,1625702399999,81832960.44899800,231245,30108432.42000000,39988121.27643400,0
2021-07-08,1.40630000,1.53000000,1.17020000,1.21080000,68822841.36000000,1625788799999,93762738.26770900,263459,33648802.59000000,45889213.22650700,0
2021-07-09,1.21130000,1.31000000,1.12220000,1.29000000,34881871.81000000,1625875199999,42038598.57372800,130750,18007047.34000000,21710327.45202800,0
2021-07-10,1.28950000,1.37800000,1.24290000,1.28730000,47090978.02000000,1625961599999,62036913.31010000,180777,23018569.90000000,30354614.70972600,0
2021-07-11,1.28660000,1.40740000,1.27340000,1.37990000,36335191.28000000,1626047999999,49134906.94182600,127352,18076554.32000000,24406043.98691600,0
2021-07-12,1.37880000,1.38390000,1.26000000,1.30580000,21577479.36000000,1626134399999,28431970.60156500,85212,10467342.15000000,13782526.67092500,0
2021-07-13,1.30500000,1.33000000,1.18170000,1.21900000,23760897.54000000,1626220799999,29946431.76271600,85144,12736578.60000000,16053283.79550200,0
