openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,3.92260000,4.06510000,3.85100000,4.05040000,12196067.80000000,1625356799999,48572737.27739400,102952,5728411.79000000,22807099.31203500,0
2021-07-04,4.05080000,4.18660000,3.95010000,4.06100000,17331712.71000000,1625443199999,70672203.96517800,138537,9448758.13000000,38492160.37602200,0
2021-07-05,4.06060000,4.06090000,3.75910000,3.81010000,14667457.05000000,1625529599999,57094677.23936200,140908,7019271.49000000,27330978.94096600,0
2021-07-06,3.81010000,4.00550000,3.78260000,3.87760000,14528435.95000000,1625615999999,56418250.86314500,160755,7221613.75000000,28042103.97905400,0
2021-07-07,3.87770000,3.97960000,3.81430000,3.82490000,10925537.03000000,1625702399999,42815906.05684100,116630,5373427.12000000,21056291.20110800,0
2021-07-08,3.82450000,3.84000000,3.52460000,3.59590000,16308329.05000000,1625788799999,59647051.54024800,210366,7808236.67000000,28568266.85171200,0
2021-07-09,3.59590000,4.31330000,3.45550000,4.21740000,49803432.92000000,1625875199999,199715011.17156100,420148,24933513.85000000,100004761.04953500,0
2021-07-10,4.21750000,4.42000000,3.87230000,3.96330000,39271615.66000000,1625961599999,160205369.08310900,265742,20367030.37000000,83110973.23877500,0
2021-07-11,3.96560000,4.17770000,3.83340000,4.07660000,22936376.52000000,1626047999999,92310217.09872000,177854,11467027.60000000,46144206.20815500,0
2021-07-12,4.07750000,4.37860000,4.04130000,4.18730000,38217590.79000000,1626134399999,161769684.06870300,399910,19097166.16000000,80849441.99972800,0
2021-07-13,4.18700000,4.21390000,3.78660000,3.89090000,25083974.82000000,1626220799999,99839967.13031900,245727,12064006.50000000,48031403.04089900,0
