openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.03723000,0.03967000,0.03708000,0.03832000,20204234.80000000,1577923199999,780208.13136600,5269,9791959.50000000,378128.24865500,0
2020-01-02,0.03852000,0.03918000,0.03600000,0.03642000,30680298.80000000,1578009599999,1163351.84951500,6396,14796820.30000000,560860.59900600,0
2020-01-03,0.03645000,0.03960000,0.03556000,0.03906000,27496334.20000000,1578095999999,1052864.81090100,6703,13283947.10000000,509336.97334500,0
2020-01-04,0.03919000,0.04248000,0.03900000,0.04027000,33250936.00000000,1578182399999,1353676.71602000,7172,18162758.90000000,740164.68145100,0
2020-01-05,0.04027000,0.04095000,0.03810000,0.03847000,23547132.80000000,1578268799999,929368.41785200,6042,9875235.30000000,390035.05152000,0
2020-01-06,0.03844000,0.04025000,0.03831000,0.03949000,34933787.70000000,1578355199999,1374812.21999900,6737,16141448.30000000,635636.72317700,0
2020-01-07,0.03951000,0.03957000,0.03713000,0.03720000,37420845.90000000,1578441599999,1426205.78018300,8014,16834324.20000000,641740.67050500,0
2020-01-08,0.03736000,0.03795000,0.03594000,0.03686000,35717356.50000000,1578527999999,1318609.45578600,7506,16903970.70000000,624286.22489900,0
2020-01-09,0.03686000,0.03874000,0.03648000,0.03740000,33356944.30000000,1578614399999,1248509.50862300,6132,16128419.60000000,604042.43406900,0
2020-01-10,0.03749000,0.03750000,0.03588000,0.03619000,14366760.40000000,1578700799999,523532.85251700,3469,6410250.50000000,233678.67868600,0
2020-01-11,0.03610000,0.03961000,0.03605000,0.03779000,55569199.60000000,1578787199999,2077040.89910900,9721,22824335.70000000,858881.87781100,0
2020-01-12,0.03774000,0.03987000,0.03744000,0.03987000,63155272.30000000,1578873599999,2433211.02067400,13313,18566832.50000000,715367.64248500,0
2020-01-13,0.03980000,0.04198000,0.03852000,0.04063000,31765690.20000000,1578959999999,1283057.29801300,7668,13996720.30000000,567208.79303200,0
2020-01-14,0.04070000,0.04070000,0.03829000,0.03899000,47659813.10000000,1579046399999,1869963.49258100,10538,21975268.50000000,862539.22484800,0
2020-01-15,0.03899000,0.04095000,0.03880000,0.04001000,31846389.90000000,1579132799999,1274260.87712900,8994,15774414.70000000,631333.96294600,0
2020-01-16,0.04005000,0.04040000,0.03882000,0.03962000,33754861.60000000,1579219199999,1332570.91733800,7569,14549468.60000000,574490.19962400,0
2020-01-17,0.03975000,0.04289000,0.03911000,0.04220000,47293870.50000000,1579305599999,1923763.92784000,9089,21764190.00000000,885511.93696900,0
