openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-03-03,3.34100000,4.39900000,3.07600000,3.27000000,6055813.95900000,1614815999999,21555252.71537000,59022,2977779.76400000,10647060.44827300,0
2021-03-04,3.27000000,3.30500000,2.91900000,2.93100000,2627620.89800000,1614902399999,8171348.85804000,31381,1114897.71200000,3478881.76515300,0
2021-03-05,2.93100000,3.05300000,2.68000000,2.85000000,1530277.90700000,1614988799999,4331953.97859200,20055,748828.90500000,2122976.13060800,0
2021-03-06,2.86400000,3.00000000,2.65000000,2.77800000,1109274.29000000,1615075199999,3101618.22532600,15965,497510.57400000,1398023.10222900,0
2021-03-07,2.78300000,2.89700000,2.72100000,2.81100000,797340.17800000,1615161599999,2237461.32380700,13339,380752.24800000,1070251.80133700,0
2021-03-08,2.80300000,2.83900000,2.57800000,2.77800000,1128064.53300000,1615247999999,3057881.58054300,16296,531819.16800000,1443192.73720500,0
2021-03-09,2.77900000,3.01300000,2.74900000,2.97200000,1594219.73200000,1615334399999,4586129.33543900,23305,791509.14200000,2280229.21098400,0
2021-03-10,2.98100000,3.23600000,2.79500000,2.91700000,1960221.26100000,1615420799999,5820958.50288400,23790,1041254.40200000,3095265.47349900,0
2021-03-11,2.91600000,3.05000000,2.72100000,2.85500000,1365209.81500000,1615507199999,3915962.32796900,15171,655887.60800000,1886215.09974900,0
2021-03-12,2.85500000,3.40000000,2.73000000,3.38300000,2613022.70300000,1615593599999,8048539.37635800,33457,1368139.01000000,4225920.86876200,0
2021-03-13,3.39600000,4.05000000,3.15300000,3.66700000,2441440.97200000,1615679999999,8694832.08814500,33328,1260922.64700000,4519179.24388400,0
2021-03-14,3.66600000,4.08000000,3.50000000,3.80100000,1730864.94500000,1615766399999,6551449.58716200,27737,892861.24200000,3402417.03832200,0
2021-03-15,3.80100000,4.05000000,3.22200000,4.01200000,1926873.42200000,1615852799999,7009556.83478200,25253,946833.69300000,3468036.61444600,0
2021-03-16,4.01600000,4.26500000,3.36400000,3.51300000,1624058.94800000,1615939199999,6131023.50096500,22696,774728.86600000,2932356.36145300,0
2021-03-17,3.52600000,3.79700000,3.33700000,3.70800000,1061312.38200000,1616025599999,3771475.99551000,17088,464211.08800000,1652861.66475900,0
2021-03-18,3.72500000,3.79000000,3.54600000,3.69000000,643823.20800000,1616111999999,2369607.51627400,12209,242859.02900000,894321.82108600,0
