openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.00318500,0.00339000,0.00310000,0.00332700,12111017.00000000,1577923199999,39523.21627700,372,3940216.00000000,12721.47786000,0
2020-01-02,0.00332700,0.00344300,0.00316400,0.00329300,14634100.00000000,1578009599999,48143.27718200,664,6564764.00000000,21576.93589500,0
2020-01-03,0.00326200,0.00340300,0.00318500,0.00334800,10352349.00000000,1578095999999,34416.46940700,426,3453858.00000000,11507.12754800,0
2020-01-04,0.00334800,0.00336300,0.00315100,0.00320900,11585180.00000000,1578182399999,37843.97992700,413,3560671.00000000,11657.93565800,0
2020-01-05,0.00320900,0.00326800,0.00316900,0.00316900,7456808.00000000,1578268799999,24128.72753700,241,4377634.00000000,14196.63581100,0
2020-01-06,0.00317300,0.00325800,0.00305000,0.00309300,24960203.00000000,1578355199999,77971.69264500,895,11126869.00000000,34711.34980400,0
2020-01-07,0.00309700,0.00315600,0.00292300,0.00299200,15791962.00000000,1578441599999,47989.01952200,757,6844732.00000000,20924.05353600,0
2020-01-08,0.00301500,0.00302800,0.00274000,0.00284000,38570622.00000000,1578527999999,110098.03291900,1128,14060348.00000000,40168.68121600,0
2020-01-09,0.00282500,0.00286300,0.00273400,0.00275900,7763408.00000000,1578614399999,21594.74095100,268,2743425.00000000,7642.10345900,0
2020-01-10,0.00276000,0.00285700,0.00268300,0.00284400,8606131.00000000,1578700799999,23827.92450700,291,3667338.00000000,10179.21457700,0
2020-01-11,0.00283100,0.00288300,0.00278700,0.00282100,14763027.00000000,1578787199999,41803.87738300,399,7747285.00000000,21958.89435600,0
2020-01-12,0.00279800,0.00290000,0.00279800,0.00285900,7981329.00000000,1578873599999,22781.63714100,270,4504822.00000000,12866.08559300,0
2020-01-13,0.00285800,0.00287600,0.00277000,0.00285100,5911457.00000000,1578959999999,16648.80478300,247,3238796.00000000,9130.33988200,0
2020-01-14,0.00284000,0.00287900,0.00277300,0.00283400,17654715.00000000,1579046399999,49897.13202000,600,5591497.00000000,15852.40007300,0
2020-01-15,0.00280000,0.00300000,0.00276400,0.00293600,30226382.00000000,1579132799999,87361.45003500,927,17285911.00000000,50119.09615700,0
2020-01-16,0.00293500,0.00295400,0.00286900,0.00295300,4714578.00000000,1579219199999,13725.17087900,200,1985381.00000000,5794.34753600,0
2020-01-17,0.00293000,0.00321900,0.00285600,0.00299300,22865187.00000000,1579305599999,68113.38467600,1140,10813178.00000000,32405.70007100,0
2020-01-18,0.00300400,0.00306400,0.00294900,0.00300500,10440587.00000000,1579391999999,31295.60460600,428,4621209.00000000,13876.94578200,0
2020-01-19,0.00300700,0.00306900,0.00280200,0.00290300,11188732.00000000,1579478399999,32686.99478800,458,5424491.00000000,15868.93241700,0
2020-01-20,0.00289000,0.00290300,0.00283300,0.00289900,2958995.00000000,1579564799999,8473.75217300,165,1187568.00000000,3406.26994900,0
2020-01-21,0.00286600,0.00290900,0.00282500,0.00290900,3301670.00000000,1579651199999,9487.92077800,185,1723869.00000000,4969.93781700,0
2020-01-22,0.00290900,0.00293300,0.00287200,0.00291800,2376419.00000000,1579737599999,6900.94863700,89,1128126.00000000,3274.79258700,0
2020-01-23,0.00288600,0.00292900,0.00280300,0.00285900,4285152.00000000,1579823999999,12210.15073100,181,1643786.00000000,4707.59695800,0
2020-01-24,0.00282300,0.00287700,0.00271400,0.00282300,2737775.00000000,1579910399999,7603.07024400,131,781434.00000000,2192.62401100,0
2020-01-25,0.00280500,0.00300000,0.00276800,0.00296800,13051212.00000000,1579996799999,37482.88106800,651,6681432.00000000,19215.07662300,0
2020-01-26,0.00291600,0.00299300,0.00290000,0.00299300,1557667.00000000,1580083199999,4603.01599300,139,914009.00000000,2706.33982200,0
2020-01-27,0.00299500,0.00303900,0.00293500,0.00295800,8464776.00000000,1580169599999,25284.92255900,254,2424875.00000000,7301.80401600,0
2020-01-28,0.00295200,0.00301300,0.00288600,0.00288600,10453774.00000000,1580255999999,30645.50244800,396,3799247.00000000,11201.70897700,0
2020-01-29,0.00288700,0.00294200,0.00283300,0.00283300,5120315.00000000,1580342399999,14775.89735600,187,1113299.00000000,3224.98237200,0
2020-01-30,0.00283100,0.00286600,0.00276600,0.00281600,3830950.00000000,1580428799999,10852.75042200,214,2229447.00000000,6338.70972600,0
2020-01-31,0.00281600,0.00293200,0.00280600,0.00289800,5041757.00000000,1580515199999,14490.16445700,267,2977485.00000000,8590.25995200,0
2020-02-01,0.00290000,0.00293900,0.00287300,0.00291900,2832775.00000000,1580601599999,8239.38722000,164,1387495.00000000,4045.95799800,0
2020-02-02,0.00289900,0.00300000,0.00288300,0.00291600,7978515.00000000,1580687999999,23539.70245900,383,3537587.00000000,10461.32614200,0
2020-02-03,0.00291100,0.00298600,0.00288100,0.00292200,4455561.00000000,1580774399999,13000.83955000,200,1869639.00000000,5472.72825700,0
2020-02-04,0.00292400,0.00327400,0.00292400,0.00324500,19804748.00000000,1580860799999,60895.03370300,930,11623057.00000000,35852.58539100,0
2020-02-05,0.00327600,0.00334700,0.00300200,0.00315000,31833278.00000000,1580947199999,99535.21419200,1026,11552938.00000000,36281.69158800,0
2020-02-06,0.00315000,0.00343900,0.00311400,0.00343900,16573154.00000000,1581033599999,54567.51833700,681,8276103.00000000,27279.24397900,0
2020-02-07,0.00343900,0.00376800,0.00341800,0.00376800,13343290.00000000,1581119999999,47897.04373800,756,7808984.00000000,28097.23622900,0
2020-02-08,0.00378600,0.00410000,0.00360500,0.00390900,19909316.00000000,1581206399999,77238.91529400,992,9749043.00000000,37760.40292300,0
2020-02-09,0.00391900,0.00404300,0.00374500,0.00381100,15663958.00000000,1581292799999,60543.81189900,731,5427952.00000000,20993.42994400,0
2020-02-10,0.00381100,0.00429900,0.00372600,0.00425300,20057683.00000000,1581379199999,80807.68419000,961,9374154.00000000,37158.38132300,0
2020-02-11,0.00425300,0.00449600,0.00419600,0.00441200,23215677.00000000,1581465599999,100666.26888700,1152,10520370.00000000,45725.69883900,0
2020-02-12,0.00441200,0.00457500,0.00430000,0.00448800,14556732.00000000,1581551999999,64702.45671900,978,6522934.00000000,29082.56213200,0
2020-02-13,0.00450100,0.00474300,0.00438400,0.00465600,17915980.00000000,1581638399999,81032.09999200,882,6754665.00000000,30752.00635900,0
2020-02-14,0.00469800,0.00615100,0.00464500,0.00552200,39757213.00000000,1581724799999,211509.70110900,2353,17338826.00000000,91978.37999900,0
2020-02-15,0.00554500,0.00605900,0.00496100,0.00520300,36248997.00000000,1581811199999,199408.49396200,1701,19588640.00000000,108036.84829600,0
2020-02-16,0.00518300,0.00584300,0.00497000,0.00568400,14197279.00000000,1581897599999,77562.09141100,972,8191603.00000000,44734.65070500,0
2020-02-17,0.00564500,0.00950000,0.00445500,0.00494000,346115169.00000000,1581983999999,2235615.54918400,10980,132525748.00000000,889425.02075000,0
2020-02-18,0.00494000,0.00534600,0.00450700,0.00456700,83167828.00000000,1582070399999,409925.10560200,3172,33969426.00000000,168074.38378600,0
2020-02-19,0.00452500,0.00472700,0.00405000,0.00410600,35496176.00000000,1582156799999,159251.42400200,1680,15853948.00000000,71491.67485400,0
2020-02-20,0.00408000,0.00416700,0.00380000,0.00400000,32272639.00000000,1582243199999,127175.33092600,992,16141066.00000000,63541.90665000,0
2020-02-21,0.00398200,0.00416000,0.00383900,0.00393800,16988867.00000000,1582329599999,67926.14784100,722,8230152.00000000,32731.95882500,0
2020-02-22,0.00391700,0.00394200,0.00380000,0.00384800,7431432.00000000,1582415999999,28631.85848700,270,2219419.00000000,8619.66570400,0
2020-02-23,0.00381100,0.00409700,0.00372600,0.00402100,16178298.00000000,1582502399999,63301.58370000,702,6794689.00000000,26652.12009700,0
2020-02-24,0.00402000,0.00406000,0.00347100,0.00364800,27887796.00000000,1582588799999,102699.15488200,826,12967533.00000000,47219.67376200,0
2020-02-25,0.00364800,0.00365600,0.00304700,0.00329200,28258887.00000000,1582675199999,93588.04013100,977,10808586.00000000,35586.77487400,0
2020-02-26,0.00329200,0.00333300,0.00280000,0.00291700,14310520.00000000,1582761599999,43346.77277100,593,6058047.00000000,18274.44836400,0
2020-02-27,0.00291000,0.00330900,0.00280500,0.00305500,14270047.00000000,1582847999999,44279.59830000,662,7585388.00000000,23542.23232300,0
2020-02-28,0.00308100,0.00313600,0.00290000,0.00308600,16590942.00000000,1582934399999,50412.77811200,494,5544305.00000000,16874.40734300,0
2020-02-29,0.00309000,0.00322600,0.00302200,0.00304100,5262464.00000000,1583020799999,16280.77429500,342,2186184.00000000,6772.25100200,0
2020-03-01,0.00304600,0.00309600,0.00280800,0.00288700,10802082.00000000,1583107199999,31209.85259200,358,3139048.00000000,9114.00719800,0
2020-03-02,0.00288600,0.00317900,0.00282600,0.00315700,10108598.00000000,1583193599999,30446.92327600,434,4721081.00000000,14336.73256300,0
2020-03-03,0.00317000,0.00319600,0.00294800,0.00303600,12923721.00000000,1583279999999,39458.20822700,473,6300467.00000000,19308.39290900,0
2020-03-04,0.00303000,0.00316600,0.00298000,0.00301000,6421030.00000000,1583366399999,19622.26970600,308,2564972.00000000,7862.73853400,0
2020-03-05,0.00300500,0.00366100,0.00299200,0.00337500,29136869.00000000,1583452799999,97392.51496100,1008,12447588.00000000,41375.45366100,0
2020-03-06,0.00338000,0.00364000,0.00336800,0.00340700,33631484.00000000,1583539199999,117536.29038700,925,14922177.00000000,51964.25882300,0
2020-03-07,0.00340700,0.00360700,0.00331700,0.00342100,17241667.00000000,1583625599999,59749.01857100,686,8462819.00000000,29412.21003900,0
