openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.01022000,0.01095000,0.01010000,0.01035000,43439352.90000000,1577923199999,455626.12090800,2665,18298597.50000000,191982.37551000,0
2020-01-02,0.01033000,0.01078000,0.00985000,0.01001000,38795477.80000000,1578009599999,399784.46734500,2163,17774117.50000000,182898.40931700,0
2020-01-03,0.01007000,0.01074000,0.01006000,0.01035000,19085697.60000000,1578095999999,200185.03015000,1453,9760829.30000000,102609.83751500,0
2020-01-04,0.01041000,0.01215000,0.01009000,0.01111000,53558254.50000000,1578182399999,582828.74324800,3454,24485171.80000000,266347.13119200,0
2020-01-05,0.01109000,0.01275000,0.01103000,0.01157000,76532066.00000000,1578268799999,896290.18274600,4925,34676298.80000000,407347.78312300,0
2020-01-06,0.01150000,0.01163000,0.01087000,0.01103000,42379279.50000000,1578355199999,474004.13688900,2976,14700340.10000000,164759.99783200,0
2020-01-07,0.01110000,0.01115000,0.01060000,0.01060000,36898985.30000000,1578441599999,400225.19540700,2842,15427073.70000000,167940.81642300,0
2020-01-08,0.01059000,0.01079000,0.01000000,0.01022000,26925500.60000000,1578527999999,279074.31581100,1920,10776146.40000000,112052.54674400,0
2020-01-09,0.01022000,0.01068000,0.01000000,0.01009000,24194928.80000000,1578614399999,249426.91795600,1935,11339869.70000000,117383.22016300,0
2020-01-10,0.01008000,0.01118000,0.01006000,0.01052000,36281022.80000000,1578700799999,386102.52191100,2943,16468412.40000000,175224.49893300,0
2020-01-11,0.01052000,0.01158000,0.01039000,0.01131000,29605551.00000000,1578787199999,330035.04103000,2498,15579505.30000000,173994.65740800,0
2020-01-12,0.01131000,0.01143000,0.01081000,0.01095000,13889687.30000000,1578873599999,152896.33177400,1134,5805795.20000000,63915.35176700,0
2020-01-13,0.01095000,0.01102000,0.01042000,0.01052000,18886801.90000000,1578959999999,201933.22262400,1314,7434525.50000000,79510.87468400,0
2020-01-14,0.01054000,0.01080000,0.01007000,0.01028000,48070719.70000000,1579046399999,499435.32950200,2914,15162170.30000000,158208.08269200,0
2020-01-15,0.01022000,0.01201000,0.01009000,0.01042000,45102745.00000000,1579132799999,472752.62142200,3366,24660102.60000000,260426.90683300,0
2020-01-16,0.01042000,0.01177000,0.01031000,0.01160000,41345041.20000000,1579219199999,456336.34643000,3488,16016905.10000000,177258.25158400,0
2020-01-17,0.01154000,0.01191000,0.01089000,0.01173000,45065444.40000000,1579305599999,511119.78507200,3853,18692803.00000000,213135.55610800,0
2020-01-18,0.01165000,0.01217000,0.01132000,0.01190000,22427552.80000000,1579391999999,264988.32464200,2036,10330153.30000000,122407.63857100,0
2020-01-19,0.01190000,0.01202000,0.01045000,0.01085000,33780358.80000000,1579478399999,373259.49065800,2162,11158599.80000000,123249.18353600,0
2020-01-20,0.01085000,0.01100000,0.01051000,0.01053000,8740360.10000000,1579564799999,93382.68662400,627,2661178.90000000,28546.25495100,0
2020-01-21,0.01055000,0.01067000,0.01012000,0.01045000,19013164.70000000,1579651199999,198258.18804900,1277,5910576.00000000,62089.84255200,0
2020-01-22,0.01045000,0.01094000,0.01039000,0.01082000,24447893.30000000,1579737599999,259826.15897100,1675,10986305.60000000,116858.69358200,0
2020-01-23,0.01082000,0.01085000,0.01015000,0.01017000,15587829.90000000,1579823999999,160946.56203300,1474,6057776.60000000,62825.58927200,0
