openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-01-01,0.23450000,0.24190000,0.22950000,0.24180000,2785523.41000000,1546387199999,653802.68850300,3384,1487237.27000000,349077.69527700,0
2019-01-02,0.24130000,0.25600000,0.23790000,0.25030000,4231528.68000000,1546473599999,1038715.88239600,5171,2004733.67000000,492310.23377900,0
2019-01-03,0.25140000,0.26540000,0.24690000,0.25700000,10388623.07000000,1546559999999,2664257.62855600,9117,5639004.76000000,1446045.17327800,0
2019-01-04,0.25700000,0.27550000,0.25260000,0.26920000,8498542.61000000,1546646399999,2255696.12232200,10729,4174795.20000000,1107886.54502700,0
2019-01-05,0.26930000,0.28340000,0.26180000,0.26380000,7463913.79000000,1546732799999,2034127.81054000,9454,3684528.56000000,1003491.17690700,0
2019-01-06,0.26440000,0.28690000,0.25710000,0.28190000,9296647.14000000,1546819199999,2532599.30950600,9166,4691045.12000000,1278449.73624000,0
2019-01-07,0.28170000,0.28810000,0.27110000,0.27300000,7301706.23000000,1546905599999,2034945.27476100,8341,3468824.37000000,966775.44916000,0
2019-01-08,0.27250000,0.28270000,0.26200000,0.27050000,8905198.41000000,1546991999999,2422557.72431600,9856,4407291.12000000,1199532.48738400,0
2019-01-09,0.27040000,0.28550000,0.27000000,0.28150000,9538413.83000000,1547078399999,2657787.34249700,10124,5057826.69000000,1408816.57693400,0
2019-01-10,0.28180000,0.29650000,0.22600000,0.23580000,15660633.40000000,1547164799999,4023114.92245300,16534,7526493.22000000,1930854.78816300,0
2019-01-11,0.23640000,0.24060000,0.22910000,0.23820000,6680402.21000000,1547251199999,1571813.00631300,9274,3537733.09000000,833053.97032500,0
2019-01-12,0.23820000,0.23820000,0.23090000,0.23560000,3085948.14000000,1547337599999,724076.31731800,3818,1105308.17000000,259019.12834700,0
2019-01-13,0.23540000,0.23700000,0.20910000,0.21310000,5740283.71000000,1547423999999,1267302.78668800,5784,2889197.50000000,639461.70604500,0
2019-01-14,0.21270000,0.24260000,0.21260000,0.22800000,6112895.45000000,1547510399999,1370856.68664000,5272,3004559.42000000,672632.56112300,0
2019-01-15,0.22830000,0.23210000,0.21620000,0.21980000,6389446.99000000,1547596799999,1424922.67926800,5014,3291218.29000000,732432.37325000,0
2019-01-16,0.21980000,0.23450000,0.21850000,0.22870000,3426256.92000000,1547683199999,777206.87604900,3528,1610663.07000000,365999.26033700,0
