openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,0.82720000,0.86410000,0.79880000,0.83060000,11015731.57000000,1625356799999,9098426.36265700,31670,5609476.14000000,4642458.63452800,0
2021-07-04,0.83070000,0.87990000,0.79740000,0.84550000,14790892.79000000,1625443199999,12434342.83144300,38485,6655128.26000000,5594269.21175600,0
2021-07-05,0.84490000,0.86950000,0.80440000,0.82200000,14749249.21000000,1625529599999,12341347.77742200,35482,7068658.40000000,5922352.17395400,0
2021-07-06,0.82290000,0.88440000,0.82110000,0.85220000,13701176.48000000,1625615999999,11722750.83032000,33874,6716872.58000000,5758168.02049900,0
2021-07-07,0.85150000,0.93380000,0.83780000,0.88870000,21183328.58000000,1625702399999,19077062.83463300,58149,10962839.81000000,9876036.65387200,0
2021-07-08,0.88820000,0.89200000,0.80180000,0.81540000,12422524.72000000,1625788799999,10438532.87094300,31166,5549266.61000000,4660913.33808600,0
2021-07-09,0.81510000,0.84290000,0.77770000,0.81910000,10742578.44000000,1625875199999,8767320.67582700,26240,5434326.47000000,4444703.88456000,0
2021-07-10,0.81980000,0.85600000,0.77600000,0.79160000,9186823.56000000,1625961599999,7395469.25965100,24245,4545687.43000000,3667728.49030900,0
2021-07-11,0.79120000,0.85130000,0.77810000,0.84030000,9795322.43000000,1626047999999,8074496.33647900,26420,4771127.01000000,3936810.18852500,0
2021-07-12,0.84050000,0.84500000,0.78140000,0.79310000,7583361.10000000,1626134399999,6134205.61603900,24885,3155414.73000000,2551770.98751900,0
2021-07-13,0.79300000,0.81200000,0.73200000,0.75590000,12609455.77000000,1626220799999,9645361.58618700,29074,6812436.68000000,5207350.00538500,0
