openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-08-11,0.07367000,0.09600000,0.06364000,0.06895000,239143597.80000000,1597190399999,17410584.47230600,53704,127731443.00000000,9248782.15044400,0
2020-08-12,0.06916000,0.08498000,0.06780000,0.07666000,721527265.70000000,1597276799999,54382337.24367600,137873,454962035.10000000,34236774.39819100,0
2020-08-13,0.07667000,0.07900000,0.06828000,0.06955000,288618639.00000000,1597363199999,21242425.19109900,78134,154835980.30000000,11432819.88060200,0
2020-08-14,0.06980000,0.08700000,0.06887000,0.07166000,219080041.20000000,1597449599999,16247669.71806600,56528,106649569.60000000,7947304.62090200,0
2020-08-15,0.07167000,0.07250000,0.06781000,0.07104000,131735843.60000000,1597535999999,9207777.50379200,36184,68707649.50000000,4807191.16366500,0
2020-08-16,0.07095000,0.07529000,0.06901000,0.07374000,161679979.10000000,1597622399999,11572992.99855700,33624,83584773.30000000,5984516.08156600,0
2020-08-17,0.07341000,0.08000000,0.07178000,0.07417000,213188098.30000000,1597708799999,16075822.95853500,49122,108675264.20000000,8196447.94431400,0
2020-08-18,0.07436000,0.07483000,0.06612000,0.06750000,113143726.60000000,1597795199999,7981053.41690200,27130,53398716.80000000,3768624.71148700,0
2020-08-19,0.06749000,0.06794000,0.05781000,0.06004000,106978180.60000000,1597881599999,6582439.02328200,26541,51603762.90000000,3165895.66048800,0
2020-08-20,0.06002000,0.06232000,0.05895000,0.06098000,49985839.90000000,1597967999999,3036135.16895400,12653,26934988.60000000,1636401.25091200,0
2020-08-21,0.06110000,0.06386000,0.04656000,0.04799000,124325526.00000000,1598054399999,6704386.18890200,27111,60957300.70000000,3296383.68718100,0
2020-08-22,0.04800000,0.05160000,0.04313000,0.05000000,100168742.70000000,1598140799999,4756597.29485600,20815,47220398.60000000,2242797.63558800,0
2020-08-23,0.04996000,0.05757000,0.04700000,0.05299000,98623237.00000000,1598227199999,5107935.79553300,19216,46221994.80000000,2390661.84138700,0
2020-08-24,0.05294000,0.06410000,0.05131000,0.06400000,119871311.20000000,1598313599999,6955638.70261900,28174,60844481.50000000,3530034.09707600,0
2020-08-25,0.06408000,0.06408000,0.05206000,0.05602000,99831652.60000000,1598399999999,5780918.97364600,30814,48355417.90000000,2795047.31631100,0
2020-08-26,0.05606000,0.06060000,0.05405000,0.05930000,86228114.50000000,1598486399999,5037130.35437200,21299,40470445.30000000,2361460.22263800,0
2020-08-27,0.05926000,0.05930000,0.05088000,0.05458000,63623295.70000000,1598572799999,3572341.70096700,13892,32016864.10000000,1796314.74037900,0
2020-08-28,0.05463000,0.05850000,0.05340000,0.05683000,59546267.20000000,1598659199999,3362022.71066700,13039,29927165.00000000,1690173.81181100,0
2020-08-29,0.05684000,0.05800000,0.05371000,0.05433000,53834901.90000000,1598745599999,3004328.64570200,11038,24544924.70000000,1369603.32106300,0
2020-08-30,0.05433000,0.06465000,0.05384000,0.05970000,167217196.20000000,1598831999999,10159174.69906200,27607,74576540.30000000,4521958.24246600,0
2020-08-31,0.05958000,0.06212000,0.05775000,0.05885000,128849409.30000000,1598918399999,7646192.86504200,24810,53406817.40000000,3170441.42096900,0
2020-09-01,0.05900000,0.05941000,0.05482000,0.05767000,128008054.70000000,1599004799999,7363518.15076200,22756,62407617.70000000,3590187.50817900,0
