openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-08-11,0.74080000,0.88170000,0.67600000,0.72930000,1105159.57000000,1597190399999,831933.91372500,4251,414464.29000000,313421.33304700,0
2020-08-12,0.72520000,0.85000000,0.69380000,0.79950000,1011283.53000000,1597276799999,772240.86692100,3751,447335.67000000,340775.06065700,0
2020-08-13,0.79960000,0.84960000,0.73010000,0.78670000,856108.58000000,1597363199999,666626.92189100,3435,320877.46000000,250088.22067800,0
2020-08-14,0.78670000,0.84000000,0.78000000,0.79760000,1026031.53000000,1597449599999,827941.76006100,3104,494963.21000000,399346.47955800,0
2020-08-15,0.80230000,0.81030000,0.75400000,0.77200000,438650.57000000,1597535999999,342148.16550900,1827,152050.05000000,118654.96328100,0
2020-08-16,0.77200000,0.82180000,0.74000000,0.78970000,428226.03000000,1597622399999,331643.03440000,2062,223411.48000000,174248.46308200,0
2020-08-17,0.79470000,0.81850000,0.75720000,0.77670000,565127.52000000,1597708799999,446843.66486900,2313,247557.12000000,196000.54153400,0
2020-08-18,0.77670000,0.84520000,0.74110000,0.82500000,702889.75000000,1597795199999,558942.16453400,2989,375848.03000000,298926.05765800,0
2020-08-19,0.82500000,0.88880000,0.75000000,0.81450000,2247666.06000000,1597881599999,1863326.42701800,8541,931322.19000000,775383.28207600,0
2020-08-20,0.81450000,0.86640000,0.77510000,0.85930000,1036859.53000000,1597967999999,846289.70210200,3574,362565.83000000,293507.73121500,0
2020-08-21,0.85930000,0.92070000,0.82510000,0.85310000,2150697.18000000,1598054399999,1884115.00301000,7735,1046727.76000000,915942.92564200,0
2020-08-22,0.85990000,0.99950000,0.82520000,0.97990000,1568339.10000000,1598140799999,1463421.81848400,8210,753470.82000000,705365.55172200,0
2020-08-23,0.97930000,0.98830000,0.87500000,0.90610000,731220.04000000,1598227199999,666586.20162400,3843,305969.01000000,278820.86316500,0
2020-08-24,0.90610000,0.91400000,0.86080000,0.89950000,739695.51000000,1598313599999,652444.73097200,2723,369108.20000000,326165.17276500,0
2020-08-25,0.89510000,0.89960000,0.76950000,0.81260000,963341.57000000,1598399999999,793677.74390500,4711,365498.42000000,300810.44036100,0
2020-08-26,0.81330000,0.83500000,0.78000000,0.83500000,437680.61000000,1598486399999,355579.91165800,2310,204016.34000000,166024.14475100,0
2020-08-27,0.83130000,0.83450000,0.71810000,0.75050000,683116.93000000,1598572799999,524926.01926100,3199,236087.05000000,181175.28990300,0
2020-08-28,0.75050000,0.79000000,0.74390000,0.78490000,317788.19000000,1598659199999,244384.28487900,1578,133732.90000000,102903.35538900,0
2020-08-29,0.78190000,0.81420000,0.77700000,0.79580000,404543.30000000,1598745599999,321085.69225900,1679,197209.02000000,156732.63116000,0
2020-08-30,0.79600000,0.81590000,0.76950000,0.78120000,391804.15000000,1598831999999,308969.03603400,1723,166048.69000000,131263.18513000,0
2020-08-31,0.77930000,0.82000000,0.76510000,0.80030000,424518.88000000,1598918399999,333662.28091900,1774,196533.64000000,154861.81531800,0
2020-09-01,0.80060000,0.80450000,0.75000000,0.75710000,526792.55000000,1599004799999,406675.27263200,2417,205144.96000000,157921.33716000,0
2020-09-02,0.75720000,0.76560000,0.68010000,0.70640000,578307.34000000,1599091199999,416174.40123600,2628,152127.80000000,109203.20712300,0
2020-09-03,0.70360000,0.70860000,0.59240000,0.60330000,491691.13000000,1599177599999,322562.25348100,2291,164178.26000000,107701.19318700,0
2020-09-04,0.60310000,0.64210000,0.56890000,0.62650000,429673.94000000,1599263999999,260226.13453400,2117,207228.39000000,126028.44034800,0
2020-09-05,0.62350000,0.63370000,0.56000000,0.58940000,255232.00000000,1599350399999,152052.67147600,1707,141587.63000000,84597.33750400,0
2020-09-06,0.59000000,0.62500000,0.55660000,0.61810000,411409.78000000,1599436799999,247491.32965700,2020,172736.43000000,104484.60346100,0
2020-09-07,0.62000000,0.63460000,0.56410000,0.61020000,268995.36000000,1599523199999,160380.02394900,1337,133979.63000000,79733.07697200,0
2020-09-08,0.61340000,0.62860000,0.57080000,0.58720000,353419.29000000,1599609599999,210064.86406200,1648,141067.13000000,84098.84729700,0
2020-09-09,0.58670000,0.64500000,0.57330000,0.61600000,449972.67000000,1599695999999,276306.74753600,1706,194575.35000000,119316.19196600,0
2020-09-10,0.61660000,0.68480000,0.61010000,0.62750000,637507.64000000,1599782399999,405360.39647400,2380,304135.05000000,193935.91764200,0
2020-09-11,0.62980000,0.65270000,0.60110000,0.64810000,432407.03000000,1599868799999,272685.85533600,1691,187546.42000000,117786.45906600,0
2020-09-12,0.64810000,0.66640000,0.63830000,0.65550000,342368.39000000,1599955199999,223626.86354600,1617,160077.40000000,104649.03961300,0
2020-09-13,0.65550000,0.65870000,0.60020000,0.61130000,371089.12000000,1600041599999,233351.63078200,1480,162792.91000000,101436.67856300,0
2020-09-14,0.61130000,0.63860000,0.59740000,0.63660000,230934.84000000,1600127999999,143063.28749300,1199,103546.27000000,64031.09070400,0
2020-09-15,0.63290000,0.64250000,0.60000000,0.60230000,238303.47000000,1600214399999,147848.58947600,1161,132419.76000000,82695.88371900,0
2020-09-16,0.60230000,0.62120000,0.58150000,0.61700000,219554.53000000,1600300799999,132765.23513400,1056,92021.88000000,55991.72282800,0
2020-09-17,0.61730000,0.63000000,0.60680000,0.62110000,150688.10000000,1600387199999,93342.74256300,861,60882.34000000,37845.31123100,0
2020-09-18,0.62400000,0.62560000,0.59510000,0.60540000,107185.16000000,1600473599999,65647.40735200,624,40756.74000000,24969.59677700,0
2020-09-19,0.60700000,0.62540000,0.60100000,0.62110000,117325.86000000,1600559999999,71939.48558100,556,73333.23000000,45067.96751100,0
2020-09-20,0.61960000,0.64870000,0.60560000,0.64310000,312149.44000000,1600646399999,195844.62116300,1420,159075.95000000,99706.71024200,0
2020-09-21,0.64290000,0.64740000,0.56570000,0.57740000,426905.42000000,1600732799999,256673.80893300,1728,236134.03000000,140600.48922700,0
2020-09-22,0.57510000,0.58300000,0.54890000,0.57190000,219313.42000000,1600819199999,123326.95586100,949,92829.99000000,52123.09063500,0
2020-09-23,0.57380000,0.57590000,0.50480000,0.51790000,218033.23000000,1600905599999,117846.83397500,1020,108635.64000000,58758.81388500,0
2020-09-24,0.51570000,0.55760000,0.51080000,0.55300000,160991.15000000,1600991999999,86267.21808900,801,69318.56000000,37175.86807300,0
2020-09-25,0.55250000,0.58050000,0.53750000,0.56780000,199052.50000000,1601078399999,111471.32665100,828,83570.17000000,46704.97320900,0
2020-09-26,0.56770000,0.57500000,0.55730000,0.56490000,173181.63000000,1601164799999,97976.25205100,676,110989.52000000,62677.72718600,0
2020-09-27,0.56480000,0.59510000,0.55760000,0.56940000,496090.42000000,1601251199999,287854.29055600,1382,237170.85000000,137077.35684300,0
2020-09-28,0.57070000,0.57810000,0.55750000,0.55840000,131695.44000000,1601337599999,75063.66216200,652,57378.40000000,32797.80993700,0
2020-09-29,0.55990000,0.58430000,0.55850000,0.57720000,115780.36000000,1601423999999,66197.73219100,609,69793.06000000,39873.88137100,0
2020-09-30,0.57720000,0.57720000,0.55850000,0.57140000,46431.97000000,1601510399999,26317.27468100,285,20984.45000000,11904.99550200,0
2020-10-01,0.56990000,0.59130000,0.54590000,0.56200000,178745.38000000,1601596799999,102332.36224000,828,88883.91000000,51038.68911700,0
2020-10-02,0.56170000,0.56370000,0.53450000,0.53960000,111355.15000000,1601683199999,60543.24096400,651,49134.57000000,26756.90134100,0
2020-10-03,0.53880000,0.54580000,0.53600000,0.54080000,41230.59000000,1601769599999,22331.29147000,337,21483.43000000,11650.86477100,0
2020-10-04,0.53800000,0.55180000,0.52870000,0.55170000,96535.93000000,1601855999999,52030.45357300,473,47376.07000000,25501.98494100,0
2020-10-05,0.55170000,0.56220000,0.54740000,0.56220000,82320.31000000,1601942399999,45535.77218600,475,32221.60000000,17880.62440600,0
2020-10-06,0.56220000,0.56800000,0.50510000,0.52050000,160746.71000000,1602028799999,86472.58501200,864,68746.90000000,37434.43437100,0
2020-10-07,0.51730000,0.52380000,0.51100000,0.52060000,67641.05000000,1602115199999,35048.18339900,402,29712.95000000,15404.85650700,0
2020-10-08,0.51800000,0.53940000,0.51080000,0.53930000,108712.59000000,1602201599999,57124.46582700,535,47100.81000000,24826.34745600,0
2020-10-09,0.53630000,0.56930000,0.53000000,0.56120000,154251.69000000,1602287999999,85291.60676200,775,78355.38000000,43449.30197500,0
2020-10-10,0.56410000,0.61400000,0.56380000,0.57210000,363079.89000000,1602374399999,214987.19091700,1529,167760.28000000,99136.21757900,0
2020-10-11,0.57230000,0.57890000,0.55950000,0.56800000,61366.06000000,1602460799999,34858.96753400,390,27489.37000000,15640.01438200,0
2020-10-12,0.56790000,0.57570000,0.55510000,0.56650000,106143.78000000,1602547199999,59918.68324300,719,58879.97000000,33222.82430400,0
2020-10-13,0.56650000,0.56720000,0.54930000,0.55610000,57444.11000000,1602633599999,31987.98342700,410,34080.68000000,18989.23993700,0
2020-10-14,0.55640000,0.56530000,0.54530000,0.55090000,95752.60000000,1602719999999,53265.14735900,652,39201.90000000,21787.46678300,0
2020-10-15,0.54920000,0.54920000,0.52330000,0.53290000,171402.70000000,1602806399999,91472.19975700,885,54903.59000000,29399.46214300,0
2020-10-16,0.53250000,0.53310000,0.51900000,0.52630000,94627.31000000,1602892799999,49608.31035400,502,47632.14000000,25007.79507500,0
2020-10-17,0.52680000,0.52980000,0.51420000,0.51980000,61328.83000000,1602979199999,32069.10772900,407,24354.27000000,12789.23808700,0
2020-10-18,0.52310000,0.53630000,0.52120000,0.52640000,125556.98000000,1603065599999,66643.28142100,837,48422.55000000,25740.34931200,0
2020-10-19,0.52660000,0.53010000,0.51550000,0.52080000,180955.77000000,1603151999999,94656.73820900,935,59824.18000000,31406.91850600,0
2020-10-20,0.52120000,0.52490000,0.47030000,0.48580000,350138.52000000,1603238399999,173574.38118500,1798,154162.78000000,76609.88551400,0
2020-10-21,0.48590000,0.50500000,0.47240000,0.49200000,277020.17000000,1603324799999,135674.53058100,1453,121851.56000000,59751.42982400,0
2020-10-22,0.49480000,0.51040000,0.48730000,0.50330000,167885.79000000,1603411199999,84446.32819900,1021,78520.32000000,39486.00600100,0
2020-10-23,0.50170000,0.52930000,0.49590000,0.50810000,234054.06000000,1603497599999,119930.24456900,1026,101763.43000000,52004.17799300,0
2020-10-24,0.51120000,0.54990000,0.51120000,0.52280000,338426.79000000,1603583999999,179816.25937700,1574,161628.37000000,86133.58857200,0
2020-10-25,0.52420000,0.52420000,0.49010000,0.49650000,98935.94000000,1603670399999,49788.73264400,721,34771.09000000,17503.38883600,0
2020-10-26,0.50040000,0.52330000,0.48630000,0.49880000,159871.21000000,1603756799999,80474.25414700,935,74328.32000000,37705.36940700,0
2020-10-27,0.49910000,0.51500000,0.48180000,0.49360000,289793.54000000,1603843199999,143072.35935300,1138,168202.10000000,82930.54024300,0
2020-10-28,0.49350000,0.52200000,0.46200000,0.47290000,323197.50000000,1603929599999,159505.60259400,1708,162723.98000000,80063.26843700,0
2020-10-29,0.47430000,0.47990000,0.46020000,0.46400000,87077.77000000,1604015999999,40848.31733800,635,40265.93000000,18904.53760900,0
2020-10-30,0.46130000,0.46630000,0.42620000,0.43410000,125950.75000000,1604102399999,56071.21251100,754,41856.14000000,18766.46746900,0
2020-10-31,0.43730000,0.45080000,0.42910000,0.43490000,113013.32000000,1604188799999,49908.21764200,648,46466.01000000,20568.29710200,0
2020-11-01,0.43490000,0.43700000,0.42360000,0.43070000,49615.69000000,1604275199999,21274.38033500,352,28871.78000000,12424.40147400,0
2020-11-02,0.43230000,0.44510000,0.42250000,0.43050000,112170.31000000,1604361599999,48914.32048300,668,49314.13000000,21471.55380300,0
2020-11-03,0.43040000,0.43430000,0.40360000,0.42020000,96061.55000000,1604447999999,40062.21014500,626,42171.71000000,17645.79270400,0
2020-11-04,0.41860000,0.44020000,0.38800000,0.43080000,210567.31000000,1604534399999,89018.11109500,1152,92394.62000000,38986.63224800,0
2020-11-05,0.43080000,0.44990000,0.42120000,0.43610000,382598.65000000,1604620799999,164782.04837900,1371,169997.43000000,73375.35712500,0
2020-11-06,0.43400000,0.47200000,0.43270000,0.45860000,521359.63000000,1604707199999,236337.06486900,1696,197127.86000000,89123.06767200,0
2020-11-07,0.45860000,0.48000000,0.42000000,0.43110000,361609.92000000,1604793599999,162222.52674300,1748,186588.75000000,84774.22170300,0
2020-11-08,0.42930000,0.46210000,0.42920000,0.45830000,127160.08000000,1604879999999,57194.48335900,803,70603.65000000,31658.13536700,0
2020-11-09,0.45790000,0.47300000,0.43560000,0.45920000,172796.33000000,1604966399999,78966.99253100,1018,91678.84000000,41928.81126900,0
2020-11-10,0.45530000,0.49980000,0.45510000,0.48570000,232834.75000000,1605052799999,111118.71304300,1152,121413.29000000,58102.48778600,0
2020-11-11,0.48960000,0.49990000,0.47430000,0.47430000,240502.31000000,1605139199999,116928.18604200,1265,110510.14000000,53871.70124200,0
2020-11-12,0.47430000,0.47750000,0.45810000,0.46390000,111908.50000000,1605225599999,52392.76761300,712,54478.69000000,25576.43056200,0
2020-11-13,0.46440000,0.49150000,0.46420000,0.48430000,147004.60000000,1605311999999,70483.39661100,771,82684.59000000,39678.74447800,0
2020-11-14,0.48590000,0.49890000,0.46900000,0.48340000,214067.92000000,1605398399999,104317.73041900,914,62535.41000000,30187.87950900,0
2020-11-15,0.48310000,0.48330000,0.45040000,0.45780000,298142.01000000,1605484799999,138444.23242300,1031,89670.80000000,41639.10248000,0
2020-11-16,0.46010000,0.47250000,0.45140000,0.46630000,142264.44000000,1605571199999,66112.83316000,874,44414.00000000,20677.20027600,0
2020-11-17,0.46640000,0.47720000,0.46050000,0.47310000,271063.46000000,1605657599999,127116.42861700,1326,148589.08000000,69752.01166700,0
2020-11-18,0.46930000,0.48230000,0.43760000,0.46250000,223659.55000000,1605743999999,103585.08007000,1384,134857.41000000,62714.25016500,0
2020-11-19,0.46250000,0.51850000,0.45000000,0.46640000,495974.77000000,1605830399999,238436.70010000,2225,262245.07000000,126344.15167700,0
2020-11-20,0.46530000,0.49580000,0.46510000,0.47420000,258226.23000000,1605916799999,123362.68813300,1722,141470.90000000,67571.35402500,0
2020-11-21,0.47420000,0.52000000,0.46610000,0.51680000,435480.51000000,1606003199999,216182.13825300,2332,235458.76000000,117414.26983100,0
2020-11-22,0.51660000,0.51710000,0.47160000,0.48460000,605940.68000000,1606089599999,298240.44649200,2202,198438.20000000,97809.00136300,0
2020-11-23,0.48570000,0.51850000,0.47750000,0.51010000,557693.76000000,1606175999999,277405.17904400,2918,243883.68000000,121856.13041200,0
2020-11-24,0.50980000,0.79620000,0.50370000,0.62880000,4270273.25000000,1606262399999,2649164.01762700,16208,2112719.40000000,1313100.61054900,0
2020-11-25,0.62510000,0.72740000,0.56880000,0.60320000,1616586.95000000,1606348799999,1055111.10635500,7600,826040.65000000,540472.89390300,0
2020-11-26,0.59870000,0.63240000,0.48970000,0.52740000,758436.20000000,1606435199999,412525.26489600,4480,302690.01000000,165653.76910300,0
2020-11-27,0.53310000,0.56650000,0.50070000,0.54130000,401277.78000000,1606521599999,212194.36974800,2595,170331.05000000,90129.68081600,0
2020-11-28,0.54410000,0.62170000,0.53580000,0.57940000,1003241.76000000,1606607999999,581791.13074800,5859,467824.16000000,270086.57711800,0
2020-11-29,0.57940000,0.59000000,0.55870000,0.57300000,302396.47000000,1606694399999,173815.50167100,1872,138788.60000000,79785.75612200,0
2020-11-30,0.57670000,0.59310000,0.55590000,0.58990000,321986.06000000,1606780799999,185485.52137100,2251,163620.14000000,94452.52999600,0
