openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,0.24966000,0.26900000,0.24478000,0.25944000,16697774.00000000,1625356799999,4288829.01890600,16239,8865367.70000000,2279340.86008800,0
2021-07-04,0.25921000,0.26751000,0.25081000,0.25803000,12868334.40000000,1625443199999,3351113.28584000,14176,5897093.90000000,1535629.42279800,0
2021-07-05,0.25758000,0.25867000,0.24300000,0.24742000,9395624.20000000,1625529599999,2361417.59635400,11174,4647800.40000000,1168262.49648000,0
2021-07-06,0.24758000,0.26158000,0.24719000,0.25900000,17168428.80000000,1625615999999,4391278.39832900,15548,8349619.30000000,2135051.79916200,0
2021-07-07,0.25874000,0.27233000,0.25543000,0.25689000,21124420.00000000,1625702399999,5567543.17156500,19672,10116329.80000000,2668455.81785200,0
2021-07-08,0.25732000,0.25853000,0.23216000,0.23638000,16051288.50000000,1625788799999,3885100.39966400,17110,8428492.40000000,2036241.11483000,0
2021-07-09,0.23631000,0.24037000,0.22578000,0.23822000,14731086.10000000,1625875199999,3459908.18994200,14513,7234418.10000000,1698910.61277700,0
2021-07-10,0.23822000,0.24161000,0.22840000,0.23517000,10353585.20000000,1625961599999,2442710.86452800,11192,5397766.40000000,1273331.04817200,0
2021-07-11,0.23502000,0.23970000,0.23052000,0.23570000,9777724.00000000,1626047999999,2305202.50435600,10920,4676355.40000000,1102735.35152600,0
2021-07-12,0.23580000,0.24143000,0.22750000,0.23208000,8694036.00000000,1626134399999,2039733.88966800,11335,4395513.30000000,1030518.92903700,0
2021-07-13,0.23148000,0.23344000,0.21934000,0.22321000,7935022.80000000,1626220799999,1795871.32459400,9739,3837249.60000000,868403.99034900,0
