openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,1.14690000,1.19160000,1.12450000,1.14400000,183971.87000000,1609545599999,213931.36051900,2924,91056.47000000,106109.62980800,0
2021-01-02,1.14900000,1.20000000,1.12120000,1.15660000,262683.31000000,1609631999999,304822.14072000,4197,123285.90000000,143394.81910800,0
2021-01-03,1.15810000,1.25520000,1.09900000,1.24400000,650444.80000000,1609718399999,767938.07777500,9791,313020.94000000,369783.88754300,0
2021-01-04,1.24800000,1.29400000,1.11000000,1.20420000,855546.27000000,1609804799999,1037839.03269300,12856,393433.86000000,477797.85131300,0
2021-01-05,1.20880000,1.23620000,1.14310000,1.22820000,418540.98000000,1609891199999,502053.46004400,6809,195474.89000000,234900.62772600,0
2021-01-06,1.22820000,1.37980000,1.19310000,1.37050000,853469.18000000,1609977599999,1107444.37938800,10742,469879.45000000,609684.37362700,0
2021-01-07,1.37500000,1.46000000,1.27520000,1.34640000,1579453.84000000,1610063999999,2197576.64267000,16122,630651.13000000,879274.11998300,0
2021-01-08,1.35080000,1.37500000,1.20320000,1.33170000,942809.18000000,1610150399999,1223985.72389700,11621,471305.80000000,611397.78662400,0
2021-01-09,1.33170000,1.62990000,1.27740000,1.45820000,2146985.53000000,1610236799999,3128964.95021100,20806,1053140.53000000,1523654.75308300,0
2021-01-10,1.45820000,1.59190000,1.28250000,1.43050000,2344566.90000000,1610323199999,3390731.53599100,20802,1191944.61000000,1724481.02797000,0
2021-01-11,1.43030000,1.43950000,1.15280000,1.24390000,1077134.83000000,1610409599999,1330070.48438000,12402,478836.48000000,592161.84227100,0
2021-01-12,1.24390000,1.31000000,1.17410000,1.26170000,682757.33000000,1610495999999,847029.78958800,7747,384742.30000000,476518.97064800,0
2021-01-13,1.25560000,1.38800000,1.19210000,1.35610000,679529.86000000,1610582399999,869549.09529400,7485,393914.16000000,505606.00454700,0
2021-01-14,1.35210000,1.43260000,1.30000000,1.36950000,694065.62000000,1610668799999,945188.52174100,8856,414712.34000000,567071.01374800,0
2021-01-15,1.36990000,1.38590000,1.22500000,1.30050000,673315.13000000,1610755199999,881113.80360800,8790,301334.57000000,395198.36484000,0
2021-01-16,1.30610000,1.41070000,1.30060000,1.37040000,814307.49000000,1610841599999,1114524.07269500,8900,427225.85000000,585834.79402400,0
2021-01-17,1.37040000,1.43370000,1.28180000,1.39470000,862210.04000000,1610927999999,1180497.08500800,10363,453007.21000000,622379.86055100,0
2021-01-18,1.39930000,1.44000000,1.32350000,1.43570000,685949.06000000,1611014399999,949539.48008500,8479,331194.50000000,459787.72588600,0
2021-01-19,1.43570000,1.45920000,1.36580000,1.38200000,741493.82000000,1611100799999,1049879.75047200,9086,324828.23000000,460265.08402300,0
2021-01-20,1.38200000,1.52800000,1.32300000,1.50340000,2002872.47000000,1611187199999,2887605.54136300,19644,937473.21000000,1354601.90457100,0
2021-01-21,1.50460000,1.53000000,1.26160000,1.27190000,1302096.20000000,1611273599999,1813037.37139000,14758,570393.38000000,799135.21771800,0
2021-01-22,1.26790000,1.38880000,1.18260000,1.34640000,907186.27000000,1611359999999,1178218.43232900,9844,454256.78000000,593632.75027300,0
2021-01-23,1.34830000,1.49000000,1.28690000,1.38150000,1275794.28000000,1611446399999,1743009.26411200,11965,669880.02000000,918035.09027900,0
2021-01-24,1.38160000,1.43800000,1.32210000,1.35760000,660548.11000000,1611532799999,908156.95249300,8486,315212.20000000,433629.35201300,0
2021-01-25,1.35760000,1.39140000,1.30650000,1.32510000,535232.55000000,1611619199999,726447.85907900,6935,247993.27000000,336989.72171300,0
2021-01-26,1.32500000,1.33580000,1.23860000,1.30260000,484609.76000000,1611705599999,620045.08405700,5426,272789.89000000,348773.46859400,0
2021-01-27,1.30270000,1.30470000,1.18180000,1.21840000,537920.85000000,1611791999999,660901.90635500,5530,277198.15000000,340491.13658200,0
2021-01-28,1.21820000,1.33990000,1.20100000,1.31860000,636512.11000000,1611878399999,817783.38724800,7674,285327.87000000,367047.67519800,0
2021-01-29,1.31790000,1.41350000,1.28320000,1.32350000,1349716.73000000,1611964799999,1820025.87761900,13670,719434.81000000,971244.08846800,0
2021-01-30,1.32730000,1.33730000,1.27260000,1.31890000,635151.04000000,1612051199999,829618.09533600,7310,287952.29000000,376177.43740400,0
2021-01-31,1.31680000,1.37290000,1.25000000,1.32220000,909619.12000000,1612137599999,1200260.45331200,9936,422687.80000000,559077.96719400,0
2021-02-01,1.32230000,1.45420000,1.26710000,1.38760000,1538270.87000000,1612223999999,2109643.85125600,17535,736053.85000000,1010102.60122900,0
2021-02-02,1.38770000,1.42000000,1.34770000,1.40560000,1003170.23000000,1612310399999,1390860.27040300,11202,487462.73000000,676362.16848800,0
2021-02-03,1.41260000,1.55500000,1.38100000,1.50000000,1151300.74000000,1612396799999,1677962.89785700,14628,614889.55000000,898482.43269500,0
2021-02-04,1.50000000,1.50450000,1.36220000,1.41590000,1227476.80000000,1612483199999,1754364.40849600,15588,570014.02000000,815134.51745400,0
2021-02-05,1.41600000,1.81000000,1.40930000,1.78530000,4220291.67000000,1612569599999,6784794.01651400,43540,2095122.24000000,3368780.29907900,0
2021-02-06,1.78530000,1.79220000,1.52600000,1.62710000,2717984.48000000,1612655999999,4456715.28634200,29198,1144390.72000000,1873207.97649100,0
2021-02-07,1.62710000,1.63790000,1.47400000,1.56380000,1512060.80000000,1612742399999,2336135.90705700,17406,672579.20000000,1041212.25032500,0
2021-02-08,1.56360000,1.85000000,1.50000000,1.74340000,2656579.02000000,1612828799999,4509976.30689800,28694,1406723.07000000,2382678.00706600,0
2021-02-09,1.74940000,1.92030000,1.70420000,1.86660000,2188300.70000000,1612915199999,3985448.56046700,27008,1055713.45000000,1921058.68412900,0
2021-02-10,1.86920000,2.65000000,1.81540000,2.30550000,9930430.03000000,1613001599999,22375375.89385900,90813,5055583.64000000,11435876.41268000,0
2021-02-11,2.29690000,2.61000000,2.23450000,2.42140000,4756754.00000000,1613087999999,11425163.58901900,56337,2236728.51000000,5374976.73438200,0
2021-02-12,2.42130000,2.48000000,2.24490000,2.43630000,2589440.90000000,1613174399999,6151706.63838400,31769,1214394.71000000,2886935.13903800,0
2021-02-13,2.43610000,3.65600000,2.31430000,3.38320000,7524066.30000000,1613260799999,22379542.07173000,89752,3822314.22000000,11384082.89416400,0
2021-02-14,3.38290000,4.70000000,3.08500000,3.82500000,21628442.03000000,1613347199999,84515292.07418200,208716,11070362.06000000,43291870.75117000,0
2021-02-15,3.82500000,4.10000000,2.77770000,3.30780000,5423289.42000000,1613433599999,18564410.58569100,81643,2811517.09000000,9640947.45797500,0
2021-02-16,3.30770000,3.62000000,2.96930000,3.25230000,3209979.24000000,1613519999999,10620795.38464500,43251,1634455.99000000,5401093.77285300,0
2021-02-17,3.25140000,3.51870000,2.94160000,3.42000000,1939605.79000000,1613606399999,6299555.73345700,31225,960610.18000000,3116300.36883700,0
2021-02-18,3.42000000,3.88000000,3.30010000,3.78100000,2199483.86000000,1613692799999,7850118.28782400,36073,1156591.99000000,4132164.66984800,0
2021-02-19,3.78100000,4.03170000,3.40350000,3.87200000,2503701.21000000,1613779199999,9379471.16489000,42276,1291746.57000000,4832985.88669300,0
2021-02-20,3.87190000,4.38990000,3.38090000,3.66380000,4660076.33000000,1613865599999,18675520.84596400,60006,2594656.53000000,10409535.52921000,0
2021-02-21,3.66320000,4.00000000,3.58000000,3.84890000,1390972.70000000,1613951999999,5351545.25364000,29458,721962.57000000,2778363.96632300,0
2021-02-22,3.84890000,3.96000000,2.70100000,3.40000000,3441161.96000000,1614038399999,11351374.65447900,42184,1718689.54000000,5679932.16841700,0
2021-02-23,3.39340000,3.40620000,2.15620000,2.65100000,4094441.35000000,1614124799999,10934456.20020100,35706,2055401.39000000,5527674.42000800,0
2021-02-24,2.65080000,3.20000000,2.45380000,2.82650000,2930727.53000000,1614211199999,8343398.33129000,30267,1548719.51000000,4400375.82083000,0
2021-02-25,2.82410000,4.31950000,2.81280000,3.02300000,9044269.15000000,1614297599999,32151158.14376900,114081,4398506.36000000,15710525.44665200,0
2021-02-26,3.03110000,3.27790000,2.80000000,3.02210000,2677753.14000000,1614383999999,8007708.75261800,35237,1288510.22000000,3858960.38064000,0
2021-02-27,3.02150000,3.30000000,2.91750000,3.08940000,1171812.20000000,1614470399999,3597420.86743500,17894,580316.81000000,1783927.24900100,0
2021-02-28,3.08940000,3.09100000,2.54140000,2.90520000,1259316.79000000,1614556799999,3504075.15180200,17602,618522.72000000,1728953.91375500,0
2021-03-01,2.90450000,3.10170000,2.80000000,3.08720000,1122789.65000000,1614643199999,3339326.28250200,21889,559367.03000000,1666233.69254100,0
2021-03-02,3.09480000,3.68810000,2.96250000,3.16780000,2951228.82000000,1614729599999,9673955.64010200,45226,1471025.58000000,4818443.13335700,0
2021-03-03,3.16780000,3.30000000,3.07840000,3.24700000,1557857.90000000,1614815999999,4988817.62231400,24422,815260.74000000,2612119.22417600,0
2021-03-04,3.24030000,3.32880000,2.92670000,3.11800000,1047640.92000000,1614902399999,3268174.64497300,19112,475810.77000000,1482002.92621900,0
2021-03-05,3.12020000,3.12590000,2.86650000,3.08820000,875752.48000000,1614988799999,2618869.03913200,14779,450220.48000000,1346610.32330700,0
2021-03-06,3.09470000,3.26380000,3.00000000,3.20840000,998760.08000000,1615075199999,3134570.93357600,18716,535726.62000000,1681317.51737500,0
2021-03-07,3.21230000,3.26010000,3.12580000,3.25280000,688406.79000000,1615161599999,2190042.45950000,12074,369979.69000000,1178522.69367100,0
2021-03-08,3.25560000,3.30000000,3.08210000,3.24610000,777148.84000000,1615247999999,2480380.13229100,14853,396520.28000000,1266663.36279500,0
