openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2018-01-01,223.69000000,231.19000000,212.74000000,222.61000000,20221.25300000,1514851199999,4495346.59398870,17150,9574.03964000,2128648.50494200,0
2018-01-02,222.62000000,256.49000000,222.62000000,247.33000000,63293.12934000,1514937599999,15468084.20938890,34824,27882.52627000,6801232.76132390,0
2018-01-03,247.33000000,253.40000000,233.56000000,238.77000000,71369.27484000,1515023999999,17455596.19375660,37685,26294.86991000,6416466.17467360,0
2018-01-04,238.89000000,240.00000000,219.38000000,233.00000000,78182.30493000,1515110399999,17951834.03896510,43209,32637.42362000,7494880.20355790,0
2018-01-05,233.04000000,250.99000000,230.00000000,240.54000000,65010.14465000,1515196799999,15696625.23798450,30382,31773.32633000,7684033.40150970,0
2018-01-06,240.95000000,315.00000000,238.73000000,275.28000000,100812.21370000,1515283199999,28259590.95256040,41513,48146.90612000,13540103.10405150,0
2018-01-07,276.24000000,287.00000000,262.00000000,269.01000000,43811.61108000,1515369599999,12078548.83517490,23777,19199.92489000,5290835.80199830,0
2018-01-08,269.01000000,271.82000000,212.74000000,252.65000000,76256.97086000,1515455999999,19095109.75956960,33866,29853.94175000,7463440.03388410,0
2018-01-09,252.49000000,257.64000000,228.24000000,244.48000000,53921.90417000,1515542399999,13345180.46142260,25770,24047.68111000,5959695.69280420,0
2018-01-10,244.56000000,248.99000000,225.05000000,247.63000000,70931.30085000,1515628799999,16870783.60570080,29781,31173.20611000,7410068.00891550,0
2018-01-11,247.63000000,252.27000000,195.03000000,223.77000000,83842.47294000,1515715199999,19073326.49101500,37597,33923.40421000,7709182.77607520,0
2018-01-12,223.76000000,240.45000000,213.01000000,233.11000000,45676.80703000,1515801599999,10548375.58706470,22683,19364.75803000,4473975.70822690,0
2018-01-13,233.11000000,263.99000000,232.54000000,257.98000000,42811.12858000,1515887999999,10476151.19283710,20564,20536.64911000,5021873.20889510,0
2018-01-14,257.98000000,271.64000000,222.00000000,234.12000000,62203.40257000,1515974399999,15137840.87267710,26501,25641.01885000,6275629.38469460,0
2018-01-15,234.26000000,242.31000000,227.60000000,229.50000000,35755.94861000,1516060799999,8398319.52401280,18021,15013.08980000,3534600.88157560,0
2018-01-16,229.50000000,242.00000000,135.67000000,179.28000000,150044.07322000,1516147199999,28582968.27984050,49964,64065.88370000,12201667.00554840,0
2018-01-17,179.28000000,198.89000000,136.20000000,182.44000000,155640.00921000,1516233599999,26395093.95533670,51587,72243.33500000,12288904.47763290,0
2018-01-18,183.45000000,202.19000000,170.50000000,186.14000000,98372.75595000,1516319999999,18512748.89318030,37258,44029.86546000,8310227.41932720,0
2018-01-19,186.21000000,199.00000000,176.04000000,191.42000000,59369.45319000,1516406399999,11209086.54687990,24967,27602.06075000,5216599.03376080,0
2018-01-20,191.44000000,215.00000000,190.67000000,210.40000000,59162.64755000,1516492799999,12075942.50821620,24687,29006.20287000,5900659.55160940,0
2018-01-21,210.05000000,210.69000000,180.00000000,190.16000000,64817.00761000,1516579199999,12460823.87205310,28336,29757.15696000,5734079.57744880,0
2018-01-22,190.52000000,195.00000000,163.44000000,178.00000000,60376.36050000,1516665599999,10811398.77051230,26955,28293.81948000,5057167.65325140,0
2018-01-23,178.00000000,186.42000000,163.02000000,176.98000000,49510.38638000,1516751999999,8716023.11744210,23619,25000.16983000,4402922.98675540,0
2018-01-24,176.94000000,186.30000000,171.58000000,180.89000000,43298.49800000,1516838399999,7744819.23022160,21988,20920.03814000,3747044.81545750,0
2018-01-25,180.83000000,186.00000000,175.58000000,179.59000000,39819.99079000,1516924799999,7216982.00761450,16942,16921.55596000,3067094.84120900,0
2018-01-26,179.00000000,183.06000000,165.00000000,177.09000000,49473.65655000,1517011199999,8624749.65474230,19450,22485.58862000,3916169.19209480,0
2018-01-27,175.73000000,184.00000000,173.00000000,182.10000000,31424.87310000,1517097599999,5654927.14895050,14128,15983.90511000,2879515.64334770,0
2018-01-28,182.11000000,198.00000000,181.70000000,196.74000000,47275.56346000,1517183999999,8994922.71388620,20582,20990.86972000,3994254.65597230,0
2018-01-29,196.74000000,197.19000000,180.01000000,181.50000000,36900.24385000,1517270399999,6841796.67623810,18605,13892.86110000,2581121.38679950,0
2018-01-30,181.51000000,181.96000000,160.59000000,168.21000000,56599.48048000,1517356799999,9714236.04562830,30313,22464.14624000,3860900.60489430,0
2018-01-31,168.10000000,169.31000000,157.50000000,165.19000000,37253.63137000,1517443199999,6066209.67681110,22621,15671.22412000,2551442.29591890,0
2018-02-01,164.83000000,167.20000000,132.00000000,143.69000000,64818.91744000,1517529599999,9681259.49916770,32711,29886.71476000,4465753.55994270,0
2018-02-02,144.04000000,147.00000000,108.52000000,131.68000000,124193.03592000,1517615999999,15940474.89218790,55200,51812.38821000,6664419.05236070,0
2018-02-03,131.99000000,166.99000000,120.06000000,160.30000000,143242.70975000,1517702399999,21386022.97195930,55345,75068.15025000,11218120.71455160,0
2018-02-04,160.86000000,174.75000000,138.00000000,147.09000000,300059.19271000,1517788799999,46812220.17720890,101423,138377.96242000,21607673.59732960,0
2018-02-05,147.29000000,153.96000000,116.60000000,125.17000000,299970.42074000,1517875199999,40146290.06977090,91798,143903.02671000,19215186.40728450,0
2018-02-06,125.17000000,147.00000000,106.50000000,141.00000000,393108.74790000,1517961599999,49029234.27725300,117861,193845.02323000,24175888.64083430,0
