openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,0.65390000,0.67370000,0.62980000,0.64800000,4478724.25000000,1609545599999,2902700.77433400,14316,2224266.63000000,1440528.60728300,0
2021-01-02,0.64770000,0.64780000,0.61500000,0.62990000,4138788.46000000,1609631999999,2613120.45882000,15192,1986756.30000000,1254263.22617000,0
2021-01-03,0.63020000,0.67840000,0.62450000,0.65830000,10490641.11000000,1609718399999,6879124.72747200,26223,5557335.19000000,3635927.47747400,0
2021-01-04,0.65860000,0.72210000,0.62940000,0.66720000,16107163.90000000,1609804799999,10879050.04309800,38322,6491497.72000000,4367956.35784500,0
2021-01-05,0.66820000,0.71850000,0.64540000,0.71430000,12962229.05000000,1609891199999,8912089.34347200,28227,4745805.53000000,3264816.29373200,0
2021-01-06,0.71440000,0.72160000,0.69860000,0.71350000,5367868.40000000,1609977599999,3807661.88627500,15484,2454316.66000000,1741851.94145500,0
2021-01-07,0.71350000,0.95650000,0.70750000,0.85720000,25856425.52000000,1610063999999,21747824.12195300,53579,11012999.57000000,9277997.23399600,0
2021-01-08,0.85720000,0.89700000,0.82500000,0.84790000,11787310.07000000,1610150399999,10074491.40088600,29190,5798152.21000000,4939841.47735700,0
2021-01-09,0.84840000,0.85000000,0.79800000,0.81370000,5982533.56000000,1610236799999,4917896.87938600,17005,2876759.50000000,2363707.03928200,0
2021-01-10,0.81360000,0.88710000,0.81080000,0.84350000,11112482.90000000,1610323199999,9484358.53924200,31342,5569872.66000000,4752694.50725000,0
2021-01-11,0.84360000,0.84460000,0.69740000,0.73710000,16830825.06000000,1610409599999,12994347.02739000,44094,7953774.09000000,6135008.24964400,0
2021-01-12,0.73740000,0.83930000,0.71230000,0.74810000,12796741.25000000,1610495999999,9961767.54911500,25704,5768318.62000000,4479871.79210200,0
2021-01-13,0.74720000,0.84830000,0.72180000,0.82130000,10642760.25000000,1610582399999,8482358.70197000,22645,5094801.96000000,4052922.82462600,0
2021-01-14,0.82130000,0.90380000,0.80420000,0.83260000,12660847.46000000,1610668799999,10946886.48451400,24066,6375916.74000000,5518919.68998400,0
2021-01-15,0.83320000,0.85370000,0.75700000,0.79200000,7596047.54000000,1610755199999,6076076.29053000,20889,3715199.28000000,2973871.35045800,0
2021-01-16,0.79220000,0.81420000,0.75610000,0.76050000,5165627.88000000,1610841599999,4082474.98911000,15574,2446090.24000000,1936200.04168800,0
2021-01-17,0.75940000,0.82930000,0.74760000,0.80740000,9156754.41000000,1610927999999,7216445.74901500,22386,4054897.88000000,3191941.84088900,0
2021-01-18,0.80750000,0.82050000,0.78870000,0.80100000,4110835.89000000,1611014399999,3300204.36998800,11545,2000123.19000000,1607232.77327100,0
2021-01-19,0.80090000,1.00310000,0.79250000,0.91020000,23354170.04000000,1611100799999,21476258.92961600,48262,10007616.20000000,9145187.99383900,0
2021-01-20,0.91130000,0.94010000,0.86630000,0.90330000,8122580.75000000,1611187199999,7369980.00103100,21336,3421892.83000000,3098785.48382600,0
2021-01-21,0.90410000,0.90610000,0.79290000,0.79330000,6464858.73000000,1611273599999,5439030.92836300,20154,2629298.47000000,2212514.33479400,0
2021-01-22,0.79410000,0.86350000,0.77020000,0.81220000,8413795.22000000,1611359999999,6917617.32316700,20951,4231124.23000000,3484584.54264800,0
2021-01-23,0.81210000,0.90250000,0.80470000,0.90230000,6505711.09000000,1611446399999,5497216.28049700,17902,3484074.52000000,2947617.75721400,0
2021-01-24,0.90250000,0.92350000,0.85690000,0.90760000,8293572.38000000,1611532799999,7319177.22617800,21217,4090568.12000000,3610251.18984200,0
2021-01-25,0.90760000,0.94200000,0.86820000,0.86970000,7606952.61000000,1611619199999,6923059.10462600,23570,3470981.56000000,3164799.66480700,0
2021-01-26,0.86990000,1.37000000,0.86510000,1.26400000,80404308.92000000,1611705599999,94442047.58429100,179179,39461336.17000000,46326582.12272100,0
2021-01-27,1.26470000,1.29500000,1.10660000,1.12040000,38276533.93000000,1611791999999,44887189.84243800,99008,19616905.41000000,23010312.83618400,0
2021-01-28,1.12060000,1.58500000,1.10870000,1.45280000,60659454.69000000,1611878399999,86599758.76764000,224741,27669732.84000000,39478437.16628000,0
2021-01-29,1.45250000,1.71000000,1.44700000,1.47360000,39120384.66000000,1611964799999,60919131.16357600,170132,16278034.73000000,25349186.99813200,0
2021-01-30,1.47420000,1.57970000,1.39930000,1.43470000,21660315.62000000,1612051199999,31915599.93306700,74808,9465031.04000000,13938581.73470900,0
2021-01-31,1.43460000,1.54000000,1.36760000,1.45800000,25029885.10000000,1612137599999,36472333.30706600,91252,11342008.35000000,16528068.51189000,0
2021-02-01,1.45780000,1.94000000,1.41600000,1.79990000,38334820.93000000,1612223999999,62456940.16767800,138751,17931960.32000000,29222807.75893700,0
2021-02-02,1.79990000,2.35690000,1.79880000,2.35690000,38910424.65000000,1612310399999,80087078.92182300,169869,18682637.19000000,38469800.25299400,0
2021-02-03,2.35550000,2.50000000,2.01000000,2.11140000,41685641.82000000,1612396799999,93051122.87406100,195032,20768483.22000000,46280418.84633400,0
2021-02-04,2.11050000,2.87450000,1.98270000,2.66650000,43438171.57000000,1612483199999,106800221.05384100,232698,21271802.00000000,52139352.61424500,0
2021-02-05,2.66800000,3.03020000,2.65450000,2.87900000,20501508.34000000,1612569599999,58065290.47109700,152008,10069996.32000000,28554928.67776400,0
2021-02-06,2.87900000,2.98130000,2.53330000,2.69280000,12746214.83000000,1612655999999,34942552.05387800,107737,6219634.68000000,17057679.19889800,0
2021-02-07,2.69250000,3.15000000,2.46900000,3.08200000,22438890.10000000,1612742399999,62933605.45974500,161100,10938065.02000000,30719105.28707700,0
2021-02-08,3.08200000,6.20000000,3.06100000,5.77430000,58737936.39000000,1612828799999,255748304.84657300,399898,29305984.58000000,128361530.73008200,0
2021-02-09,5.76700000,8.44480000,4.83260000,6.46630000,66425086.13000000,1612915199999,403890657.33693000,499312,33972370.32000000,206835300.86406600,0
2021-02-10,6.46400000,7.00000000,5.70000000,6.09250000,25227853.05000000,1613001599999,159816811.19589500,274281,12606046.72000000,79866768.44057100,0
2021-02-11,6.09180000,6.51840000,5.41980000,5.48990000,17811151.59000000,1613087999999,106435189.85358100,189928,9109298.82000000,54480916.62998000,0
2021-02-12,5.49550000,6.16360000,5.40000000,5.73300000,20251126.82000000,1613174399999,117731509.65702200,195682,9604651.84000000,55830328.81321100,0
2021-02-13,5.73030000,5.99980000,5.38930000,5.59860000,11026456.78000000,1613260799999,63015800.55593700,117752,5181748.61000000,29630812.23322000,0
2021-02-14,5.59520000,6.18030000,5.32820000,5.63670000,13331261.42000000,1613347199999,76466640.48411100,142804,6298306.74000000,36156654.27958400,0
2021-02-15,5.63750000,6.10000000,4.96000000,5.45480000,17564032.05000000,1613433599999,94436371.28027000,176174,8779910.52000000,47215846.06455400,0
2021-02-16,5.45350000,6.75000000,5.27950000,6.52040000,24070491.98000000,1613519999999,148274943.32001200,235039,11821347.68000000,72842933.55754400,0
2021-02-17,6.52230000,7.48000000,5.81030000,7.27230000,28283777.77000000,1613606399999,185500195.72829500,281469,13653975.07000000,89611690.85528400,0
2021-02-18,7.27930000,7.53580000,6.40000000,6.69660000,14068865.49000000,1613692799999,97246818.29928100,179359,6824198.31000000,47179317.55283400,0
2021-02-19,6.69390000,6.90000000,6.15560000,6.31010000,10846138.23000000,1613779199999,70137174.21799300,134395,4875608.34000000,31525817.78672200,0
2021-02-20,6.31010000,6.75010000,5.68320000,5.94110000,10080940.46000000,1613865599999,63269092.09997800,133972,4414992.90000000,27730769.13736800,0
2021-02-21,5.94630000,6.36660000,5.79890000,6.12070000,7781188.87000000,1613951999999,47266819.37380300,109723,3436182.08000000,20913882.37031700,0
2021-02-22,6.12060000,8.47000000,5.94770000,7.07150000,38768546.54000000,1614038399999,280509923.82230500,364398,18285944.43000000,132573844.05198900,0
2021-02-23,7.07910000,7.15000000,5.43500000,6.73590000,28169294.44000000,1614124799999,179522942.56061800,231700,12426207.54000000,79246146.46519500,0
2021-02-24,6.72700000,7.68790000,6.40060000,6.66490000,15613671.49000000,1614211199999,109870657.99096000,167518,7261584.31000000,51108894.47700200,0
2021-02-25,6.66490000,7.21640000,5.94020000,5.98040000,11918826.58000000,1614297599999,79284566.99015200,125677,5643101.64000000,37590052.54645100,0
2021-02-26,5.98880000,6.41480000,5.56620000,5.89550000,7976815.23000000,1614383999999,47512465.73433200,93211,3725060.50000000,22189000.99530700,0
2021-02-27,5.88810000,6.36890000,5.68000000,5.90000000,5581206.37000000,1614470399999,33478915.65875400,73134,2686114.66000000,16105633.90533300,0
2021-02-28,5.90830000,6.00820000,4.97650000,5.35310000,7021503.55000000,1614556799999,37716276.05031500,83615,3205083.09000000,17209629.01218600,0
2021-03-01,5.35110000,6.77060000,5.32800000,6.74530000,10942390.12000000,1614643199999,66533822.30769900,100551,5282899.01000000,32164648.01132900,0
2021-03-02,6.74810000,6.78000000,6.19470000,6.47270000,7433824.04000000,1614729599999,48127288.71492600,92198,3475011.41000000,22516065.67913900,0
2021-03-03,6.46790000,8.22120000,6.42010000,7.20270000,18032318.93000000,1614815999999,132975829.17944800,190337,9346936.51000000,68959324.76660300,0
2021-03-04,7.20130000,8.14360000,7.06720000,7.47310000,15773216.80000000,1614902399999,119295588.49852100,155471,7450980.79000000,56397067.14380100,0
2021-03-05,7.47310000,8.76660000,6.97980000,8.46190000,20141113.51000000,1614988799999,161368151.82882600,210266,9791837.18000000,78575523.90551900,0
2021-03-06,8.45080000,9.00000000,8.10000000,8.24210000,12651262.32000000,1615075199999,106956686.35711900,152269,5919135.36000000,50155299.51334700,0
2021-03-07,8.25290000,8.30740000,7.70000000,8.24050000,6184494.24000000,1615161599999,49716109.35305800,100114,2957615.21000000,23790058.27966300,0
