openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-04-19,0.08500000,0.10200000,0.06317000,0.06372000,14277920.80000000,1555718399999,967336.09002500,6664,5591609.00000000,377994.62056500,0
2019-04-20,0.06371000,0.06900000,0.06018000,0.06385000,20937675.50000000,1555804799999,1334382.75360500,10200,6902013.80000000,441745.79972400,0
2019-04-21,0.06386000,0.06386000,0.05100000,0.05582000,21355483.30000000,1555891199999,1219481.87004100,7141,6711913.80000000,381953.52815000,0
2019-04-22,0.05620000,0.06101000,0.05339000,0.05590000,17109820.50000000,1555977599999,989770.83622500,6839,8315649.80000000,484152.02258000,0
2019-04-23,0.05580000,0.06080000,0.05240000,0.05245000,14122805.40000000,1556063999999,794421.57563900,5749,6503937.80000000,367873.24096700,0
2019-04-24,0.05240000,0.05740000,0.04628000,0.05477000,26927590.50000000,1556150399999,1408768.41851100,8832,11680702.20000000,616198.64221300,0
2019-04-25,0.05477000,0.05990000,0.05029000,0.05161000,31119027.40000000,1556236799999,1762737.93167000,10752,13152670.10000000,746284.89547200,0
2019-04-26,0.05123000,0.05147000,0.04575000,0.04814000,14802298.60000000,1556323199999,711577.10541600,4567,5603258.70000000,270060.53673700,0
2019-04-27,0.04815000,0.04900000,0.04658000,0.04779000,4170757.10000000,1556409599999,199007.15070800,1249,1456382.30000000,69720.91103400,0
2019-04-28,0.04780000,0.04918000,0.04472000,0.04575000,6141729.10000000,1556495999999,290008.40936700,2179,2807093.50000000,133551.45298800,0
2019-04-29,0.04557000,0.04599000,0.04080000,0.04157000,7531987.60000000,1556582399999,325851.66781400,2070,3069843.10000000,133049.62406200,0
2019-04-30,0.04160000,0.04330000,0.03935000,0.04275000,5622804.50000000,1556668799999,233802.20004100,1582,2467461.80000000,102292.55384300,0
2019-05-01,0.04275000,0.04488000,0.04084000,0.04250000,7730694.70000000,1556755199999,330046.43449800,1770,3029109.90000000,129674.66591900,0
2019-05-02,0.04223000,0.04483000,0.04130000,0.04460000,4785524.30000000,1556841599999,207641.12118200,1406,2272928.30000000,99379.95886300,0
2019-05-03,0.04459000,0.04465000,0.04054000,0.04199000,9776325.60000000,1556927999999,410294.42005600,2675,3446692.60000000,144839.38048700,0
2019-05-04,0.04199000,0.04249000,0.03821000,0.03932000,5564086.40000000,1557014399999,223866.06386400,2102,1694487.40000000,67789.01325600,0
2019-05-05,0.03928000,0.03954000,0.03770000,0.03800000,3412400.90000000,1557100799999,131130.63436900,1343,1588098.70000000,61186.88116100,0
2019-05-06,0.03840000,0.03930000,0.03600000,0.03765000,5708821.30000000,1557187199999,214555.13649400,2166,1842549.90000000,69392.32543600,0
2019-05-07,0.03751000,0.03890000,0.03516000,0.03543000,6154064.10000000,1557273599999,227974.60748400,1941,2571746.80000000,95435.33351000,0
2019-05-08,0.03516000,0.03672000,0.03338000,0.03446000,5615556.60000000,1557359999999,195449.97133800,1473,1573165.80000000,55120.43703100,0
2019-05-09,0.03431000,0.03854000,0.03250000,0.03388000,12541337.90000000,1557446399999,447432.85450700,3665,6210389.60000000,224732.66809400,0
2019-05-10,0.03388000,0.03618000,0.03338000,0.03414000,8255268.40000000,1557532799999,287428.64367600,1631,2191197.60000000,76379.32663800,0
2019-05-11,0.03428000,0.03751000,0.03428000,0.03559000,15529618.10000000,1557619199999,557455.01594700,3999,5251704.70000000,188936.83829900,0
2019-05-12,0.03583000,0.03674000,0.03366000,0.03454000,10720351.20000000,1557705599999,377725.63105700,2548,4129319.70000000,145818.95596700,0
2019-05-13,0.03454000,0.03796000,0.03420000,0.03577000,10585892.90000000,1557791999999,386126.32921700,2876,5009366.20000000,183220.43721400,0
2019-05-14,0.03577000,0.04140000,0.03550000,0.03932000,23995657.80000000,1557878399999,930257.22018800,6034,9592078.10000000,372574.55361100,0
2019-05-15,0.03932000,0.04548000,0.03903000,0.04447000,12787495.80000000,1557964799999,545045.63412200,3801,5901524.20000000,252129.05093100,0
2019-05-16,0.04445000,0.04999000,0.03968000,0.04151000,18526705.80000000,1558051199999,819091.33396300,5533,8029821.60000000,358943.61274400,0
