openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,2581.57000000,2691.32000000,2520.10000000,2639.23000000,3313.22278000,1625356799999,8723145.77253550,22055,1572.45816000,4140190.11063660,0
2021-07-04,2639.57000000,2906.30000000,2572.43000000,2803.29000000,4862.72385000,1625443199999,13531698.59141440,35016,2417.50194000,6738891.13251780,0
2021-07-05,2797.46000000,2823.68000000,2632.09000000,2745.11000000,4770.22225000,1625529599999,13045627.21263610,32982,2309.83641000,6321833.91769400,0
2021-07-06,2749.14000000,3105.58000000,2725.29000000,2745.10000000,10228.11236000,1625615999999,29791816.01340890,66776,5093.22322000,14854375.17289980,0
2021-07-07,2745.79000000,2939.50000000,2732.62000000,2862.71000000,5671.33298000,1625702399999,16217094.47699650,36837,2922.58722000,8354076.80829050,0
2021-07-08,2861.68000000,2867.98000000,2593.60000000,2654.67000000,4412.17829000,1625788799999,11872610.36868010,28797,2104.57409000,5659677.31628920,0
2021-07-09,2654.52000000,2820.38000000,2555.99000000,2707.02000000,3346.47904000,1625875199999,9000718.09513810,22603,1689.13517000,4540568.06571450,0
2021-07-10,2705.69000000,2776.84000000,2604.04000000,2674.71000000,1718.71633000,1625961599999,4596890.80349130,12016,850.64165000,2274860.68741870,0
2021-07-11,2677.26000000,2719.48000000,2613.24000000,2667.90000000,1687.41005000,1626047999999,4518514.10728170,12937,862.58929000,2310549.00766810,0
2021-07-12,2672.27000000,2737.27000000,2569.19000000,2602.98000000,2498.09139000,1626134399999,6618632.09298590,16368,1328.66774000,3521166.38729960,0
2021-07-13,2600.00000000,2644.66000000,2502.29000000,2523.54000000,1938.11881000,1626220799999,4985742.25774380,12917,992.71581000,2556937.76773480,0
