openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.01722000,0.01839000,0.01709000,0.01809000,1842885.40000000,1577923199999,32525.43135300,362,917601.40000000,16225.87267600,0
2020-01-02,0.01810000,0.02025000,0.01780000,0.01845000,16940080.30000000,1578009599999,323500.81054900,2548,7466556.10000000,142762.81445600,0
2020-01-03,0.01847000,0.01913000,0.01794000,0.01820000,17880808.20000000,1578095999999,329520.75934900,2215,7829673.90000000,144672.97601400,0
2020-01-04,0.01820000,0.01839000,0.01760000,0.01785000,6420533.20000000,1578182399999,115024.86798900,976,2675339.00000000,48069.13199100,0
2020-01-05,0.01786000,0.01927000,0.01734000,0.01868000,13556003.50000000,1578268799999,246563.04709700,2257,7421801.70000000,135170.57753400,0
2020-01-06,0.01868000,0.01896000,0.01813000,0.01837000,6382691.30000000,1578355199999,117976.91620400,1073,3140748.90000000,58267.37988200,0
2020-01-07,0.01837000,0.01886000,0.01766000,0.01795000,10407263.80000000,1578441599999,188811.31507400,1615,3872890.30000000,70424.44034600,0
2020-01-08,0.01801000,0.01829000,0.01697000,0.01726000,6187197.40000000,1578527999999,108868.13130200,1070,3080908.80000000,54303.14964200,0
2020-01-09,0.01724000,0.01790000,0.01671000,0.01682000,3806937.60000000,1578614399999,65496.29342900,795,1521094.60000000,26261.71937000,0
2020-01-10,0.01680000,0.01790000,0.01660000,0.01757000,3664438.50000000,1578700799999,62765.74456300,755,2017308.50000000,34632.19268900,0
2020-01-11,0.01747000,0.01776000,0.01679000,0.01697000,3189994.90000000,1578787199999,54684.62979800,561,1425300.20000000,24501.21035000,0
2020-01-12,0.01697000,0.01756000,0.01680000,0.01726000,1791451.90000000,1578873599999,30812.31724400,470,938742.70000000,16186.89606600,0
2020-01-13,0.01725000,0.01784000,0.01710000,0.01723000,3521053.30000000,1578959999999,61213.62755800,517,1844238.10000000,32073.60141300,0
2020-01-14,0.01723000,0.01769000,0.01679000,0.01738000,5427138.50000000,1579046399999,93033.34780300,1148,2737917.10000000,47103.38335100,0
2020-01-15,0.01734000,0.01829000,0.01700000,0.01796000,8152309.00000000,1579132799999,144491.13855900,1915,3744354.30000000,66634.19755400,0
2020-01-16,0.01806000,0.01806000,0.01722000,0.01742000,3108079.00000000,1579219199999,54233.30068900,659,1228057.90000000,21522.15129400,0
2020-01-17,0.01743000,0.01831000,0.01724000,0.01784000,3972259.90000000,1579305599999,71272.44396100,869,2244432.80000000,40281.43550800,0
2020-01-18,0.01793000,0.01810000,0.01750000,0.01777000,2772768.50000000,1579391999999,49298.88310600,657,896339.20000000,15997.39335700,0
2020-01-19,0.01770000,0.01780000,0.01500000,0.01710000,9765767.40000000,1579478399999,164907.19838300,1262,3502937.10000000,58066.51878300,0
2020-01-20,0.01710000,0.01722000,0.01668000,0.01668000,835602.20000000,1579564799999,14180.30796800,189,328208.40000000,5594.70960500,0
2020-01-21,0.01675000,0.01770000,0.01666000,0.01756000,2796207.30000000,1579651199999,48552.84770000,505,2139832.50000000,37278.05905000,0
2020-01-22,0.01755000,0.01908000,0.01719000,0.01802000,13000359.30000000,1579737599999,236626.09977300,1530,6671667.50000000,121061.04109300,0
2020-01-23,0.01802000,0.01804000,0.01676000,0.01711000,6709728.00000000,1579823999999,114736.84402300,852,2753850.70000000,47015.14602500,0
2020-01-24,0.01711000,0.01734000,0.01656000,0.01701000,1908927.60000000,1579910399999,32372.09816900,442,1041042.70000000,17705.86557400,0
2020-01-25,0.01701000,0.02089000,0.01665000,0.01897000,38819851.00000000,1579996799999,751084.39660600,6225,17971537.90000000,348362.30153300,0
2020-01-26,0.01897000,0.01911000,0.01801000,0.01815000,8997644.20000000,1580083199999,166211.96697300,1405,3342619.30000000,61927.62824300,0
2020-01-27,0.01824000,0.01908000,0.01802000,0.01834000,4995476.20000000,1580169599999,92271.88039500,937,2838932.90000000,52496.84221900,0
2020-01-28,0.01824000,0.01896000,0.01790000,0.01862000,6670028.70000000,1580255999999,122722.46418600,1063,2546030.40000000,46960.98699600,0
2020-01-29,0.01862000,0.01887000,0.01798000,0.01803000,2851787.60000000,1580342399999,52333.22010900,515,1168566.60000000,21536.26154900,0
2020-01-30,0.01818000,0.01944000,0.01800000,0.01900000,4710773.20000000,1580428799999,88234.22203100,843,2150538.60000000,40571.39283100,0
2020-01-31,0.01909000,0.02037000,0.01873000,0.01971000,10791836.20000000,1580515199999,210624.15384400,1566,5256167.10000000,102668.14125300,0
2020-02-01,0.01971000,0.01988000,0.01910000,0.01944000,2548511.00000000,1580601599999,49637.35774000,478,1207818.30000000,23569.33766800,0
2020-02-02,0.01933000,0.02200000,0.01870000,0.02066000,11437329.20000000,1580687999999,234015.50853900,1933,6467140.90000000,132208.91835000,0
2020-02-03,0.02072000,0.02270000,0.02015000,0.02211000,9854852.30000000,1580774399999,210090.57721000,2153,4989852.50000000,106988.01353800,0
2020-02-04,0.02211000,0.02307000,0.02081000,0.02165000,12117685.20000000,1580860799999,263952.12258000,2557,5433614.30000000,118739.09307100,0
2020-02-05,0.02177000,0.02390000,0.02079000,0.02265000,16026785.50000000,1580947199999,353637.95095700,3197,7350128.70000000,163359.67601800,0
2020-02-06,0.02266000,0.02408000,0.02200000,0.02345000,9541516.30000000,1581033599999,218043.40276300,2150,4319094.30000000,99359.19449900,0
2020-02-07,0.02345000,0.02547000,0.02300000,0.02421000,13637681.80000000,1581119999999,328993.92691100,2807,5975863.40000000,144761.13801100,0
2020-02-08,0.02422000,0.02895000,0.02329000,0.02796000,26746368.70000000,1581206399999,703609.88897800,5170,12820142.10000000,338024.39277800,0
2020-02-09,0.02796000,0.02916000,0.02622000,0.02721000,19570716.60000000,1581292799999,536542.62162100,3753,8744633.80000000,241070.60518400,0
2020-02-10,0.02740000,0.02777000,0.02511000,0.02610000,8814313.30000000,1581379199999,229618.61921700,1826,3628001.00000000,94644.98685000,0
2020-02-11,0.02613000,0.02820000,0.02557000,0.02818000,8720785.70000000,1581465599999,234023.70849900,1782,4391441.50000000,118472.15504200,0
2020-02-12,0.02818000,0.03213000,0.02718000,0.02923000,34736248.20000000,1581551999999,1021386.66722400,6317,17654372.50000000,517292.00840200,0
2020-02-13,0.02934000,0.03099000,0.02624000,0.02698000,16817536.50000000,1581638399999,475266.36310100,3428,7323774.20000000,208063.43449100,0
2020-02-14,0.02695000,0.02813000,0.02653000,0.02754000,6955237.50000000,1581724799999,190536.42446100,1470,3710857.20000000,102069.17289700,0
2020-02-15,0.02763000,0.02818000,0.02468000,0.02500000,9225199.60000000,1581811199999,246102.69977000,1864,3202650.20000000,86568.99551700,0
2020-02-16,0.02500000,0.02689000,0.02190000,0.02320000,9161655.00000000,1581897599999,220451.31272700,1784,3605949.40000000,87750.29082000,0
2020-02-17,0.02327000,0.02610000,0.02150000,0.02300000,16575253.60000000,1581983999999,384810.72910300,2729,8553554.60000000,199752.58311700,0
2020-02-18,0.02284000,0.02519000,0.02268000,0.02519000,8064888.30000000,1582070399999,191934.38831400,1462,5257049.30000000,125877.08742600,0
2020-02-19,0.02517000,0.02621000,0.02173000,0.02216000,8734586.20000000,1582156799999,211295.91125000,1659,3133181.50000000,77076.88696200,0
2020-02-20,0.02213000,0.02259000,0.02164000,0.02207000,4835678.20000000,1582243199999,106538.33784200,732,1642961.90000000,36288.10155400,0
2020-02-21,0.02207000,0.02299000,0.02201000,0.02275000,3262113.80000000,1582329599999,73884.04593000,856,1945021.10000000,44125.10645500,0
2020-02-22,0.02264000,0.02296000,0.02189000,0.02231000,1717824.00000000,1582415999999,38418.98431200,505,840504.60000000,18833.30062700,0
2020-02-23,0.02221000,0.02309000,0.02203000,0.02309000,1777190.60000000,1582502399999,40445.33742100,456,1233738.30000000,28165.47567700,0
2020-02-24,0.02310000,0.02499000,0.02200000,0.02307000,6501530.40000000,1582588799999,149156.53582200,1382,3581955.50000000,82412.01658600,0
2020-02-25,0.02308000,0.02308000,0.01988000,0.02002000,8048244.70000000,1582675199999,170277.42568200,1125,2484144.90000000,51739.53570100,0
2020-02-26,0.02005000,0.02011000,0.01768000,0.01856000,7650042.60000000,1582761599999,142141.17277700,1110,2501779.80000000,46609.63699800,0
2020-02-27,0.01848000,0.02065000,0.01800000,0.01874000,4772731.10000000,1582847999999,90710.17213900,988,2126209.30000000,40714.66073200,0
2020-02-28,0.01879000,0.01948000,0.01794000,0.01824000,4419793.20000000,1582934399999,81181.32483800,854,1981290.00000000,36413.17530500,0
2020-02-29,0.01824000,0.01860000,0.01800000,0.01814000,3102301.90000000,1583020799999,56779.27410800,432,1530931.70000000,28189.02785600,0
2020-03-01,0.01811000,0.02177000,0.01780000,0.01857000,7874965.90000000,1583107199999,146628.97726400,1354,3848316.70000000,72526.83779200,0
2020-03-02,0.01851000,0.02099000,0.01831000,0.01897000,13145879.90000000,1583193599999,249526.92020200,1785,7288230.60000000,138263.45587300,0
2020-03-03,0.01878000,0.01888000,0.01830000,0.01870000,3514064.50000000,1583279999999,65452.62628000,605,1419749.90000000,26486.28585200,0
2020-03-04,0.01865000,0.01950000,0.01850000,0.01923000,5173792.90000000,1583366399999,98304.99330600,836,2595080.10000000,49427.95492100,0
