openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-01-01,0.39180000,0.40140000,0.38000000,0.39970000,290839.99000000,1546387199999,112864.34883300,2091,157784.32000000,61461.08947800,0
2019-01-02,0.40110000,0.41190000,0.39470000,0.40990000,238123.86000000,1546473599999,95883.88808900,1886,126516.49000000,50956.88211900,0
2019-01-03,0.41000000,0.41240000,0.39160000,0.39770000,173436.51000000,1546559999999,69695.70527400,1628,110201.02000000,44338.75659100,0
2019-01-04,0.39740000,0.41970000,0.39290000,0.40500000,315383.98000000,1546646399999,127092.00746200,2231,153884.14000000,62072.65360600,0
2019-01-05,0.40450000,0.43190000,0.40450000,0.42070000,481323.81000000,1546732799999,201026.85726800,3144,242652.53000000,101458.09701100,0
2019-01-06,0.42080000,0.43840000,0.41060000,0.43500000,440380.50000000,1546819199999,187592.03744900,3064,234917.36000000,100300.53309100,0
2019-01-07,0.43500000,0.45500000,0.42770000,0.43030000,354990.67000000,1546905599999,155042.25684900,2477,157945.94000000,69058.86428000,0
2019-01-08,0.43160000,0.44880000,0.42050000,0.42210000,413204.68000000,1546991999999,176463.93573600,3200,187054.54000000,79926.60774000,0
2019-01-09,0.42220000,0.43950000,0.42170000,0.43660000,442830.82000000,1547078399999,191524.03539200,2869,193371.34000000,83556.16353600,0
2019-01-10,0.43640000,0.44920000,0.35280000,0.37140000,873546.49000000,1547164799999,343119.37631700,5460,388582.16000000,151682.57833400,0
2019-01-11,0.37120000,0.38580000,0.35870000,0.38530000,435322.76000000,1547251199999,160618.01760900,3423,225035.19000000,83202.12139700,0
2019-01-12,0.38530000,0.40000000,0.37750000,0.38270000,517002.09000000,1547337599999,199886.94898200,3878,224467.79000000,86988.62188800,0
2019-01-13,0.38260000,0.38680000,0.36000000,0.36460000,331115.43000000,1547423999999,123963.29079000,2599,153147.98000000,57450.51624100,0
2019-01-14,0.36530000,0.38900000,0.35510000,0.38020000,329090.69000000,1547510399999,122570.42513900,2750,189898.63000000,70613.17498700,0
2019-01-15,0.38050000,0.38690000,0.36340000,0.36780000,325433.03000000,1547596799999,121840.34133100,2484,146423.86000000,54857.69885700,0
2019-01-16,0.36780000,0.38980000,0.36670000,0.38210000,267356.08000000,1547683199999,101429.65180800,2123,123772.84000000,47043.29929300,0
2019-01-17,0.38210000,0.41600000,0.38000000,0.40770000,649451.18000000,1547769599999,260313.49426500,4171,330434.50000000,132266.79057100,0
2019-01-18,0.40820000,0.42240000,0.39300000,0.40050000,428025.53000000,1547855999999,174167.70397400,3345,217964.74000000,89028.57305300,0
2019-01-19,0.40060000,0.43420000,0.39130000,0.41830000,341591.59000000,1547942399999,139934.30528000,2675,188458.93000000,77150.44831200,0
2019-01-20,0.41610000,0.42370000,0.38350000,0.39480000,371522.93000000,1548028799999,148789.26705900,2456,149623.13000000,60212.24088600,0
2019-01-21,0.39420000,0.40270000,0.38790000,0.39220000,225032.34000000,1548115199999,88576.39721700,1703,109610.82000000,43183.08621600,0
2019-01-22,0.39230000,0.40790000,0.38560000,0.40080000,169363.99000000,1548201599999,67577.27322200,1682,95978.86000000,38331.23712700,0
2019-01-23,0.40070000,0.41340000,0.39080000,0.39660000,245998.82000000,1548287999999,99144.28656700,2000,123291.49000000,49707.71140400,0
2019-01-24,0.39520000,0.45890000,0.39320000,0.41910000,974535.62000000,1548374399999,415780.78611900,5492,465969.77000000,198298.42023600,0
2019-01-25,0.41890000,0.55880000,0.41510000,0.49320000,3504454.98000000,1548460799999,1687619.30427300,18627,1784816.25000000,859996.56119800,0
2019-01-26,0.49320000,0.53180000,0.45560000,0.46070000,2411492.14000000,1548547199999,1174961.28366100,13861,1046320.29000000,511236.87990900,0
2019-01-27,0.46090000,0.47490000,0.40670000,0.42100000,1437363.46000000,1548633599999,633158.47252100,7508,590599.84000000,261831.75246600,0
2019-01-28,0.42070000,0.42200000,0.38520000,0.39260000,820123.90000000,1548719999999,327421.88703900,4850,392026.67000000,156080.24582600,0
2019-01-29,0.39290000,0.46020000,0.39000000,0.41120000,1201856.67000000,1548806399999,495136.70434500,6047,572182.84000000,236196.82328500,0
2019-01-30,0.41120000,0.41990000,0.39650000,0.41320000,429569.71000000,1548892799999,175111.41062500,2870,207720.86000000,84881.39585800,0
2019-01-31,0.41300000,0.41770000,0.37910000,0.38500000,537753.52000000,1548979199999,211045.91785000,2893,183329.23000000,71820.64197900,0
2019-02-01,0.38430000,0.41900000,0.37930000,0.40360000,361720.09000000,1549065599999,143807.40319300,2378,195361.57000000,77955.02234900,0
2019-02-02,0.40400000,0.41660000,0.39680000,0.41230000,225478.23000000,1549151999999,90851.74464000,1259,105718.81000000,42642.17232700,0
2019-02-03,0.41140000,0.41350000,0.38690000,0.39370000,106178.87000000,1549238399999,42386.44444800,933,44474.97000000,17812.47787400,0
2019-02-04,0.39370000,0.43260000,0.38930000,0.39090000,521860.22000000,1549324799999,212566.45126500,2147,197317.25000000,79826.20647100,0
2019-02-05,0.39040000,0.39420000,0.37500000,0.37990000,527185.67000000,1549411199999,203544.77133200,2313,149057.83000000,57546.46436300,0
2019-02-06,0.38030000,0.38370000,0.36000000,0.36960000,356388.23000000,1549497599999,131919.62392100,2057,141373.33000000,52398.78082500,0
2019-02-07,0.36950000,0.38900000,0.36820000,0.37710000,249179.52000000,1549583999999,93561.87459900,1632,121767.97000000,45777.63358200,0
2019-02-08,0.37800000,0.40890000,0.37270000,0.39770000,464474.43000000,1549670399999,181072.49295400,2032,313347.98000000,122164.17295700,0
2019-02-09,0.39820000,0.44880000,0.39320000,0.40920000,586110.28000000,1549756799999,245380.20850500,3068,307799.99000000,129504.34987300,0
2019-02-10,0.40920000,0.42750000,0.39350000,0.40960000,370672.98000000,1549843199999,149996.28340100,2573,183435.60000000,74378.18731600,0
2019-02-11,0.40960000,0.42500000,0.39610000,0.40350000,244139.88000000,1549929599999,98969.51377700,1481,107051.21000000,43494.56118200,0
2019-02-12,0.40350000,0.41590000,0.38280000,0.40130000,303999.61000000,1550015999999,120948.55657400,1860,192308.44000000,76488.25694400,0
2019-02-13,0.40060000,0.41620000,0.39900000,0.40340000,243497.55000000,1550102399999,98771.47034900,1562,112025.84000000,45490.76330000,0
2019-02-14,0.40350000,0.41140000,0.39900000,0.40650000,125120.27000000,1550188799999,50684.13529200,950,59164.94000000,24028.95319600,0
2019-02-15,0.40660000,0.40930000,0.39940000,0.40070000,146428.26000000,1550275199999,59056.59627000,914,57009.24000000,23057.12447600,0
2019-02-16,0.40150000,0.45500000,0.40150000,0.40390000,609299.29000000,1550361599999,256044.83401200,2742,298173.32000000,125970.75717200,0
2019-02-17,0.40430000,0.43900000,0.40200000,0.42370000,448941.66000000,1550447999999,188896.45677800,2653,229985.51000000,96738.37842100,0
2019-02-18,0.42130000,0.44580000,0.41620000,0.43900000,452037.32000000,1550534399999,195819.85699800,2521,232794.70000000,100916.21626700,0
2019-02-19,0.43630000,0.45110000,0.42660000,0.43730000,381580.04000000,1550620799999,168535.51136800,2511,187919.72000000,83201.81080700,0
2019-02-20,0.43640000,0.45860000,0.42000000,0.45860000,425896.54000000,1550707199999,187549.01490500,2666,220258.61000000,97184.72317300,0
2019-02-21,0.45870000,0.45880000,0.44000000,0.44570000,254923.69000000,1550793599999,113964.29655900,1558,145268.69000000,65024.08289900,0
2019-02-22,0.44580000,0.44870000,0.42670000,0.43780000,325064.92000000,1550879999999,141817.33188700,1615,142377.13000000,62306.19064400,0
2019-02-23,0.43700000,0.46590000,0.43400000,0.45660000,734798.90000000,1550966399999,329643.38737200,3045,330927.08000000,148627.43484200,0
2019-02-24,0.45660000,0.47080000,0.40000000,0.40020000,1066742.13000000,1551052799999,472008.73802700,5253,415325.67000000,185153.26551900,0
2019-02-25,0.40150000,0.42130000,0.40010000,0.40990000,396121.01000000,1551139199999,161720.82949100,2190,209321.38000000,85641.35845300,0
2019-02-26,0.41140000,0.41820000,0.39850000,0.41460000,341143.79000000,1551225599999,140243.83977600,1807,180155.73000000,74097.31895600,0
2019-02-27,0.41410000,0.44920000,0.40420000,0.41340000,367350.83000000,1551311999999,153271.18868700,2196,159816.26000000,66864.87504800,0
2019-02-28,0.41490000,0.43000000,0.40740000,0.42290000,323743.48000000,1551398399999,134917.97545200,1982,137328.75000000,57394.13111600,0
2019-03-01,0.42300000,0.42900000,0.41880000,0.42350000,416385.64000000,1551484799999,176252.71946600,1452,266032.59000000,112597.31575400,0
2019-03-02,0.42120000,0.42500000,0.40790000,0.41700000,160007.22000000,1551571199999,66606.34590800,1004,61924.40000000,25782.15285900,0
2019-03-03,0.41700000,0.42030000,0.41060000,0.41270000,129991.30000000,1551657599999,53767.96139100,614,44165.89000000,18299.20390000,0
2019-03-04,0.41450000,0.42870000,0.39150000,0.42010000,347267.54000000,1551743999999,142516.45503900,1963,150370.08000000,61890.67631700,0
2019-03-05,0.41650000,0.45000000,0.41650000,0.43820000,485667.49000000,1551830399999,210128.69280300,2482,225256.60000000,97583.57802100,0
