openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,4.14550000,4.65040000,4.03360000,4.59470000,4318624.71000000,1625356799999,18938314.18268800,107999,2234245.06000000,9800118.18062600,0
2021-07-04,4.59530000,4.63550000,4.34400000,4.52990000,4188158.53000000,1625443199999,18891585.72266500,97560,2045651.37000000,9228952.78442800,0
2021-07-05,4.53050000,4.87500000,4.26370000,4.41890000,8656094.40000000,1625529599999,39221729.06059500,137386,4306821.85000000,19500835.39137800,0
2021-07-06,4.41920000,4.76960000,4.37470000,4.55080000,6664643.95000000,1625615999999,30415260.25369200,106114,3365788.14000000,15362264.17330500,0
2021-07-07,4.54930000,4.70990000,4.46160000,4.50560000,3771487.11000000,1625702399999,17289442.29718500,61903,1856411.42000000,8511284.19333400,0
2021-07-08,4.50570000,4.51260000,3.99300000,4.07680000,5129233.93000000,1625788799999,21576293.47004700,77162,2655560.39000000,11179745.25845000,0
2021-07-09,4.07890000,4.24070000,3.82860000,4.16380000,4149970.86000000,1625875199999,16715908.94068300,66508,2142866.53000000,8636380.92585300,0
2021-07-10,4.16370000,4.28570000,3.91710000,4.06250000,3501630.74000000,1625961599999,14258029.05731400,49614,1790349.34000000,7289204.81276000,0
2021-07-11,4.06320000,4.27160000,4.01250000,4.16320000,3082719.52000000,1626047999999,12826403.26736400,45929,1539756.65000000,6407913.76836100,0
2021-07-12,4.16400000,4.28150000,3.97660000,4.06310000,3574725.29000000,1626134399999,14742023.68755600,71077,1768808.62000000,7293973.85956300,0
2021-07-13,4.06320000,4.09950000,3.82720000,3.89560000,3393265.83000000,1626220799999,13469751.89561200,70702,1665083.66000000,6607659.97974700,0
