openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-03-08,0.28180000,0.58340000,0.28180000,0.43350000,170165155.12000000,1615247999999,78490854.38853500,232185,89008428.92000000,41125159.24629500,0
2021-03-09,0.43430000,0.44000000,0.36530000,0.40150000,52995705.29000000,1615334399999,21221732.37718900,89509,23866011.60000000,9571862.75043100,0
2021-03-10,0.40180000,0.40950000,0.34490000,0.34660000,17158586.80000000,1615420799999,6395665.51138500,30791,7366233.70000000,2752042.91519200,0
2021-03-11,0.34590000,0.38800000,0.33010000,0.38000000,19073076.52000000,1615507199999,6894996.68568000,34766,9719326.80000000,3533183.25293700,0
2021-03-12,0.37960000,0.42500000,0.35130000,0.37890000,18956098.20000000,1615593599999,7399091.90352400,33450,10392365.96000000,4072871.97947000,0
2021-03-13,0.37870000,0.48440000,0.35190000,0.42860000,23489374.82000000,1615679999999,10021998.07806700,40752,11208735.75000000,4791842.06879700,0
2021-03-14,0.42810000,0.76080000,0.42700000,0.73600000,53035678.43000000,1615766399999,28971211.77895300,104664,27680079.35000000,15304384.84186900,0
2021-03-15,0.73870000,0.88760000,0.53530000,0.72170000,150344314.15000000,1615852799999,106574334.60946200,342367,75590177.21000000,53964246.19589100,0
2021-03-16,0.72590000,0.72590000,0.50410000,0.58300000,58933482.84000000,1615939199999,35618067.04812400,157704,28136011.21000000,16990471.82653300,0
2021-03-17,0.58300000,0.58500000,0.50000000,0.54770000,23272822.93000000,1616025599999,12671092.38823000,61989,10664436.19000000,5814659.01652100,0
2021-03-18,0.54730000,0.58000000,0.51060000,0.51300000,17301356.16000000,1616111999999,9501737.75855800,46350,7693067.42000000,4239904.15304000,0
2021-03-19,0.51340000,0.59160000,0.50500000,0.55440000,17543039.89000000,1616198399999,9422146.80952100,48609,8566873.22000000,4633186.87032600,0
2021-03-20,0.55450000,0.64000000,0.53590000,0.53810000,24095318.08000000,1616284799999,14314368.11732000,76626,11779031.70000000,7016725.66888300,0
2021-03-21,0.53780000,0.58510000,0.50200000,0.52500000,12141615.92000000,1616371199999,6529913.67890200,38385,5512160.35000000,2967073.73134600,0
2021-03-22,0.52510000,0.58000000,0.45400000,0.45640000,24290856.55000000,1616457599999,12791273.53919000,66455,12116311.74000000,6412991.82584000,0
2021-03-23,0.45650000,0.49850000,0.41970000,0.44620000,18713358.77000000,1616543999999,8580152.37042100,40843,9385760.59000000,4315128.17642800,0
2021-03-24,0.44780000,0.49850000,0.40000000,0.41350000,12314428.95000000,1616630399999,5586434.37429400,30163,6175335.27000000,2806630.53794400,0
2021-03-25,0.41320000,0.42590000,0.37030000,0.39450000,12289851.08000000,1616716799999,4899057.05375300,24199,5935022.74000000,2365207.66855200,0
2021-03-26,0.39460000,0.45350000,0.39000000,0.44490000,10469296.74000000,1616803199999,4480170.67429000,21140,5075493.49000000,2176469.17622800,0
2021-03-27,0.44420000,0.48500000,0.41000000,0.43820000,12430857.97000000,1616889599999,5628863.00270200,28665,5496088.11000000,2496597.61306000,0
2021-03-28,0.43850000,0.49870000,0.43600000,0.45590000,14585531.25000000,1616975999999,6791019.17769200,32270,6908743.47000000,3222878.91026400,0
2021-03-29,0.45730000,0.53910000,0.45600000,0.52110000,23737655.72000000,1617062399999,11966116.52701500,50603,11605741.85000000,5849957.39073800,0
2021-03-30,0.52180000,0.56170000,0.49570000,0.51590000,15953525.83000000,1617148799999,8378208.16323400,42112,8154181.93000000,4300784.26794700,0
2021-03-31,0.51460000,0.53850000,0.48060000,0.50250000,11775492.05000000,1617235199999,5980715.12370700,33436,5825433.61000000,2965241.79734400,0
2021-04-01,0.50180000,0.55000000,0.50000000,0.54310000,10669822.89000000,1617321599999,5571732.49176400,31935,5315966.09000000,2782262.93147700,0
2021-04-02,0.54380000,0.54510000,0.48000000,0.49140000,9894625.28000000,1617407999999,5100679.60000300,28429,4337957.89000000,2239781.50024800,0
2021-04-03,0.49140000,0.49280000,0.43980000,0.44660000,14065072.72000000,1617494399999,6666077.60077200,32410,6324224.10000000,2987040.44537500,0
2021-04-04,0.44600000,0.48350000,0.44010000,0.47570000,8735193.23000000,1617580799999,4031852.42686800,24409,4112516.90000000,1901103.13181900,0
2021-04-05,0.47580000,0.47580000,0.43810000,0.44770000,10487091.34000000,1617667199999,4785914.19715500,26905,4938664.41000000,2254953.75083500,0
2021-04-06,0.44770000,0.46900000,0.41300000,0.45400000,10047413.08000000,1617753599999,4479977.68252400,26334,4645928.15000000,2075823.71839900,0
2021-04-07,0.45390000,0.45950000,0.39000000,0.40960000,8575305.48000000,1617839999999,3538168.07439200,19362,3679077.45000000,1517582.62255500,0
2021-04-08,0.41030000,0.46500000,0.40570000,0.44700000,11318515.40000000,1617926399999,4927551.26422800,28049,5750921.23000000,2499798.00204600,0
2021-04-09,0.44780000,0.49450000,0.42870000,0.48350000,12408531.52000000,1618012799999,5686716.41502500,32813,6214947.06000000,2856645.13836600,0
2021-04-10,0.48410000,0.55550000,0.45260000,0.47700000,36485973.83000000,1618099199999,18493545.76173800,86603,18770079.96000000,9558417.68882900,0
2021-04-11,0.47700000,0.52080000,0.46490000,0.49410000,15094216.96000000,1618185599999,7350499.48277100,36921,7181235.79000000,3506664.90411600,0
2021-04-12,0.49410000,0.50180000,0.43890000,0.44830000,9845159.84000000,1618271999999,4581503.87083900,25092,4084028.32000000,1906410.16273900,0
2021-04-13,0.44830000,0.46030000,0.42520000,0.43690000,6889675.82000000,1618358399999,3024567.67319300,17297,3102232.89000000,1365080.85619000,0
2021-04-14,0.43780000,0.46180000,0.41630000,0.42590000,8783542.48000000,1618444799999,3807601.92469200,19643,4112284.32000000,1785235.40373400,0
2021-04-15,0.42700000,0.45690000,0.41750000,0.43840000,8728972.03000000,1618531199999,3862598.95826200,20095,4275498.30000000,1894874.97933700,0
2021-04-16,0.43840000,0.44000000,0.40760000,0.42750000,8379495.63000000,1618617599999,3558226.59362800,19917,3766706.27000000,1602667.77109900,0
2021-04-17,0.42750000,0.45350000,0.41840000,0.41910000,8903120.07000000,1618703999999,3873727.08874200,22741,4166193.87000000,1817485.57384000,0
2021-04-18,0.41840000,0.42340000,0.32800000,0.36830000,10736348.99000000,1618790399999,3940385.13562300,23047,5029649.24000000,1836790.78575600,0
2021-04-19,0.36810000,0.39350000,0.33100000,0.33620000,7325027.59000000,1618876799999,2638320.45075300,14420,3460056.55000000,1249231.64688200,0
2021-04-20,0.33690000,0.33800000,0.29480000,0.32510000,11699749.64000000,1618963199999,3729475.07790000,19136,5709072.94000000,1819661.89061700,0
2021-04-21,0.32500000,0.34870000,0.30970000,0.31400000,7238062.04000000,1619049599999,2383985.74016000,14042,3463558.52000000,1140516.72380900,0
2021-04-22,0.31450000,0.33900000,0.28410000,0.30320000,8510190.82000000,1619135999999,2690933.64776100,15626,3967397.44000000,1257368.22881500,0
2021-04-23,0.30320000,0.30380000,0.23780000,0.26970000,10313087.46000000,1619222399999,2682101.85542700,14724,4785430.33000000,1245049.62587900,0
2021-04-24,0.26990000,0.28880000,0.24100000,0.24160000,13399241.75000000,1619308799999,3449149.42433500,19817,5799535.58000000,1492416.05415900,0
2021-04-25,0.24240000,0.28850000,0.23090000,0.24470000,17172404.41000000,1619395199999,4486379.92051700,24097,8233170.16000000,2156020.35469500,0
2021-04-26,0.24480000,0.35000000,0.24250000,0.31640000,23461111.26000000,1619481599999,7094703.56203800,38754,12143945.35000000,3662011.26074700,0
2021-04-27,0.31710000,0.35950000,0.30690000,0.33590000,18145709.36000000,1619567999999,5947429.51979300,29893,8736414.02000000,2864386.69495100,0
2021-04-28,0.33540000,0.34490000,0.29880000,0.32190000,10599853.45000000,1619654399999,3385143.94373900,18110,5165697.67000000,1650885.27686500,0
2021-04-29,0.32190000,0.41920000,0.31100000,0.38920000,55866974.94000000,1619740799999,20979641.37526600,89452,28966846.71000000,10882055.53835500,0
2021-04-30,0.38920000,0.39790000,0.36150000,0.39010000,18015624.33000000,1619827199999,6786909.44159200,36105,8413198.25000000,3174078.52894300,0
2021-05-01,0.39010000,0.41740000,0.37010000,0.38500000,12471332.22000000,1619913599999,4889936.51962300,26093,5730081.84000000,2249812.83727000,0
2021-05-02,0.38570000,0.44000000,0.36280000,0.41300000,26452822.40000000,1619999999999,10888851.78669800,46474,13851960.41000000,5720837.76903300,0
2021-05-03,0.41300000,0.42990000,0.39260000,0.39390000,11587750.35000000,1620086399999,4761908.62913100,25660,5763673.03000000,2370783.04730100,0
2021-05-04,0.39390000,0.39400000,0.34050000,0.34430000,10807759.42000000,1620172799999,3968305.55454700,20959,4779574.92000000,1754760.56819200,0
2021-05-05,0.34360000,0.37640000,0.34300000,0.36700000,7820154.96000000,1620259199999,2836498.56412900,14578,3878035.42000000,1407934.22387100,0
2021-05-06,0.36670000,0.38700000,0.33820000,0.34820000,8802513.68000000,1620345599999,3193853.68265300,17467,4060653.08000000,1476403.01428300,0
2021-05-07,0.34780000,0.38780000,0.33320000,0.36040000,11127301.86000000,1620431999999,4009229.73894700,23474,5586853.13000000,2012498.29225600,0
2021-05-08,0.36040000,0.37400000,0.34590000,0.34970000,6434497.72000000,1620518399999,2307526.39295500,13441,3041079.51000000,1091933.53667300,0
2021-05-09,0.34970000,0.35360000,0.32970000,0.33720000,5429928.06000000,1620604799999,1836833.03889900,10162,2327004.91000000,788248.02759100,0
2021-05-10,0.33720000,0.35300000,0.29240000,0.29600000,9745391.53000000,1620691199999,3144498.91506100,18891,4352290.06000000,1409038.78045000,0
2021-05-11,0.29600000,0.31990000,0.29190000,0.31180000,8486323.35000000,1620777599999,2571832.64998400,15442,4298048.25000000,1305069.73914200,0
2021-05-12,0.31230000,0.32270000,0.26000000,0.26070000,9726724.24000000,1620863999999,2907595.89750300,16985,4416363.93000000,1321050.81110400,0
2021-05-13,0.26070000,0.28960000,0.25000000,0.26330000,10555157.96000000,1620950399999,2813436.61445100,16340,5132367.95000000,1369802.34082600,0
2021-05-15,0.38300000,0.39730000,0.29760000,0.30100000,59751412.95000000,1621123199999,20451296.07774300,92196,30379160.84000000,10425280.07932500,0
2021-05-16,0.30090000,0.34970000,0.27260000,0.29370000,40626262.95000000,1621209599999,12537109.90484500,56224,20224491.22000000,6277452.58026100,0
2021-05-17,0.29370000,0.29710000,0.25270000,0.26530000,16483669.92000000,1621295999999,4513253.02897400,23192,7971758.72000000,2185651.30116600,0
2021-05-18,0.26480000,0.29040000,0.26370000,0.27130000,11020591.05000000,1621382399999,3039913.40548700,15537,5679205.13000000,1567848.97424300,0
2021-05-19,0.27170000,0.27690000,0.14280000,0.17540000,20562317.54000000,1621468799999,4334387.57905200,25135,9944374.06000000,2101426.06769600,0
2021-05-20,0.17550000,0.21490000,0.15270000,0.20030000,11540835.27000000,1621555199999,2157461.07701800,13134,6012292.58000000,1125526.38640400,0
2021-05-21,0.20030000,0.23180000,0.14790000,0.16370000,20375804.03000000,1621641599999,3691776.21957600,20585,9685404.57000000,1750587.17804900,0
2021-05-22,0.16370000,0.26660000,0.14920000,0.19650000,117316919.15000000,1621727999999,25804254.00023500,124024,59822582.44000000,13206859.94204500,0
2021-05-23,0.19600000,0.25000000,0.14500000,0.16150000,118501226.58000000,1621814399999,23974802.08953400,132403,59568516.88000000,12085449.48851300,0
2021-05-24,0.16150000,0.20200000,0.14860000,0.18500000,51190809.56000000,1621900799999,8971619.65529700,57147,25638920.21000000,4488153.73383900,0
2021-05-25,0.18500000,0.19400000,0.15660000,0.18430000,26585152.94000000,1621987199999,4692563.37441000,29362,13186714.61000000,2335371.51893200,0
2021-05-26,0.18500000,0.20470000,0.17720000,0.19600000,17975652.62000000,1622073599999,3408041.60479300,20614,8973413.28000000,1701112.34057200,0
2021-05-27,0.19600000,0.21000000,0.17510000,0.18810000,17713518.88000000,1622159999999,3406206.45349500,21263,8723079.61000000,1679223.93405300,0
2021-05-28,0.18880000,0.19370000,0.15600000,0.16570000,15630019.17000000,1622246399999,2647365.62401100,17098,7884919.80000000,1335600.27285600,0
2021-05-29,0.16600000,0.20500000,0.15850000,0.16690000,54426165.96000000,1622332799999,9533709.22756600,55564,30474666.05000000,5323324.19424300,0
2021-05-30,0.16690000,0.18270000,0.15800000,0.17440000,18948298.31000000,1622419199999,3279854.59767000,20279,8818291.24000000,1525616.37036600,0
2021-05-31,0.17440000,0.18490000,0.16100000,0.18300000,13533841.65000000,1622505599999,2356675.87783100,16242,7135606.71000000,1244057.60559700,0
2021-06-01,0.18260000,0.18530000,0.16900000,0.17520000,9300737.25000000,1622591999999,1634223.66721000,12921,4562088.99000000,802235.15338600,0
2021-06-02,0.17520000,0.18840000,0.17270000,0.18340000,9370963.22000000,1622678399999,1683452.29048200,12288,4639771.49000000,833718.84668700,0
2021-06-03,0.18340000,0.21000000,0.17860000,0.19490000,30594958.43000000,1622764799999,5927218.40534200,33828,16634489.50000000,3232350.52984500,0
2021-06-04,0.19490000,0.19600000,0.16360000,0.17150000,12869809.04000000,1622851199999,2226643.86935000,16351,6399380.64000000,1106285.35476800,0
2021-06-05,0.17150000,0.17770000,0.15440000,0.16480000,9460177.91000000,1622937599999,1583256.60598300,11033,4452711.51000000,747045.92680300,0
2021-06-06,0.16480000,0.19880000,0.16120000,0.17190000,32231770.67000000,1623023999999,5922966.33940200,35775,16908382.72000000,3111508.46075900,0
2021-06-07,0.17110000,0.17720000,0.15570000,0.15680000,10981051.35000000,1623110399999,1865147.50850100,11751,5357520.36000000,914167.67189200,0
2021-06-08,0.15680000,0.16210000,0.13840000,0.15640000,9639336.80000000,1623196799999,1451035.77552900,12522,4923766.13000000,742022.20262300,0
2021-06-09,0.15590000,0.18680000,0.14800000,0.16740000,36935522.56000000,1623283199999,6309978.01460100,34805,20953479.96000000,3596774.56437600,0
2021-06-10,0.16760000,0.16870000,0.15190000,0.15630000,12251586.26000000,1623369599999,1964466.59607000,12890,5731861.04000000,920628.29273500,0
2021-06-11,0.15610000,0.16980000,0.15050000,0.15440000,12845711.69000000,1623455999999,2056231.60193200,13846,6206377.73000000,990817.99749800,0
2021-06-12,0.15460000,0.15530000,0.14030000,0.14100000,8250844.40000000,1623542399999,1196224.57912900,9330,3980724.45000000,577332.81959600,0
2021-06-13,0.14100000,0.15490000,0.13740000,0.15410000,13331961.09000000,1623628799999,1956362.27429400,12437,6882739.66000000,1013528.81129600,0
2021-06-14,0.15420000,0.15920000,0.14540000,0.15320000,10095436.37000000,1623715199999,1522685.55048300,11030,5207194.50000000,785629.60339800,0
2021-06-15,0.15280000,0.16110000,0.15010000,0.15520000,9374353.76000000,1623801599999,1461635.54015700,10232,4192621.08000000,653992.36468900,0
2021-06-16,0.15510000,0.16880000,0.14260000,0.14420000,18231125.24000000,1623887999999,2865336.61907300,17011,9247339.81000000,1456133.14116200,0
2021-06-17,0.14440000,0.15860000,0.14390000,0.15270000,18000654.13000000,1623974399999,2756641.59143800,17359,8445545.13000000,1294547.54177100,0
2021-06-18,0.15270000,0.16490000,0.13800000,0.14150000,71646366.12000000,1624060799999,11286200.05564200,30342,36036654.19000000,5699485.87641900,0
2021-06-19,0.14150000,0.14600000,0.13750000,0.13960000,6451132.72000000,1624147199999,912730.92847100,6670,3333301.25000000,471863.47035100,0
2021-06-20,0.13920000,0.14320000,0.12530000,0.13470000,12838241.11000000,1624233599999,1732725.53356300,10155,6157951.23000000,832876.41037100,0
2021-06-21,0.13490000,0.13560000,0.11040000,0.11080000,12889041.09000000,1624319999999,1560601.60535900,10241,5719493.68000000,694378.71524400,0
2021-06-22,0.11130000,0.11710000,0.08400000,0.09590000,22738836.39000000,1624406399999,2294956.46414500,14650,11388340.44000000,1157451.09453100,0
2021-06-23,0.09670000,0.11180000,0.09350000,0.10620000,8357472.77000000,1624492799999,892904.09532300,5700,4053415.64000000,434408.09380600,0
2021-06-24,0.10620000,0.12350000,0.09970000,0.11340000,10209419.00000000,1624579199999,1153015.95289500,9807,5112388.29000000,578081.32696800,0
2021-06-25,0.11380000,0.11680000,0.09810000,0.10100000,9151918.79000000,1624665599999,966314.81621600,7557,4594138.23000000,484636.12965700,0
2021-06-26,0.10060000,0.10300000,0.09020000,0.09590000,11642520.53000000,1624751999999,1096687.41564700,8468,5758301.79000000,540849.10950800,0
2021-06-27,0.09600000,0.13400000,0.09540000,0.10800000,89341514.85000000,1624838399999,10063227.76406600,61621,44261334.55000000,5007137.89387500,0
2021-06-28,0.10810000,0.11500000,0.10520000,0.11010000,21841333.41000000,1624924799999,2402008.87116800,16278,10791511.13000000,1188518.98602000,0
2021-06-29,0.10990000,0.11730000,0.10670000,0.11030000,18469776.93000000,1625011199999,2079494.26202400,12803,8749176.16000000,985920.05107900,0
2021-06-30,0.11030000,0.11170000,0.10050000,0.10600000,15684534.91000000,1625097599999,1652990.09620000,10287,7777432.04000000,819162.70309200,0
2021-07-01,0.10610000,0.10980000,0.09840000,0.10310000,12840201.08000000,1625183999999,1330844.82401700,9954,6336174.77000000,658012.86724800,0
2021-07-02,0.10290000,0.10640000,0.09800000,0.10110000,10214177.91000000,1625270399999,1034834.38174600,7385,5192938.83000000,527353.70847500,0
2021-07-03,0.10130000,0.10840000,0.10000000,0.10290000,10456521.97000000,1625356799999,1087364.55723400,7664,5194655.59000000,540913.64043400,0
