openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-06-25,0.61990000,0.74000000,0.61990000,0.64600000,3720369.00000000,1624665599999,2505436.81830000,11634,2070144.00000000,1401013.58480000,0
2021-06-26,0.64410000,0.66610000,0.61400000,0.64780000,1699474.00000000,1624751999999,1086263.37260000,6144,770956.00000000,492874.05280000,0
2021-06-27,0.64700000,0.66330000,0.63500000,0.66330000,5064115.00000000,1624838399999,3288729.12460000,3799,2409343.00000000,1566184.06710000,0
2021-06-28,0.66390000,0.69290000,0.64710000,0.68230000,3191609.00000000,1624924799999,2135563.30320000,5586,1439629.00000000,962603.27590000,0
2021-06-29,0.68350000,0.77760000,0.68050000,0.75470000,2677467.00000000,1625011199999,1980409.79150000,5600,956111.00000000,704456.20600000,0
2021-06-30,0.75700000,0.90220000,0.75110000,0.89420000,9954113.00000000,1625097599999,8308327.57370000,21681,4722208.00000000,3948586.30060000,0
2021-07-01,0.89350000,0.89900000,0.80600000,0.87550000,6884109.00000000,1625183999999,5917284.82280000,12660,3492194.00000000,2998765.17460000,0
2021-07-02,0.87430000,0.88680000,0.79250000,0.86670000,5915084.00000000,1625270399999,5013322.93850000,11533,2983508.00000000,2519011.66340000,0
2021-07-03,0.86530000,0.88640000,0.84820000,0.86910000,5527351.00000000,1625356799999,4795092.18790000,6554,2625180.00000000,2277529.06130000,0
2021-07-04,0.86750000,0.87980000,0.84000000,0.84630000,4869737.00000000,1625443199999,4161642.21340000,10359,2745029.00000000,2345549.80470000,0
2021-07-05,0.84440000,0.84640000,0.80000000,0.81610000,5367437.00000000,1625529599999,4434280.59520000,7521,2663908.00000000,2200914.17740000,0
2021-07-06,0.81630000,0.84000000,0.78830000,0.80730000,2783866.00000000,1625615999999,2264934.83470000,6953,1316017.00000000,1070415.75250000,0
2021-07-07,0.80790000,0.81620000,0.78130000,0.78450000,3607000.00000000,1625702399999,2885589.17070000,7007,1898117.00000000,1517776.85740000,0
2021-07-08,0.78610000,0.85470000,0.72810000,0.76410000,4674703.00000000,1625788799999,3682231.61590000,13579,2283632.00000000,1803152.31790000,0
2021-07-09,0.76410000,0.80110000,0.73550000,0.79040000,1732555.00000000,1625875199999,1345425.73380000,5713,828409.00000000,643437.16280000,0
2021-07-10,0.79020000,0.80360000,0.75010000,0.76630000,2190753.00000000,1625961599999,1712482.01150000,5694,1043659.00000000,814383.78720000,0
2021-07-11,0.76480000,0.80000000,0.75130000,0.78090000,2822960.00000000,1626047999999,2201075.24280000,4935,1431283.00000000,1116865.90980000,0
2021-07-12,0.78140000,0.85000000,0.77600000,0.82630000,3149088.00000000,1626134399999,2544359.21520000,8798,1528842.00000000,1236256.12210000,0
2021-07-13,0.82650000,0.97500000,0.80230000,0.92330000,15107459.00000000,1626220799999,13563101.03210000,40948,7305344.00000000,6577478.49810000,0
