openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-01-01,2.12300000,2.25000000,2.10000000,2.22900000,110950.41600000,1546387199999,239699.45157600,2615,59529.42100000,128789.92342000,0
2019-01-02,2.23600000,2.32200000,2.14500000,2.30900000,236086.96800000,1546473599999,525412.67223300,4227,93463.80400000,207875.78199500,0
2019-01-03,2.31000000,2.31000000,2.14500000,2.16000000,192700.82700000,1546559999999,427316.85082200,3313,86230.64500000,191481.58880900,0
2019-01-04,2.16000000,2.22900000,2.13400000,2.20500000,165072.28800000,1546646399999,360219.14513500,2909,73503.61000000,160571.29856500,0
2019-01-05,2.20300000,2.26100000,2.17500000,2.20500000,419717.40800000,1546732799999,932830.22355200,4974,164630.26100000,366147.33477600,0
2019-01-06,2.21000000,2.35400000,2.17700000,2.29100000,372689.15700000,1546819199999,849379.30001400,4889,186195.25800000,424844.37773100,0
2019-01-07,2.29200000,2.32200000,2.22200000,2.24600000,223076.44000000,1546905599999,505986.55054700,3678,105350.06300000,239086.69960100,0
2019-01-08,2.24500000,2.32100000,2.20500000,2.24200000,259006.44700000,1546991999999,584967.23475800,4702,101378.56100000,229149.06601700,0
2019-01-09,2.24200000,2.49900000,2.23800000,2.41500000,953337.14300000,1547078399999,2282780.55214400,11069,436630.42900000,1046107.63810000,0
2019-01-10,2.42200000,2.58200000,2.02000000,2.07900000,894531.33800000,1547164799999,2035820.13149200,12133,429925.54200000,980460.44899500,0
2019-01-11,2.08000000,2.12300000,1.99500000,2.10000000,237178.22100000,1547251199999,489662.21137300,3991,116190.41700000,240088.97672800,0
2019-01-12,2.09900000,2.39300000,2.02500000,2.20200000,517752.70100000,1547337599999,1141741.28755000,9333,247622.63700000,546713.80304800,0
2019-01-13,2.20200000,2.30000000,2.00100000,2.00800000,523268.84800000,1547423999999,1109815.14665100,8239,277454.93400000,586881.90627800,0
2019-01-14,2.01300000,2.18600000,2.01300000,2.15500000,339802.77500000,1547510399999,713217.02807900,5152,162199.08000000,340482.34643700,0
2019-01-15,2.15400000,2.17400000,2.01200000,2.05600000,319329.55600000,1547596799999,667091.40441500,4066,146775.04900000,305874.91109500,0
2019-01-16,2.05600000,2.13300000,2.04400000,2.08700000,180306.95900000,1547683199999,376931.57514500,2894,89389.96400000,186862.49810600,0
2019-01-17,2.08800000,2.11600000,2.05500000,2.10900000,244917.90200000,1547769599999,510346.77413800,3283,105000.65800000,218998.22226000,0
