openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-12-29,0.00125000,0.30000000,0.00125000,0.02348700,7019924147.00000000,1609286399999,208512265.86645700,533501,3384757346.00000000,99934847.17952100,0
2020-12-30,0.02340300,0.02540000,0.01087900,0.01140000,3225931573.00000000,1609372799999,49613343.37315800,165669,1541688070.00000000,23675279.63463800,0
2020-12-31,0.01140000,0.01676900,0.01077800,0.01362600,1930441867.00000000,1609459199999,27244656.53699200,96994,958919182.00000000,13535477.26674100,0
2021-01-01,0.01362700,0.01579700,0.01155500,0.01222400,1094437719.00000000,1609545599999,14926635.69251000,54501,518075904.00000000,7105049.44493400,0
2021-01-02,0.01222800,0.01373600,0.01090000,0.01131700,858056705.00000000,1609631999999,10301220.30679900,43086,408925078.00000000,4903655.80436100,0
2021-01-03,0.01132500,0.01190000,0.00902800,0.00987100,678332202.00000000,1609718399999,6937867.75278700,30190,309668262.00000000,3160414.15378200,0
2021-01-04,0.00992500,0.01106500,0.00903200,0.01012100,567924408.00000000,1609804799999,5649068.73306300,25338,282190735.00000000,2813619.78491200,0
2021-01-05,0.01011600,0.01170000,0.00925000,0.01098100,548550420.00000000,1609891199999,5831908.02683800,27926,271874352.00000000,2902177.66426100,0
2021-01-06,0.01106200,0.01159700,0.01004600,0.01033400,362429698.00000000,1609977599999,3860625.18886900,22519,181342010.00000000,1938109.76824000,0
2021-01-07,0.01034000,0.01075000,0.00975000,0.00999800,392689474.00000000,1610063999999,3960104.87528000,22021,173863244.00000000,1759454.35072100,0
2021-01-08,0.00999800,0.01023000,0.00919800,0.00948100,289334004.00000000,1610150399999,2772942.17674500,13634,102462105.00000000,984399.56626300,0
2021-01-09,0.00949400,0.01050000,0.00935000,0.00983800,275820343.00000000,1610236799999,2724851.05152600,16334,140862222.00000000,1396160.92680200,0
2021-01-10,0.00989700,0.01101000,0.00920000,0.00985600,314175762.00000000,1610323199999,3174477.03307900,17838,149209871.00000000,1521947.10172600,0
2021-01-11,0.00985400,0.00993800,0.00750200,0.00815300,314241503.00000000,1610409599999,2657273.39652800,17451,123915823.00000000,1049475.78263200,0
2021-01-12,0.00815500,0.00833300,0.00681500,0.00705500,539720388.00000000,1610495999999,4058136.25807700,22088,246324881.00000000,1859000.81525800,0
2021-01-13,0.00705500,0.00820000,0.00651600,0.00790800,485703221.00000000,1610582399999,3622599.09015200,18409,236489467.00000000,1772313.58202600,0
2021-01-14,0.00790800,0.00998200,0.00777200,0.00941600,631919316.00000000,1610668799999,5416669.48372700,23963,319169626.00000000,2752742.91594700,0
2021-01-15,0.00945000,0.01328000,0.00886000,0.01263500,1721861860.00000000,1610755199999,19750398.05589800,76647,826386207.00000000,9495795.63331700,0
2021-01-16,0.01266900,0.01888000,0.01062100,0.01600000,1509072795.00000000,1610841599999,21941482.69525400,85483,741194699.00000000,10873518.59750600,0
2021-01-17,0.01600000,0.02099900,0.01465000,0.01735100,1972956337.00000000,1610927999999,34768454.54652400,124308,941534872.00000000,16654533.01882600,0
2021-01-18,0.01739400,0.01889900,0.01551300,0.01668600,616224675.00000000,1611014399999,10657175.51799100,46005,284008813.00000000,4926492.20173400,0
2021-01-19,0.01664800,0.01759900,0.01491300,0.01660000,635256006.00000000,1611100799999,10408030.29173400,45470,290277601.00000000,4767607.70160300,0
2021-01-20,0.01660000,0.02195600,0.01565500,0.02151000,1411564252.00000000,1611187199999,26946781.01658400,86856,686172801.00000000,13109681.54073200,0
2021-01-21,0.02151100,0.02300000,0.01900000,0.02120200,1177663688.00000000,1611273599999,24762654.18167800,86802,546011285.00000000,11525821.36877600,0
2021-01-22,0.02120200,0.02620900,0.01740100,0.02128400,1947823969.00000000,1611359999999,43189643.34580500,126189,943079981.00000000,21048790.89588600,0
2021-01-23,0.02128400,0.02360000,0.01950000,0.02129500,850806610.00000000,1611446399999,18333936.14847300,68692,420516273.00000000,9106457.30119600,0
2021-01-24,0.02129600,0.02340000,0.02100000,0.02119500,570248269.00000000,1611532799999,12703649.02731700,52968,284554115.00000000,6358071.66760700,0
2021-01-25,0.02119900,0.02380000,0.01900000,0.02007300,904706786.00000000,1611619199999,19628627.86383400,69776,435753518.00000000,9504964.68406200,0
2021-01-26,0.02007100,0.02150000,0.01813000,0.02110100,722012516.00000000,1611705599999,14142730.85514500,56371,362503680.00000000,7140814.64428900,0
2021-01-27,0.02115700,0.02250100,0.01742900,0.01825500,811225785.00000000,1611791999999,15987810.64512700,63933,389421112.00000000,7707613.74164700,0
2021-01-28,0.01825500,0.02075000,0.01775000,0.01960100,951857341.00000000,1611878399999,18373099.42452300,63956,453420784.00000000,8772879.10920900,0
2021-01-29,0.01960000,0.01981500,0.01685800,0.01838400,921225468.00000000,1611964799999,16617834.70951700,69755,419237806.00000000,7565180.81007200,0
2021-01-30,0.01836100,0.02112100,0.01789500,0.02057400,879493120.00000000,1612051199999,16948043.29527200,68926,450608416.00000000,8706882.75271800,0
2021-01-31,0.02057500,0.02198900,0.01904100,0.01985300,763479197.00000000,1612137599999,15639090.67237600,68015,385871393.00000000,7925925.40867200,0
2021-02-01,0.01982900,0.02250000,0.01890100,0.02178100,764838565.00000000,1612223999999,15833602.86138000,66327,417659910.00000000,8691388.30747400,0
2021-02-02,0.02178100,0.02696000,0.02166100,0.02537900,2325605845.00000000,1612310399999,56231070.20831300,178195,1179936713.00000000,28600283.22595400,0
2021-02-03,0.02537900,0.03100000,0.02419900,0.02989200,1809703251.00000000,1612396799999,51390499.32361600,153649,987080594.00000000,28062515.73692000,0
2021-02-04,0.02987600,0.03071000,0.02540000,0.02777900,1635000904.00000000,1612483199999,45122872.78601100,128285,832691198.00000000,23027271.79235900,0
2021-02-05,0.02782200,0.03200000,0.02700000,0.03019400,1660127241.00000000,1612569599999,48334382.01874700,133379,920724881.00000000,26900407.53323400,0
2021-02-06,0.03019500,0.03025000,0.02602000,0.02812900,1512285048.00000000,1612655999999,42144294.75362700,132939,738523706.00000000,20646975.05349100,0
2021-02-07,0.02815900,0.02850300,0.02293000,0.02617600,1607191060.00000000,1612742399999,41388267.04156100,135347,767977459.00000000,19756819.11845800,0
2021-02-08,0.02615500,0.03325800,0.02530600,0.03040200,2437815663.00000000,1612828799999,72333808.30709500,199583,1364487433.00000000,40601196.36866000,0
2021-02-09,0.03043400,0.03500000,0.02990000,0.03437100,2237799572.00000000,1612915199999,73146021.27804100,190892,1247378573.00000000,40797346.29546200,0
2021-02-10,0.03438100,0.04000000,0.03000000,0.03757300,3147837156.00000000,1613001599999,111435373.31767900,239057,1787016790.00000000,63646292.17980900,0
