openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.41090000,0.46020000,0.38590000,0.41770000,1043740.96000000,1577923199999,442268.90820300,3961,458068.35000000,195253.33917500,0
2020-01-02,0.41770000,0.44010000,0.36960000,0.37640000,542243.23000000,1578009599999,213688.12088800,1972,226671.19000000,89738.75953100,0
2020-01-03,0.37880000,0.41890000,0.36820000,0.40410000,338452.91000000,1578095999999,132592.22385900,1231,116930.64000000,46016.86418200,0
2020-01-04,0.40410000,0.42550000,0.39120000,0.39810000,293765.19000000,1578182399999,120353.42897400,1633,144349.63000000,59580.80712200,0
2020-01-05,0.39800000,0.41910000,0.39150000,0.40500000,300453.22000000,1578268799999,120489.66359100,1194,120847.39000000,48664.91281600,0
2020-01-06,0.40480000,0.40620000,0.38520000,0.39510000,233398.79000000,1578355199999,92171.09232400,1029,79645.86000000,31477.53527500,0
2020-01-07,0.39590000,0.44000000,0.39310000,0.43020000,455357.49000000,1578441599999,189309.29120100,1915,209589.63000000,87006.15327700,0
2020-01-08,0.43020000,0.48990000,0.42310000,0.43600000,904963.41000000,1578527999999,408666.30300700,3482,441240.75000000,198910.63584700,0
2020-01-09,0.43640000,0.44070000,0.40410000,0.41630000,212613.76000000,1578614399999,88781.41797400,1026,70674.77000000,29490.40240300,0
2020-01-10,0.41630000,0.42970000,0.40140000,0.42970000,116980.68000000,1578700799999,48405.80413400,724,54820.74000000,22753.49582800,0
2020-01-11,0.43000000,0.43450000,0.41250000,0.42420000,139962.72000000,1578787199999,59186.26249500,686,43642.65000000,18425.51212200,0
2020-01-12,0.41980000,0.46760000,0.41980000,0.45610000,216569.00000000,1578873599999,96618.60157500,1240,121424.12000000,54148.01023800,0
2020-01-13,0.45610000,0.50000000,0.44370000,0.47740000,504531.12000000,1578959999999,238310.38775900,2559,235840.64000000,111663.30954700,0
2020-01-14,0.47680000,0.50590000,0.45110000,0.50050000,506193.31000000,1579046399999,244574.51201300,2960,244579.22000000,118855.68710900,0
2020-01-15,0.49990000,0.54410000,0.48210000,0.52420000,510343.70000000,1579132799999,259077.95063400,3102,280625.50000000,142544.85390800,0
2020-01-16,0.52280000,0.59340000,0.50300000,0.57440000,593396.77000000,1579219199999,326528.57969100,3840,299944.17000000,165123.71667300,0
2020-01-17,0.57490000,0.62000000,0.54110000,0.55600000,603356.73000000,1579305599999,345239.18932900,3649,270211.04000000,155841.58678600,0
2020-01-18,0.55200000,0.56210000,0.52180000,0.53300000,296585.69000000,1579391999999,159493.86369800,1626,125195.20000000,67451.53015100,0
2020-01-19,0.53180000,0.54080000,0.46000000,0.49500000,443360.81000000,1579478399999,218924.87679700,2454,152302.36000000,74981.10384600,0
2020-01-20,0.49500000,0.50620000,0.46190000,0.49010000,192608.86000000,1579564799999,93421.70623300,1242,93253.51000000,45282.94052300,0
2020-01-21,0.49450000,0.51070000,0.47800000,0.49280000,208439.30000000,1579651199999,102973.56729500,1277,95812.03000000,47319.75638900,0
2020-01-22,0.49270000,0.51000000,0.48780000,0.50140000,93909.74000000,1579737599999,46744.98651000,692,52219.07000000,26044.69552100,0
2020-01-23,0.50140000,0.50140000,0.46850000,0.49440000,119740.71000000,1579823999999,57645.32811100,750,62003.55000000,29925.28504600,0
2020-01-24,0.49440000,0.54600000,0.48010000,0.51510000,273194.90000000,1579910399999,138595.05387100,1488,141767.23000000,72458.74421800,0
2020-01-25,0.51930000,0.51980000,0.48910000,0.49880000,86726.93000000,1579996799999,43471.74610700,692,29894.15000000,15002.58322000,0
2020-01-26,0.49470000,0.52810000,0.48820000,0.52220000,176176.52000000,1580083199999,89955.12178700,1027,55254.65000000,28186.24242400,0
2020-01-27,0.52220000,0.54140000,0.50480000,0.51200000,251315.43000000,1580169599999,130376.98838100,1368,81286.26000000,42052.93304000,0
2020-01-28,0.51090000,0.59490000,0.50490000,0.56810000,429773.88000000,1580255999999,235402.28718400,2470,244836.35000000,134005.61111000,0
2020-01-29,0.56910000,0.60790000,0.56380000,0.58070000,508484.29000000,1580342399999,297260.39627400,2435,220335.98000000,129218.79342100,0
2020-01-30,0.58070000,0.69500000,0.56580000,0.68400000,557497.04000000,1580428799999,364615.02287900,3547,297895.02000000,194147.38900600,0
2020-01-31,0.68220000,0.72500000,0.64440000,0.66840000,717927.23000000,1580515199999,489412.27351900,3875,311983.51000000,212428.76123400,0
2020-02-01,0.67270000,0.71960000,0.65640000,0.68850000,357140.37000000,1580601599999,243660.97438100,2010,148567.17000000,101333.45518500,0
2020-02-02,0.68850000,0.68880000,0.64180000,0.65760000,412656.61000000,1580687999999,271965.74585600,2101,125709.17000000,83070.75023800,0
2020-02-03,0.65800000,0.75000000,0.63580000,0.70950000,377008.87000000,1580774399999,263704.11800500,2661,225002.66000000,157670.60329000,0
2020-02-04,0.70950000,0.71900000,0.66220000,0.71590000,268458.94000000,1580860799999,185344.78598200,1601,114757.81000000,79297.08281400,0
2020-02-05,0.71340000,0.72160000,0.68960000,0.70090000,158812.83000000,1580947199999,111554.54226200,1130,73852.47000000,52006.05515300,0
2020-02-06,0.70170000,0.79900000,0.69890000,0.77470000,371334.03000000,1581033599999,280132.84752400,2177,194166.92000000,146641.67457900,0
2020-02-07,0.76930000,0.79900000,0.76930000,0.77950000,161337.13000000,1581119999999,126059.41263400,1307,57595.06000000,45017.87371800,0
2020-02-08,0.77850000,0.77950000,0.71410000,0.74050000,296496.38000000,1581206399999,220534.75812500,2009,142414.34000000,106319.55490000,0
2020-02-09,0.74050000,0.76070000,0.71450000,0.71860000,335703.94000000,1581292799999,246070.79266400,1629,141132.82000000,103110.45288800,0
2020-02-10,0.71860000,0.72980000,0.69470000,0.72910000,208615.27000000,1581379199999,149012.52006800,1227,77548.70000000,55538.39427600,0
2020-02-11,0.72310000,0.79320000,0.68370000,0.77300000,488545.67000000,1581465599999,367021.96912300,2238,147371.13000000,109499.89981400,0
2020-02-12,0.77540000,0.78700000,0.72000000,0.74260000,485353.34000000,1581551999999,360195.93690900,2029,301178.98000000,221636.43641600,0
2020-02-13,0.74260000,0.76800000,0.70930000,0.72750000,207525.92000000,1581638399999,152437.18413300,1269,98960.99000000,73001.54293200,0
2020-02-14,0.72820000,0.74170000,0.71590000,0.73600000,208927.94000000,1581724799999,152648.52261500,974,60583.03000000,44328.26880300,0
2020-02-15,0.73600000,0.74160000,0.65410000,0.68760000,260755.54000000,1581811199999,184184.30550900,1303,89809.10000000,63653.49573400,0
2020-02-16,0.68760000,0.70140000,0.59900000,0.64390000,260866.87000000,1581897599999,170790.28927100,1350,102945.68000000,67209.06963300,0
2020-02-17,0.64310000,0.64650000,0.58510000,0.62660000,172843.30000000,1581983999999,105876.40811600,1048,78802.36000000,48312.49117600,0
2020-02-18,0.62950000,0.70870000,0.60880000,0.67700000,267913.70000000,1582070399999,182330.21927700,1693,128405.69000000,86646.40305400,0
2020-02-19,0.68560000,0.69990000,0.58930000,0.61500000,179509.78000000,1582156799999,117557.86811600,1044,60381.89000000,39508.34983800,0
2020-02-20,0.60920000,0.62110000,0.57200000,0.59350000,197606.89000000,1582243199999,116976.49232100,1164,66434.35000000,39492.55105300,0
2020-02-21,0.59670000,0.81060000,0.59040000,0.72700000,1823245.69000000,1582329599999,1315044.11861000,6600,736991.92000000,531290.70228600,0
2020-02-22,0.72690000,0.72690000,0.64900000,0.66020000,744782.21000000,1582415999999,501202.33894900,3136,229307.50000000,154373.61578900,0
2020-02-23,0.66650000,0.70900000,0.66000000,0.68050000,246821.84000000,1582502399999,168549.62863400,1436,121651.46000000,83241.95157100,0
2020-02-24,0.67990000,0.68730000,0.63070000,0.63650000,218138.36000000,1582588799999,143187.40218600,1303,118674.94000000,77987.67978200,0
2020-02-25,0.63610000,0.63820000,0.58320000,0.59490000,256803.64000000,1582675199999,156419.14190300,1214,101314.01000000,61812.42830600,0
2020-02-26,0.59190000,0.63990000,0.51880000,0.52500000,554039.36000000,1582761599999,304525.89605800,2045,249887.34000000,136261.44844800,0
2020-02-27,0.52210000,0.56410000,0.50220000,0.53010000,277120.03000000,1582847999999,147923.08470800,1517,142482.80000000,75821.63302200,0
2020-02-28,0.52320000,0.54440000,0.48830000,0.52450000,189592.93000000,1582934399999,97151.28166800,1029,77050.32000000,39514.21590300,0
2020-02-29,0.52650000,0.53950000,0.51900000,0.52510000,201143.26000000,1583020799999,106294.89116700,691,94705.02000000,49775.36247200,0
2020-03-01,0.52450000,0.53400000,0.50000000,0.51540000,220249.08000000,1583107199999,114196.04863100,1000,105385.51000000,54692.01006100,0
2020-03-02,0.51010000,0.57100000,0.51010000,0.55910000,235478.65000000,1583193599999,128643.87988600,894,118382.39000000,64370.10182500,0
2020-03-03,0.55730000,0.60870000,0.55650000,0.58050000,403320.60000000,1583279999999,235023.22770600,2753,227752.63000000,133103.67476200,0
2020-03-04,0.58060000,0.63950000,0.57000000,0.61050000,388620.52000000,1583366399999,234791.51647000,2652,140503.10000000,85084.67070200,0
2020-03-05,0.61100000,0.67870000,0.50500000,0.60360000,462963.72000000,1583452799999,287523.73344400,3156,236256.96000000,148374.64827500,0
2020-03-06,0.60260000,0.62890000,0.58400000,0.60430000,429463.28000000,1583539199999,258816.99055500,2105,195895.24000000,118194.15454100,0
2020-03-07,0.60510000,0.62480000,0.54700000,0.55620000,526430.66000000,1583625599999,308006.72569700,2256,281799.08000000,163840.57799700,0
2020-03-08,0.55450000,0.57600000,0.50000000,0.50530000,309909.30000000,1583711999999,165776.74607400,2428,130962.20000000,70485.31076700,0
2020-03-09,0.50510000,0.52720000,0.43920000,0.46760000,416413.04000000,1583798399999,203454.32714800,2589,172115.24000000,83517.15159400,0
