openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-07-30,0.18230000,0.21430000,0.16890000,0.19320000,1363261.74000000,1596153599999,263738.97341300,1992,514168.83000000,99499.15685300,0
2020-07-31,0.19240000,0.19720000,0.16470000,0.18590000,428205.95000000,1596239999999,81009.48109600,797,122556.43000000,23180.72727200,0
2020-08-01,0.18570000,0.19160000,0.15000000,0.18720000,814644.73000000,1596326399999,148807.93603100,1163,243789.82000000,44884.05515400,0
2020-08-02,0.18630000,0.19780000,0.17000000,0.18780000,941067.81000000,1596412799999,174931.02281400,1499,496592.25000000,91880.33367700,0
2020-08-03,0.18640000,0.20000000,0.18410000,0.18710000,668011.34000000,1596499199999,126849.39411300,808,156330.15000000,29723.32641900,0
2020-08-04,0.18820000,0.19520000,0.18470000,0.18990000,428413.89000000,1596585599999,80591.20367700,925,237394.90000000,44771.54773500,0
2020-08-05,0.19020000,0.20060000,0.18860000,0.19740000,1279680.69000000,1596671999999,249440.63247700,2171,614206.60000000,119896.13179800,0
2020-08-06,0.19740000,0.20240000,0.19420000,0.19760000,679608.80000000,1596758399999,135037.20584000,1256,342879.68000000,68129.67345200,0
2020-08-07,0.19760000,0.20500000,0.18350000,0.19500000,751138.99000000,1596844799999,146905.07891000,1196,298326.60000000,58164.51817400,0
2020-08-08,0.19370000,0.20450000,0.19240000,0.20250000,1321963.68000000,1596931199999,263999.63723200,1733,375853.31000000,74621.60606600,0
2020-08-09,0.20250000,0.21000000,0.19640000,0.20870000,1009769.94000000,1597017599999,204161.89682800,1709,473271.72000000,95849.95749300,0
2020-08-10,0.20960000,0.23000000,0.19860000,0.22420000,1973321.65000000,1597103999999,417522.62695900,3283,901020.87000000,190092.63189900,0
2020-08-11,0.22240000,0.23460000,0.19660000,0.20300000,1917301.61000000,1597190399999,413100.02395400,2823,871048.55000000,188065.78835500,0
2020-08-12,0.20480000,0.22950000,0.19250000,0.22440000,1294165.05000000,1597276799999,272372.87354500,1619,534480.23000000,113576.91951100,0
2020-08-13,0.22400000,0.36780000,0.22000000,0.27340000,5587964.11000000,1597363199999,1438122.30888300,9527,2455084.76000000,640089.34451100,0
2020-08-14,0.27120000,0.31000000,0.25800000,0.29690000,4287858.44000000,1597449599999,1211478.39398000,8021,1914420.16000000,542922.76881800,0
2020-08-15,0.29690000,0.30000000,0.27000000,0.27510000,1896716.61000000,1597535999999,528653.00817800,2834,887329.07000000,247035.38753300,0
2020-08-16,0.27370000,0.32870000,0.27050000,0.32870000,1982122.46000000,1597622399999,591918.55634200,4393,1005482.88000000,301511.83798900,0
2020-08-17,0.32860000,0.33550000,0.29000000,0.29810000,1514379.09000000,1597708799999,469696.99339100,4279,781621.44000000,243401.31055500,0
2020-08-18,0.29770000,0.30420000,0.26100000,0.28250000,1676385.99000000,1597795199999,473765.18291000,3018,828044.83000000,236266.73763700,0
2020-08-19,0.28120000,0.28320000,0.25130000,0.25520000,1205687.44000000,1597881599999,320123.85311100,2429,535938.65000000,141688.88364900,0
2020-08-20,0.25640000,0.28940000,0.25430000,0.28920000,603971.74000000,1597967999999,164127.55544600,1495,324091.35000000,87908.30025400,0
2020-08-21,0.28960000,0.29700000,0.25160000,0.26260000,1313870.09000000,1598054399999,367701.05905200,2817,633858.94000000,176830.15171800,0
2020-08-22,0.26260000,0.28990000,0.25000000,0.28190000,747054.65000000,1598140799999,201799.27768800,1940,385262.02000000,103721.93376700,0
2020-08-23,0.28180000,0.49360000,0.27940000,0.39530000,15172068.04000000,1598227199999,5607885.48137200,26612,7229340.83000000,2676426.59831600,0
2020-08-24,0.39590000,0.46830000,0.36020000,0.38310000,13127141.44000000,1598313599999,5401655.94446700,23027,6332880.77000000,2612089.05661300,0
2020-08-25,0.38310000,0.39560000,0.32410000,0.34750000,4466312.16000000,1598399999999,1627653.03889200,9728,2019347.05000000,736439.49044800,0
2020-08-26,0.34750000,0.50050000,0.33050000,0.47320000,9463616.28000000,1598486399999,4031827.94485700,20177,4711395.53000000,2020774.47618400,0
2020-08-27,0.47110000,0.52950000,0.41620000,0.44800000,14756661.59000000,1598572799999,6978368.89010000,31466,7108849.85000000,3373166.38377200,0
2020-08-28,0.44610000,0.59000000,0.44610000,0.58140000,12094922.40000000,1598659199999,6368186.17693100,28381,5831938.23000000,3064329.33314600,0
2020-08-29,0.58130000,0.78760000,0.57480000,0.68490000,31960236.01000000,1598745599999,22299894.28075600,70474,15799774.68000000,11018718.68932800,0
2020-08-30,0.68500000,0.69800000,0.62200000,0.64740000,9304968.55000000,1598831999999,6089978.84320700,21801,4528269.66000000,2967274.24666900,0
2020-08-31,0.64640000,0.69980000,0.58070000,0.60330000,5392076.93000000,1598918399999,3419372.97868100,15119,2472788.62000000,1576214.69293900,0
2020-09-01,0.60330000,0.61250000,0.54560000,0.56430000,6462686.24000000,1599004799999,3715773.82765700,15563,3142731.40000000,1805725.61789700,0
2020-09-02,0.56320000,0.61660000,0.47000000,0.53300000,4728241.33000000,1599091199999,2581383.96486900,13143,2204904.84000000,1207777.78663600,0
2020-09-03,0.53160000,0.54000000,0.38000000,0.40090000,4286848.33000000,1599177599999,2046438.44399200,10867,1620079.03000000,769913.39642500,0
2020-09-04,0.40600000,0.63000000,0.40000000,0.59050000,18960343.81000000,1599263999999,10123568.94618100,42426,8908822.77000000,4774788.61579100,0
2020-09-05,0.59280000,0.60870000,0.46690000,0.53010000,10444763.54000000,1599350399999,5560692.68812100,27939,5285297.79000000,2811585.77823000,0
2020-09-06,0.52890000,0.54190000,0.48000000,0.52150000,4160978.73000000,1599436799999,2117969.88343100,11298,2027609.81000000,1032696.98001400,0
2020-09-07,0.52460000,0.56000000,0.45030000,0.49990000,2888604.84000000,1599523199999,1427480.02233300,6939,1329427.84000000,659460.67400900,0
2020-09-08,0.50180000,0.51600000,0.45100000,0.46340000,1853145.12000000,1599609599999,884991.78765700,4485,952642.92000000,456018.78608300,0
2020-09-09,0.46400000,0.48360000,0.43720000,0.46540000,2438221.40000000,1599695999999,1125419.56657900,5502,1122211.61000000,518955.11581600,0
2020-09-10,0.46530000,0.52870000,0.45730000,0.50510000,3086718.27000000,1599782399999,1517922.91090300,7814,1482155.55000000,730012.37330300,0
2020-09-11,0.50350000,0.58000000,0.50260000,0.53620000,6516693.48000000,1599868799999,3534917.68695200,18381,3149369.58000000,1710305.03685400,0
2020-09-12,0.53860000,0.55940000,0.50040000,0.53780000,2922280.80000000,1599955199999,1538620.53269000,8161,1410761.62000000,742900.20984300,0
2020-09-13,0.53600000,0.53700000,0.46290000,0.48180000,2960144.99000000,1600041599999,1468764.65521900,8039,1395173.20000000,690317.36386500,0
2020-09-14,0.48180000,0.49300000,0.46050000,0.47230000,2892835.66000000,1600127999999,1376827.80021600,7083,1456133.09000000,694055.00750700,0
2020-09-15,0.47290000,0.50800000,0.44780000,0.45130000,3021301.31000000,1600214399999,1454292.15664300,8612,1411116.55000000,680222.35982500,0
2020-09-16,0.45140000,0.45680000,0.41530000,0.44160000,2902033.32000000,1600300799999,1266859.46351100,10285,1461602.68000000,638914.58677700,0
2020-09-17,0.44130000,0.45100000,0.40840000,0.41980000,1674621.73000000,1600387199999,709306.31730600,5973,763247.11000000,323511.02400900,0
2020-09-18,0.42090000,0.44450000,0.39470000,0.40990000,2114066.95000000,1600473599999,890076.53003700,6998,948306.06000000,400875.69233800,0
2020-09-19,0.41180000,0.44270000,0.40500000,0.44030000,1545088.21000000,1600559999999,643653.72282700,5365,774906.88000000,322930.04367000,0
2020-09-20,0.44050000,0.44050000,0.39220000,0.40860000,1910555.44000000,1600646399999,786175.75805000,6227,905064.11000000,372840.22427100,0
2020-09-21,0.40930000,0.41070000,0.33290000,0.34390000,2647322.60000000,1600732799999,971059.82281600,7773,1077374.97000000,394374.73873400,0
2020-09-22,0.34450000,0.35840000,0.30460000,0.33680000,3664840.39000000,1600819199999,1185076.93715700,9184,1833761.36000000,593585.50482800,0
2020-09-23,0.33680000,0.34310000,0.30040000,0.30160000,2597009.17000000,1600905599999,837859.37361700,6761,1180765.62000000,382511.97970000,0
2020-09-24,0.30290000,0.33910000,0.29710000,0.33830000,2343447.56000000,1600991999999,743555.12438200,6734,1288948.16000000,409199.90323000,0
2020-09-25,0.33860000,0.38380000,0.32370000,0.36540000,4537372.93000000,1601078399999,1628211.80152300,12066,2299415.48000000,825050.71926400,0
2020-09-26,0.36510000,0.40830000,0.36280000,0.40140000,5717661.66000000,1601164799999,2205911.96136200,15661,2826914.19000000,1091883.29633700,0
2020-09-27,0.40140000,0.40720000,0.36730000,0.39130000,2312446.47000000,1601251199999,893782.96307300,6840,1122229.10000000,433294.69385200,0
2020-09-28,0.39170000,0.46060000,0.38970000,0.43770000,10232429.78000000,1601337599999,4428786.43054900,24804,4798684.20000000,2077916.30468500,0
2020-09-29,0.43780000,0.52330000,0.43040000,0.50390000,14747986.66000000,1601423999999,7215443.17407300,38708,6956633.75000000,3404060.66379100,0
2020-09-30,0.50570000,0.54100000,0.48590000,0.51290000,8627149.66000000,1601510399999,4452940.23048100,24715,4208227.41000000,2172209.91007900,0
2020-10-01,0.51290000,0.51790000,0.44880000,0.47420000,6541231.45000000,1601596799999,3162538.53937100,20990,3554420.71000000,1722700.00604900,0
2020-10-02,0.47390000,0.50730000,0.42240000,0.46760000,9553813.76000000,1601683199999,4408098.09338600,23886,4527311.84000000,2083439.69080500,0
2020-10-03,0.46810000,0.47680000,0.45610000,0.46060000,3052070.81000000,1601769599999,1423163.17021000,8244,1555704.20000000,726003.24188000,0
2020-10-04,0.45970000,0.46950000,0.44050000,0.46740000,2841407.22000000,1601855999999,1304132.93656000,7256,1453557.07000000,668028.16072500,0
2020-10-05,0.46710000,0.50890000,0.46700000,0.50340000,4904538.46000000,1601942399999,2404323.28774700,11917,2301965.99000000,1128733.33409100,0
2020-10-06,0.50380000,0.50720000,0.44280000,0.45370000,4840838.84000000,1602028799999,2259711.18493400,12140,2199158.74000000,1027543.33661800,0
2020-10-07,0.45360000,0.48810000,0.43980000,0.47930000,6457288.96000000,1602115199999,2998416.31722100,17413,3067658.53000000,1420938.09061400,0
2020-10-08,0.47920000,0.48570000,0.45160000,0.48140000,4564059.05000000,1602201599999,2153057.82297500,11532,2072352.98000000,976636.62719900,0
2020-10-09,0.48300000,0.53230000,0.46480000,0.51440000,5241469.95000000,1602287999999,2600164.91395400,12873,2562614.95000000,1274725.42909000,0
2020-10-10,0.51420000,0.66570000,0.51000000,0.64100000,14490220.03000000,1602374399999,8617814.46329500,40388,6716977.79000000,4000378.49182400,0
2020-10-11,0.64100000,0.64110000,0.56890000,0.59070000,11480408.74000000,1602460799999,6927780.65419000,32285,5523321.36000000,3338504.59852200,0
2020-10-12,0.59130000,0.62860000,0.56100000,0.58440000,10150851.54000000,1602547199999,5991861.97979600,27043,4946175.21000000,2923066.91104000,0
2020-10-13,0.58470000,0.63510000,0.57680000,0.58500000,6555994.83000000,1602633599999,3963249.37999300,21283,3015824.18000000,1822849.61537700,0
2020-10-14,0.58630000,0.60750000,0.51230000,0.51860000,7639981.56000000,1602719999999,4258471.94254400,22114,3807444.68000000,2123069.10038000,0
2020-10-15,0.51870000,0.53260000,0.46690000,0.47550000,11062675.24000000,1602806399999,5472967.43264500,25760,5429694.15000000,2687702.91737400,0
2020-10-16,0.47540000,0.47720000,0.41690000,0.42900000,8823530.00000000,1602892799999,3872888.87509600,19285,4292957.62000000,1882632.06699100,0
2020-10-17,0.42890000,0.44590000,0.41020000,0.43250000,5385146.82000000,1602979199999,2306086.42008400,12539,2554099.95000000,1094810.42401400,0
2020-10-18,0.43180000,0.45230000,0.42450000,0.44540000,3077537.85000000,1603065599999,1347625.28565400,7736,1538640.16000000,675614.80899700,0
2020-10-19,0.44550000,0.44700000,0.39370000,0.40260000,5145043.66000000,1603151999999,2137409.86288200,12108,2305506.50000000,957088.06685700,0
2020-10-20,0.40250000,0.40480000,0.36580000,0.37160000,4239329.20000000,1603238399999,1622999.17115800,11253,2068759.22000000,792138.01251700,0
2020-10-21,0.37160000,0.39540000,0.36800000,0.38240000,3857875.56000000,1603324799999,1475757.16895500,10393,1799329.40000000,689388.13892200,0
2020-10-22,0.38220000,0.40460000,0.37090000,0.38910000,3246899.49000000,1603411199999,1263507.79102500,9251,1535137.07000000,598870.37613300,0
2020-10-23,0.38920000,0.39370000,0.36990000,0.38200000,2180138.17000000,1603497599999,832729.87753800,6401,1095655.39000000,417800.99311800,0
2020-10-24,0.38140000,0.40020000,0.37110000,0.39300000,2820533.80000000,1603583999999,1089409.98163800,7758,1292180.39000000,498860.65211100,0
2020-10-25,0.39250000,0.41710000,0.38550000,0.41380000,5196783.81000000,1603670399999,2095080.14622700,12321,2395656.30000000,966134.61549700,0
2020-10-26,0.41360000,0.41480000,0.35490000,0.36880000,4706960.46000000,1603756799999,1807663.40468600,11144,2399727.49000000,920794.31202200,0
2020-10-27,0.36990000,0.37630000,0.34930000,0.36090000,3981906.16000000,1603843199999,1447322.76091400,10238,2049805.72000000,745450.85746800,0
2020-10-28,0.36030000,0.36250000,0.32010000,0.33080000,3217694.43000000,1603929599999,1089963.81936000,8168,1442187.93000000,488457.37006000,0
2020-10-29,0.33080000,0.34470000,0.31770000,0.33700000,2885817.45000000,1604015999999,957521.10566100,6343,1497040.37000000,496291.37003400,0
2020-10-30,0.33810000,0.34200000,0.31000000,0.31790000,2993327.96000000,1604102399999,960556.63816200,6615,1411695.48000000,453317.59341900,0
2020-10-31,0.31810000,0.33310000,0.31600000,0.31780000,1538875.17000000,1604188799999,497529.38084400,3658,743315.93000000,240076.68582100,0
2020-11-01,0.31760000,0.33000000,0.31090000,0.32540000,1464501.93000000,1604275199999,466184.34108300,3291,780047.23000000,248366.97866600,0
2020-11-02,0.32630000,0.33000000,0.30180000,0.30370000,2085637.73000000,1604361599999,654700.23581000,3980,905886.21000000,283824.26777700,0
2020-11-03,0.30320000,0.30420000,0.27510000,0.28510000,2439342.35000000,1604447999999,694139.13642600,5130,1525734.61000000,433768.78431700,0
2020-11-04,0.28510000,0.28770000,0.26000000,0.27150000,1896818.23000000,1604534399999,516392.02723700,4179,941115.63000000,256218.92197500,0
2020-11-05,0.27140000,0.28670000,0.26730000,0.28330000,2117169.73000000,1604620799999,587758.38369800,5715,1088856.36000000,302150.21463600,0
2020-11-06,0.28330000,0.38670000,0.28220000,0.36910000,8045304.29000000,1604707199999,2728754.72699200,22666,3889668.75000000,1318954.72767800,0
2020-11-07,0.36910000,0.38470000,0.31570000,0.32920000,7510045.31000000,1604793599999,2670013.13650200,21945,3669950.33000000,1307929.66608000,0
2020-11-08,0.32830000,0.36520000,0.32210000,0.35400000,4507632.34000000,1604879999999,1580870.59389600,13219,2260324.98000000,792613.24000700,0
2020-11-09,0.35360000,0.35870000,0.33000000,0.34720000,3348249.90000000,1604966399999,1152038.71919800,10479,1703972.39000000,587013.04074800,0
2020-11-10,0.34900000,0.37760000,0.34430000,0.36810000,3871749.29000000,1605052799999,1416354.54467300,10998,1944090.95000000,711254.56065100,0
2020-11-11,0.36920000,0.41290000,0.36310000,0.36380000,6087733.22000000,1605139199999,2358684.04579800,16695,2934850.12000000,1139182.67421200,0
2020-11-12,0.36390000,0.36740000,0.33500000,0.34570000,4619247.25000000,1605225599999,1635048.11091700,10673,2349714.14000000,831637.64798600,0
2020-11-13,0.34570000,0.36290000,0.34380000,0.35620000,2951458.51000000,1605311999999,1047035.56071300,8151,1428231.88000000,506886.05004600,0
2020-11-14,0.35700000,0.36430000,0.33860000,0.35280000,3162588.48000000,1605398399999,1104866.55629300,7902,1585449.45000000,553554.09412000,0
2020-11-15,0.35310000,0.35890000,0.32740000,0.33960000,4190767.96000000,1605484799999,1442534.21663200,15126,2104167.82000000,723336.61595100,0
2020-11-16,0.33910000,0.35500000,0.33530000,0.34400000,3382514.17000000,1605571199999,1169487.70472500,12356,1593981.31000000,551004.91821100,0
2020-11-17,0.34360000,0.36220000,0.33510000,0.35300000,3864577.87000000,1605657599999,1354014.39839900,13323,1900170.00000000,665786.81943700,0
2020-11-18,0.35300000,0.35750000,0.30760000,0.32840000,4513411.86000000,1605743999999,1483828.99862500,12936,2606138.71000000,857451.17911000,0
2020-11-19,0.32900000,0.33030000,0.31010000,0.31990000,2535384.26000000,1605830399999,808971.29624700,8836,1288506.76000000,411325.01139900,0
2020-11-20,0.31980000,0.33450000,0.31810000,0.32660000,2578136.98000000,1605916799999,838385.20593600,10125,1321055.23000000,429742.06132700,0
2020-11-21,0.32710000,0.36790000,0.32340000,0.36690000,4956872.27000000,1606003199999,1716101.04142700,18944,2426662.99000000,841700.35416900,0
2020-11-22,0.36770000,0.36930000,0.32120000,0.34490000,4759905.82000000,1606089599999,1642202.60198100,16143,2478800.82000000,855141.23817300,0
2020-11-23,0.34570000,0.36890000,0.33600000,0.36760000,4144375.71000000,1606175999999,1464633.96233400,18128,2129536.47000000,753001.03210000,0
2020-11-24,0.36790000,0.40360000,0.34590000,0.40230000,7854571.34000000,1606262399999,2941910.05294600,28315,4150238.67000000,1555330.18111600,0
2020-11-25,0.40180000,0.45260000,0.38330000,0.39880000,13263869.22000000,1606348799999,5543514.57937300,45696,6942815.00000000,2903802.96487600,0
2020-11-26,0.39780000,0.42280000,0.31110000,0.33780000,11932504.06000000,1606435199999,4226255.89643200,31551,6005122.42000000,2126374.25615300,0
2020-11-27,0.33860000,0.34700000,0.31580000,0.32870000,2957473.66000000,1606521599999,973803.67494200,13551,1484566.10000000,488816.69961800,0
2020-11-28,0.32900000,0.34740000,0.32470000,0.34180000,2316685.22000000,1606607999999,780379.24835600,10343,1155059.52000000,389503.23900700,0
2020-11-29,0.34180000,0.34520000,0.33300000,0.34040000,1736335.86000000,1606694399999,589956.49565500,8791,757328.67000000,257584.28371300,0
2020-11-30,0.34040000,0.35610000,0.33040000,0.35350000,2790842.74000000,1606780799999,961315.26248100,11710,1407273.08000000,484445.92622400,0
2020-12-01,0.35330000,0.37450000,0.32650000,0.34750000,5036339.06000000,1606867199999,1778742.40391100,16733,2448503.26000000,863009.89927100,0
2020-12-02,0.34820000,0.38870000,0.34190000,0.38220000,4439510.16000000,1606953599999,1636068.29971900,14073,2198767.68000000,812958.60972300,0
2020-12-03,0.38200000,0.40250000,0.36800000,0.37640000,3037582.90000000,1607039999999,1149580.95361700,9972,1227237.27000000,465797.21822700,0
2020-12-04,0.37600000,0.39000000,0.33530000,0.33800000,3351748.02000000,1607126399999,1214643.05360500,11482,1796215.34000000,650150.18907800,0
2020-12-05,0.33690000,0.37200000,0.33420000,0.37160000,2220811.08000000,1607212799999,786101.30964800,9407,1211664.82000000,428191.80360300,0
2020-12-06,0.37200000,0.37490000,0.34700000,0.35690000,1590062.05000000,1607299199999,568495.77125000,6033,626571.55000000,223248.82583500,0
2020-12-07,0.35680000,0.35850000,0.34440000,0.35280000,940283.21000000,1607385599999,330956.36850500,4339,425737.74000000,149930.63772500,0
2020-12-08,0.35280000,0.37880000,0.34240000,0.35010000,4886621.20000000,1607471999999,1765574.67433900,16496,2652412.22000000,957471.11306000,0
2020-12-09,0.34960000,0.35030000,0.31820000,0.33920000,2583247.41000000,1607558399999,864289.35958400,8523,1411194.45000000,471854.89327100,0
2020-12-10,0.33930000,0.36200000,0.32000000,0.34300000,3463343.53000000,1607644799999,1177111.96259300,9627,1263454.98000000,426122.33631500,0
2020-12-11,0.34330000,0.34870000,0.31950000,0.32840000,2578873.47000000,1607731199999,862951.40888000,10453,1164544.03000000,389741.18013600,0
2020-12-12,0.32870000,0.34990000,0.32830000,0.34250000,1527284.18000000,1607817599999,518690.23925300,5225,688777.45000000,233902.61592300,0
2020-12-13,0.34300000,0.35530000,0.33910000,0.35040000,1079254.32000000,1607903999999,375196.26593600,3904,468239.62000000,162806.64805200,0
2020-12-14,0.34990000,0.35070000,0.34080000,0.34510000,871273.04000000,1607990399999,300850.54269900,3709,384702.02000000,132749.43860000,0
2020-12-15,0.34560000,0.35810000,0.33920000,0.35810000,1959675.45000000,1608076799999,682219.51452800,6036,834646.86000000,291267.85970300,0
2020-12-16,0.35700000,0.37060000,0.35150000,0.36180000,5036684.47000000,1608163199999,1823943.84111500,18417,2224332.51000000,807006.50030100,0
2020-12-17,0.36230000,0.37810000,0.35100000,0.35490000,4457488.84000000,1608249599999,1610507.69163900,17402,2046938.82000000,739404.12919000,0
2020-12-18,0.35430000,0.36470000,0.34620000,0.36220000,2715223.38000000,1608335999999,965835.57199400,9194,1365337.89000000,486401.47289100,0
2020-12-19,0.36250000,0.40400000,0.36250000,0.38100000,6874669.49000000,1608422399999,2628426.74173400,24339,3682663.80000000,1404611.85898500,0
2020-12-20,0.38180000,0.38430000,0.34810000,0.35820000,2886503.94000000,1608508799999,1058601.84198400,10915,1415131.67000000,518450.28038900,0
2020-12-21,0.35820000,0.37040000,0.32760000,0.34040000,3258729.10000000,1608595199999,1127062.04542300,11399,1675149.52000000,579514.18250500,0
2020-12-22,0.33990000,0.34740000,0.32640000,0.33920000,2300469.62000000,1608681599999,778831.12328200,9845,1198637.97000000,405736.86501000,0
2020-12-23,0.33910000,0.34290000,0.25230000,0.27800000,4098672.07000000,1608767999999,1244430.37656200,13951,2045919.76000000,621454.97247500,0
2020-12-24,0.27810000,0.30960000,0.26000000,0.30830000,3618100.84000000,1608854399999,1012282.77492700,11829,1815710.97000000,509428.18755500,0
2020-12-25,0.30960000,0.31420000,0.28950000,0.30090000,3744659.79000000,1608940799999,1132262.52663700,11561,2051355.82000000,620192.22468100,0
2020-12-26,0.30130000,0.30390000,0.28470000,0.29520000,2168683.71000000,1609027199999,639130.32941600,7860,963532.97000000,283469.71814700,0
2020-12-27,0.29510000,0.31670000,0.28610000,0.29740000,3923713.85000000,1609113599999,1187348.49306400,14183,2037514.52000000,618064.56368900,0
2020-12-28,0.29810000,0.32120000,0.29550000,0.31150000,3205786.61000000,1609199999999,992686.32442500,11565,1455110.44000000,451024.49140700,0
2020-12-29,0.31220000,0.31660000,0.28080000,0.29850000,4421636.11000000,1609286399999,1296651.91387700,13455,2334480.18000000,683772.12527600,0
2020-12-30,0.29830000,0.30100000,0.28380000,0.29050000,1818717.65000000,1609372799999,530533.80401400,7008,915149.12000000,266568.84545100,0
2020-12-31,0.29110000,0.29170000,0.27540000,0.29090000,2994976.84000000,1609459199999,849557.08723900,9674,1632100.67000000,462549.14990400,0
2021-01-01,0.29050000,0.30480000,0.28620000,0.29530000,5725878.01000000,1609545599999,1698780.94004700,9746,4155893.01000000,1235299.57571800,0
2021-01-02,0.29530000,0.29740000,0.28450000,0.29280000,2341750.03000000,1609631999999,681865.55391000,8396,1123225.67000000,327040.65109600,0
2021-01-03,0.29250000,0.33570000,0.29150000,0.31160000,9503256.34000000,1609718399999,2918893.14376400,29374,4670592.45000000,1437506.10747500,0
2021-01-04,0.31250000,0.33940000,0.27890000,0.30380000,8636567.66000000,1609804799999,2657724.64785700,27300,4212692.91000000,1292306.65586600,0
2021-01-05,0.30420000,0.32080000,0.28400000,0.31050000,8865390.01000000,1609891199999,2682283.21005200,21294,4537186.87000000,1372392.93832600,0
2021-01-06,0.31090000,0.35640000,0.30520000,0.35230000,9356918.12000000,1609977599999,3149425.95520100,28462,5085423.67000000,1712214.72347800,0
2021-01-07,0.35240000,0.37990000,0.32100000,0.34740000,11737512.70000000,1610063999999,4205848.76475700,37293,5852498.39000000,2098198.32971500,0
2021-01-08,0.34680000,0.42000000,0.31190000,0.37990000,17207760.57000000,1610150399999,6363488.65598400,43637,9177084.51000000,3397533.07229600,0
2021-01-09,0.37990000,0.43800000,0.35670000,0.39840000,16358182.89000000,1610236799999,6557863.59108200,49492,8067399.02000000,3240669.72331100,0
2021-01-10,0.39950000,0.48600000,0.36120000,0.40360000,23817162.49000000,1610323199999,10417392.95828900,65556,11861026.08000000,5182747.16665900,0
