openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-03-25,0.02297000,0.02480000,0.01770000,0.01915000,71062677.40000000,1585180799999,1391014.20648000,9651,30318218.30000000,599515.72927800,0
2020-03-26,0.01893000,0.01899000,0.01589000,0.01664000,34940404.10000000,1585267199999,584911.55835100,6799,9493819.80000000,158423.96301400,0
2020-03-27,0.01664000,0.01708000,0.01421000,0.01470000,25999902.50000000,1585353599999,402723.23135400,2993,9799300.30000000,151731.21999200,0
2020-03-28,0.01470000,0.01756000,0.01377000,0.01600000,60561036.80000000,1585439999999,959286.82645300,5585,25290148.60000000,401962.12920300,0
2020-03-29,0.01607000,0.01664000,0.01388000,0.01468000,33550700.10000000,1585526399999,518443.79103900,4003,14024323.50000000,216657.37659800,0
2020-03-30,0.01468000,0.01538000,0.01400000,0.01474000,21249138.40000000,1585612799999,313029.84658700,2458,10209511.50000000,150101.85766700,0
2020-03-31,0.01474000,0.01623000,0.01400000,0.01498000,24307949.10000000,1585699199999,365459.68174000,2579,6862293.00000000,101981.94805500,0
2020-04-01,0.01492000,0.01492000,0.01384000,0.01485000,10422935.60000000,1585785599999,149552.73942900,1177,3684631.80000000,53075.04122700,0
2020-04-02,0.01485000,0.01846000,0.01405000,0.01510000,114590064.20000000,1585871999999,1809063.47721100,7096,57342441.90000000,900456.96545800,0
2020-04-03,0.01510000,0.01528000,0.01410000,0.01449000,27021445.00000000,1585958399999,396225.27285900,2021,12192112.40000000,178674.54535000,0
2020-04-04,0.01448000,0.01490000,0.01401000,0.01459000,14136321.90000000,1586044799999,203953.66355400,1486,5802701.80000000,83760.86801200,0
2020-04-05,0.01458000,0.01520000,0.01418000,0.01458000,17771722.10000000,1586131199999,261590.96091900,1649,8011800.40000000,117842.02966300,0
2020-04-06,0.01455000,0.01484000,0.01376000,0.01473000,31545844.90000000,1586217599999,456070.54094500,3178,13553278.70000000,196743.81190300,0
2020-04-07,0.01466000,0.01478000,0.01375000,0.01411000,21319067.50000000,1586303999999,307027.54859300,2148,8009213.80000000,115558.73662300,0
2020-04-08,0.01411000,0.01450000,0.01380000,0.01417000,9884076.80000000,1586390399999,139177.45445400,1217,4069924.90000000,57419.82011700,0
2020-04-09,0.01408000,0.01418000,0.01352000,0.01364000,10935771.80000000,1586476799999,151300.79359000,1108,3235132.30000000,44773.64468700,0
2020-04-10,0.01364000,0.01366000,0.01187000,0.01221000,20116614.70000000,1586563199999,253607.91720300,1700,6793135.40000000,84495.48396100,0
2020-04-11,0.01221000,0.01259000,0.01185000,0.01218000,4747251.40000000,1586649599999,58177.64766000,412,2251760.10000000,27549.04423600,0
2020-04-12,0.01235000,0.01266000,0.01185000,0.01240000,5938760.40000000,1586735999999,72848.11670300,648,2241005.20000000,27519.21531700,0
2020-04-13,0.01208000,0.01217000,0.01151000,0.01179000,6655852.50000000,1586822399999,77861.06397600,531,3421318.50000000,39963.19543400,0
2020-04-14,0.01182000,0.01275000,0.01167000,0.01208000,6905629.60000000,1586908799999,84005.33450900,785,3751467.80000000,45552.29483500,0
2020-04-15,0.01209000,0.01280000,0.01161000,0.01172000,6796343.10000000,1586995199999,82484.38311300,793,3281527.30000000,39982.28889300,0
2020-04-16,0.01161000,0.01234000,0.01137000,0.01200000,6408601.00000000,1587081599999,75885.27175700,683,2805304.00000000,33364.73853300,0
2020-04-17,0.01192000,0.01204000,0.01143000,0.01161000,11314484.30000000,1587167999999,132726.05172400,2287,4420364.20000000,51848.89786200,0
2020-04-18,0.01161000,0.01247000,0.01161000,0.01222000,14604310.60000000,1587254399999,175655.94343900,3059,7084060.50000000,85218.36634100,0
2020-04-19,0.01219000,0.01273000,0.01191000,0.01202000,8560730.10000000,1587340799999,105134.69071400,1361,4536255.50000000,55662.71804700,0
2020-04-20,0.01212000,0.01239000,0.01137000,0.01154000,7398303.60000000,1587427199999,88197.40261900,1242,3024695.80000000,36128.43595800,0
2020-04-21,0.01150000,0.01172000,0.01080000,0.01118000,7380818.20000000,1587513599999,82985.93375100,1555,3443635.30000000,38701.15963300,0
2020-04-22,0.01124000,0.01182000,0.01102000,0.01160000,12000482.20000000,1587599999999,137376.49902700,2246,4540759.50000000,51912.47948100,0
