openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,2.86900000,3.33800000,2.79300000,3.33300000,16961752.53500000,1609545599999,51924506.86634600,105917,8679452.88700000,26607424.84586600,0
2021-01-02,3.33200000,3.36800000,3.00900000,3.20300000,14221470.15500000,1609631999999,45363706.32526900,91779,6991634.91600000,22310205.00209400,0
2021-01-03,3.20300000,3.58800000,2.93600000,3.44500000,16070311.87400000,1609718399999,52593129.13146900,107736,8116925.46000000,26622233.74111600,0
2021-01-04,3.44800000,4.16300000,3.17000000,3.56300000,21277122.21700000,1609804799999,76934701.08247400,157185,10992829.27800000,39866297.99392200,0
2021-01-05,3.56500000,4.02000000,3.11100000,3.85300000,19017724.67000000,1609891199999,67935855.95145100,137697,9372362.84300000,33562257.33066300,0
2021-01-06,3.85900000,4.13700000,3.53900000,3.88200000,12541705.06200000,1609977599999,48431404.36569200,104227,6437199.52900000,24868636.37737800,0
2021-01-07,3.88100000,4.38000000,3.52000000,3.95100000,14619917.76000000,1610063999999,57880932.47229500,121717,7234250.03400000,28659356.65397600,0
2021-01-08,3.94800000,4.48800000,3.24100000,4.29100000,17551082.95800000,1610150399999,70708533.09318300,156455,8880276.32400000,35853053.76547100,0
2021-01-09,4.29300000,5.03500000,4.17200000,4.66600000,15192657.10000000,1610236799999,70206613.13166500,133902,8126432.79300000,37592463.97658700,0
2021-01-10,4.66600000,4.88600000,4.01000000,4.39100000,9909998.02300000,1610323199999,44554299.62020200,87410,5026937.54500000,22632950.51159800,0
2021-01-11,4.39100000,4.41400000,3.18000000,3.88000000,16765781.66500000,1610409599999,63717914.10099500,133261,8031442.15800000,30611222.74422100,0
2021-01-12,3.87900000,4.66600000,3.63100000,4.27900000,13928805.30400000,1610495999999,58763877.29543600,114619,7024093.89300000,29679451.57347300,0
2021-01-13,4.28100000,5.20000000,3.92000000,5.11800000,13938875.22400000,1610582399999,63530514.75486400,116193,7344538.15700000,33480158.54046000,0
2021-01-14,5.11900000,5.79400000,4.97900000,5.68100000,13409915.98900000,1610668799999,72241489.77131600,123980,6782756.01900000,36584185.65222300,0
2021-01-15,5.68200000,6.88400000,5.30200000,6.39400000,19940574.30000000,1610755199999,120926316.75683500,211799,10179820.17600000,61767271.24755900,0
2021-01-16,6.39600000,7.50000000,6.09500000,7.15000000,14644108.85000000,1610841599999,99897462.94671000,167979,7266948.48800000,49709911.06703900,0
2021-01-17,7.15200000,7.79800000,6.79100000,7.04300000,11747916.47800000,1610927999999,84918975.88134000,143211,5842874.17100000,42276236.88987400,0
2021-01-18,7.05500000,7.74000000,6.82800000,7.48800000,10182226.57100000,1611014399999,74071380.66242900,120044,4928630.66200000,35858220.53009700,0
2021-01-19,7.48800000,7.72000000,6.20000000,6.52600000,9707386.13900000,1611100799999,68460903.09381700,143758,4813709.01300000,33994990.79962400,0
