openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,6.24200000,6.35100000,6.02800000,6.27200000,7213778.77200000,1625356799999,44928283.41876800,110637,3548391.58900000,22086182.66203400,0
2021-07-04,6.27300000,6.55800000,6.03800000,6.34000000,9139723.51100000,1625443199999,58004277.88184200,139509,4629488.15500000,29383280.10852800,0
2021-07-05,6.33900000,6.44300000,5.86400000,5.93800000,11315966.89900000,1625529599999,68965981.53461200,157319,5493728.16600000,33482374.98514300,0
2021-07-06,5.94000000,6.26600000,5.93700000,6.12300000,9934977.67600000,1625615999999,60756073.99762400,147518,4961796.00500000,30341296.21264800,0
2021-07-07,6.12300000,6.65500000,6.03600000,6.36900000,14545828.57100000,1625702399999,92434504.90555900,207493,7521984.70700000,47786167.71533800,0
2021-07-08,6.36800000,6.82900000,6.01000000,6.13700000,30205730.91900000,1625788799999,194029574.35564500,415115,14983920.75500000,96286313.51192400,0
2021-07-09,6.13600000,6.19900000,5.72200000,6.06900000,13974359.64800000,1625875199999,83486932.12881200,177496,6790139.09100000,40554155.82896900,0
2021-07-10,6.06900000,6.20400000,5.77500000,5.90000000,8871272.18000000,1625961599999,52891793.31271200,120190,4323091.96500000,25786697.01942100,0
2021-07-11,5.89900000,6.00000000,5.73600000,5.94000000,7609740.85800000,1626047999999,44765950.96036800,95400,3751551.46000000,22078190.55434500,0
2021-07-12,5.94000000,5.99600000,5.44000000,5.56000000,11102358.28200000,1626134399999,63186384.80887000,143048,5326207.97400000,30323600.91497300,0
2021-07-13,5.55900000,5.57900000,5.20500000,5.28400000,11995418.62400000,1626220799999,64341967.09155300,145807,6073909.48500000,32585254.45291300,0
