openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-09-09,15.83000000,19.33000000,15.10800000,16.13100000,349921.11900000,1599695999999,5668382.45492500,14007,173767.91700000,2823214.32206800,0
2020-09-10,16.18400000,17.50300000,15.93200000,16.89500000,322321.50000000,1599782399999,5405929.72562700,17843,162236.72800000,2725859.03580800,0
2020-09-11,16.92900000,18.00000000,15.43000000,17.72300000,146906.71600000,1599868799999,2465989.02309100,12936,79324.70500000,1332926.17754200,0
2020-09-12,17.59300000,20.31500000,17.07000000,18.57800000,133357.61600000,1599955199999,2448469.25712900,17644,73884.57000000,1359247.11095300,0
2020-09-13,18.68500000,19.14700000,15.79600000,17.18600000,125207.26500000,1600041599999,2167657.72788200,11531,66420.77100000,1146444.27787600,0
2020-09-14,17.14900000,17.92800000,16.29800000,17.26100000,46701.06600000,1600127999999,794106.17258500,5624,23281.68800000,396554.22092300,0
2020-09-15,17.26100000,17.95200000,15.38600000,16.00700000,153199.76800000,1600214399999,2575380.80104800,11996,73869.55500000,1244314.33179700,0
2020-09-16,16.00700000,16.85600000,14.06600000,14.17900000,54311.42000000,1600300799999,819702.51389300,4834,26053.76800000,392401.49518900,0
2020-09-17,14.21200000,14.97900000,12.93800000,12.99000000,70415.79100000,1600387199999,975538.38589200,5821,29067.13100000,403488.56177800,0
2020-09-18,12.96400000,13.23200000,11.68300000,11.76400000,144511.18100000,1600473599999,1805660.55097000,11062,70534.12300000,880557.14454900,0
2020-09-19,11.74300000,14.00000000,11.35000000,12.49600000,124828.21100000,1600559999999,1535014.71546400,9842,61582.51800000,755535.16548100,0
2020-09-20,12.49600000,16.30000000,12.16800000,13.13600000,500129.81100000,1600646399999,6934657.85700000,27354,238190.15700000,3303997.41845500,0
2020-09-21,13.15400000,13.22200000,10.00000000,11.25300000,239255.24800000,1600732799999,2734462.75347600,14913,123580.72500000,1412583.23667200,0
2020-09-22,11.20100000,11.80300000,10.42000000,10.81200000,63326.42900000,1600819199999,689586.86760800,3818,30236.49300000,329515.28739800,0
2020-09-23,10.80800000,10.80800000,8.85900000,8.88800000,78865.41600000,1600905599999,772640.81171900,4285,44239.64900000,434143.25570500,0
2020-09-24,8.88800000,10.39600000,8.78700000,10.26900000,51378.25800000,1600991999999,493704.03653700,3447,26219.06100000,253286.83790500,0
2020-09-25,10.28500000,10.67300000,10.05100000,10.38500000,44251.96100000,1601078399999,459574.44326200,3474,24579.43000000,255345.71393300,0
