openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,18.21600000,19.55900000,17.78900000,19.47400000,1969946.10000000,1625356799999,36990198.83044900,103593,932145.94700000,17517475.99728400,0
2021-07-04,19.47400000,21.49800000,18.93100000,20.75700000,3396421.13800000,1625443199999,69999278.66846800,211568,1628778.71400000,33532029.14010400,0
2021-07-05,20.75100000,20.90600000,19.06800000,20.06300000,3729063.07200000,1625529599999,74644419.34821400,156864,1908477.39300000,38194447.82389400,0
2021-07-06,20.06200000,23.23500000,20.03000000,22.37600000,5911864.44100000,1625615999999,129796129.79317900,343795,2904729.30500000,63793005.13912000,0
2021-07-07,22.37300000,23.45600000,21.65000000,22.25300000,3088190.07300000,1625702399999,70041641.34592300,173892,1589595.08000000,36051799.29474400,0
2021-07-08,22.25400000,22.31100000,19.90800000,20.35300000,3124268.55400000,1625788799999,64911017.12746200,150944,1571203.67100000,32667994.07616300,0
2021-07-09,20.34200000,21.68600000,19.78000000,20.98600000,2534220.36600000,1625875199999,52670557.83314400,110744,1314904.26400000,27328624.10489400,0
2021-07-10,20.97800000,21.51500000,19.95000000,20.24400000,1405443.51900000,1625961599999,28856929.42597200,68578,678238.19500000,13922670.61351900,0
2021-07-11,20.24500000,20.94700000,19.98000000,20.70000000,1315491.27200000,1626047999999,26892854.60260700,61637,684452.22000000,13988463.08443500,0
2021-07-12,20.70000000,21.45000000,19.20500000,19.52800000,1844838.18700000,1626134399999,37641736.68140500,101780,932542.94100000,19030833.81313300,0
2021-07-13,19.53100000,19.73800000,18.17200000,18.47000000,2357239.52800000,1626220799999,44763046.58109900,114072,1174468.76100000,22277724.04000100,0
