openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,0.17190000,0.18500000,0.17140000,0.17580000,526941.39000000,1577923199999,92795.74267500,845,317131.39000000,55939.99404500,0
2020-01-02,0.17590000,0.18170000,0.17050000,0.17320000,643665.51000000,1578009599999,112008.98140800,2022,297487.85000000,51923.97582200,0
2020-01-03,0.17330000,0.18990000,0.17090000,0.17950000,922487.04000000,1578095999999,166720.37400100,2597,575767.79000000,104237.12357100,0
2020-01-04,0.17950000,0.18250000,0.17300000,0.17730000,672372.33000000,1578182399999,118674.06106200,1986,259785.15000000,45996.54756300,0
2020-01-05,0.17730000,0.18120000,0.17510000,0.17590000,480780.47000000,1578268799999,85374.10820900,2049,243942.36000000,43420.08966900,0
2020-01-06,0.17580000,0.18250000,0.17500000,0.18020000,689145.41000000,1578355199999,123458.82668300,2226,390398.66000000,70004.54246900,0
2020-01-07,0.18030000,0.18390000,0.16780000,0.17010000,1698680.21000000,1578441599999,295560.05206500,3517,518121.96000000,90411.55914500,0
2020-01-08,0.17010000,0.17570000,0.16810000,0.17420000,973149.15000000,1578527999999,166448.06069700,2866,452403.63000000,77609.57534800,0
2020-01-09,0.17290000,0.17420000,0.16610000,0.16780000,611939.49000000,1578614399999,104180.67192600,2334,331024.10000000,56493.95485800,0
2020-01-10,0.16780000,0.17200000,0.16660000,0.17090000,667289.71000000,1578700799999,112501.68793900,3146,347655.86000000,58724.51321600,0
2020-01-11,0.17100000,0.17150000,0.16580000,0.16740000,906012.21000000,1578787199999,152815.00783100,3370,421561.56000000,71267.24196900,0
2020-01-12,0.16740000,0.17300000,0.16690000,0.16910000,824673.92000000,1578873599999,140073.39424700,3240,440732.38000000,75049.59766100,0
2020-01-13,0.16920000,0.17200000,0.16600000,0.17030000,745618.49000000,1578959999999,125888.72557000,3200,397135.48000000,67263.03657600,0
2020-01-14,0.17030000,0.17810000,0.16750000,0.17680000,1630174.49000000,1579046399999,282937.60543300,4443,836224.11000000,145469.21310900,0
2020-01-15,0.17680000,0.18490000,0.17230000,0.18440000,1903413.71000000,1579132799999,341960.88040700,5002,904382.62000000,162702.31535500,0
2020-01-16,0.18440000,0.19150000,0.17640000,0.18600000,1840155.97000000,1579219199999,339259.66370500,4774,990574.64000000,183300.60839400,0
