openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01,44.67000000,45.89000000,44.54000000,45.82000000,18743.63854000,1577923199999,851007.02223040,5062,9574.52502000,434672.87992680,0
2020-01-02,45.82000000,46.14000000,44.31000000,45.50000000,25354.44426000,1578009599999,1148577.39796840,7004,11648.99260000,528519.06409940,0
2020-01-03,45.54000000,51.77000000,45.45000000,50.93000000,156643.20919000,1578095999999,7730197.40801220,33174,84315.37188000,4165738.50631640,0
2020-01-04,50.96000000,51.37000000,49.74000000,50.37000000,35053.35816000,1578182399999,1768279.56533010,8543,17484.68818000,882387.67826260,0
2020-01-05,50.35000000,54.26000000,50.34000000,53.69000000,54781.36550000,1578268799999,2882100.14558200,12052,28025.70958000,1470903.05971580,0
2020-01-06,53.68000000,59.27000000,53.67000000,58.91000000,68723.76894000,1578355199999,3847471.47643700,15722,38242.84412000,2143234.57357520,0
2020-01-07,58.89000000,60.17000000,55.40000000,58.36000000,76443.13328000,1578441599999,4422669.88764950,18906,40414.64157000,2338082.36750330,0
2020-01-08,58.36000000,60.33000000,55.23000000,59.44000000,67288.71434000,1578527999999,3899515.14727220,19932,32526.02296000,1887589.16619070,0
2020-01-09,59.46000000,59.53000000,56.76000000,58.68000000,62202.80563000,1578614399999,3623187.65411790,19070,32647.23524000,1901809.23282010,0
2020-01-10,58.68000000,59.65000000,56.77000000,58.42000000,84463.61102000,1578700799999,4930046.48035040,24160,40375.08019000,2358086.14574590,0
2020-01-11,58.43000000,64.25000000,57.90000000,58.25000000,144805.88890000,1578787199999,8788178.44980020,36142,74033.50794000,4485851.14301520,0
2020-01-12,58.17000000,59.99000000,57.26000000,59.19000000,43850.34602000,1578873599999,2577097.31209700,12244,22939.32264000,1347692.40701240,0
2020-01-13,59.21000000,59.22000000,56.66000000,57.72000000,53718.20923000,1578959999999,3095884.94683200,12428,26985.10275000,1555686.56316490,0
2020-01-14,57.79000000,63.05000000,57.69000000,62.55000000,124253.45431000,1579046399999,7547581.33727130,26446,63483.09102000,3852673.91869750,0
2020-01-15,62.47000000,69.36000000,61.81000000,68.47000000,176475.93404000,1579132799999,11635349.65480000,41667,88375.85772000,5828414.65372130,0
2020-01-16,68.48000000,69.00000000,62.58000000,65.63000000,68525.82618000,1579219199999,4456663.57133490,18660,34099.49979000,2219295.41520920,0
2020-01-17,65.65000000,72.00000000,64.05000000,68.95000000,90653.31089000,1579305599999,6181069.28201450,24627,44793.86425000,3051873.83417100,0
2020-01-18,68.92000000,70.94000000,66.15000000,67.00000000,56225.67664000,1579391999999,3871721.76930780,14972,25525.42020000,1759983.57489050,0
2020-01-19,67.00000000,69.47000000,62.74000000,65.17000000,48682.74962000,1579478399999,3225748.07707450,12819,21960.68828000,1454926.80635390,0
2020-01-20,65.23000000,66.53000000,62.17000000,64.96000000,32916.73105000,1579564799999,2127222.08109780,9304,15146.29359000,981311.43998850,0
2020-01-21,64.98000000,66.88000000,64.07000000,65.87000000,25334.44886000,1579651199999,1663664.78167570,8029,10909.67703000,716597.06117820,0
2020-01-22,65.97000000,66.55000000,64.35000000,65.00000000,25926.81677000,1579737599999,1694325.95693360,7978,11473.86025000,750139.31389050,0
2020-01-23,65.09000000,65.09000000,61.15000000,62.55000000,24642.65790000,1579823999999,1544354.17337150,8116,11341.72652000,709604.74863200,0
2020-01-24,62.57000000,62.99000000,58.00000000,61.67000000,56646.65159000,1579910399999,3439268.24251570,14626,27322.20534000,1660503.04773910,0
2020-01-25,61.65000000,62.57000000,59.87000000,61.35000000,20249.99616000,1579996799999,1238409.11144270,6469,9691.64596000,592631.81833140,0
2020-01-26,61.25000000,64.82000000,60.79000000,63.97000000,27159.87227000,1580083199999,1717391.23644630,9892,13829.43666000,874780.49245370,0
2020-01-27,64.02000000,66.32000000,63.41000000,65.44000000,38301.33204000,1580169599999,2480929.27885140,11163,20073.13656000,1301666.14577150,0
2020-01-28,65.48000000,67.90000000,65.13000000,67.71000000,42159.48327000,1580255999999,2791365.42972410,12422,19033.30222000,1261372.57423200,0
2020-01-29,67.87000000,70.84000000,67.34000000,70.02000000,55474.21068000,1580342399999,3820870.11525580,20928,25574.96183000,1764299.82785180,0
2020-01-30,69.93000000,75.02000000,68.44000000,74.83000000,76932.17855000,1580428799999,5432694.84473670,19263,37510.80802000,2653220.69918030,0
2020-01-31,74.90000000,76.02000000,69.37000000,72.16000000,95888.31180000,1580515199999,6897611.88021920,19247,46933.18305000,3373329.80581510,0
2020-02-01,72.16000000,73.90000000,71.20000000,73.22000000,45816.64286000,1580601599999,3334697.86643700,11906,20986.19809000,1527656.80433840,0
2020-02-02,73.25000000,77.86000000,70.99000000,74.89000000,89080.24342000,1580687999999,6557316.62451460,18114,43311.41969000,3192106.69900460,0
2020-02-03,74.86000000,78.23000000,74.28000000,76.74000000,105463.12310000,1580774399999,8099261.25914440,44927,54319.07162000,4172214.00236430,0
2020-02-04,76.77000000,77.39000000,73.70000000,75.17000000,51998.90241000,1580860799999,3911248.61879080,28461,25556.40522000,1923026.32825390,0
2020-02-05,75.22000000,79.19000000,74.58000000,77.84000000,60236.11875000,1580947199999,4637039.15926770,28044,30212.11374000,2330602.00642420,0
2020-02-06,77.83000000,80.11000000,76.38000000,78.30000000,52575.27104000,1581033599999,4121957.42031900,18295,27095.96246000,2128144.84399520,0
2020-02-07,78.26000000,80.96000000,78.21000000,79.48000000,57073.62710000,1581119999999,4553568.13186220,21749,29041.59141000,2318535.61603830,0
2020-02-08,79.47000000,81.59000000,76.85000000,80.64000000,48845.04025000,1581206399999,3890439.74385260,19382,24616.45858000,1961237.22779690,0
2020-02-09,80.64000000,87.82000000,80.44000000,87.59000000,77002.14410000,1581292799999,6494516.81046100,46074,38759.54890000,3271359.73127010,0
2020-02-10,87.63000000,87.90000000,83.22000000,84.53000000,61795.19253000,1581379199999,5253033.14953830,40035,33435.34320000,2841528.46098240,0
2020-02-11,84.53000000,89.52000000,82.65000000,89.36000000,67868.15486000,1581465599999,5787863.57587870,23627,33206.84523000,2837840.46693200,0
2020-02-12,89.45000000,94.67000000,89.10000000,94.29000000,103240.12183000,1581551999999,9473066.95829050,39104,50456.18859000,4630995.69644910,0
2020-02-13,94.37000000,95.20000000,89.44000000,92.25000000,87832.38479000,1581638399999,8122256.18500650,45433,47633.20825000,4408404.44911680,0
2020-02-14,92.25000000,95.20000000,90.75000000,95.16000000,49133.26383000,1581724799999,4588243.31755000,19031,26937.66579000,2515160.88784520,0
