openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,2.95210000,3.02850000,2.87360000,3.02850000,2010905.16000000,1625356799999,5967710.70123900,19835,1039110.15000000,3086675.44517800,0
2021-07-04,3.02730000,3.11080000,2.91010000,3.04080000,2404361.88000000,1625443199999,7309640.81137200,28260,1099695.03000000,3348018.71888700,0
2021-07-05,3.03920000,3.03920000,2.79130000,2.82900000,4447300.67000000,1625529599999,12857370.16201700,33023,2502100.25000000,7219722.12468600,0
2021-07-06,2.82910000,2.98380000,2.80180000,2.86470000,3371905.85000000,1625615999999,9760451.46167700,32645,1695847.25000000,4909694.13100100,0
2021-07-07,2.86190000,2.96710000,2.81410000,2.87800000,3891847.40000000,1625702399999,11332021.77718400,30400,2082072.71000000,6061580.03499800,0
2021-07-08,2.87500000,2.89990000,2.61720000,2.69160000,4046666.03000000,1625788799999,11011272.26418600,33096,1883028.23000000,5129787.94076400,0
2021-07-09,2.69350000,2.80000000,2.57790000,2.75030000,2763472.09000000,1625875199999,7464449.71186000,22867,1324786.29000000,3572660.24264500,0
2021-07-10,2.75030000,2.84010000,2.69390000,2.78320000,2481562.75000000,1625961599999,6844283.38235600,20273,1245025.21000000,3434304.11409200,0
2021-07-11,2.78600000,2.89130000,2.73200000,2.84410000,3049014.09000000,1626047999999,8586415.64403300,25805,1499906.88000000,4225924.82005300,0
2021-07-12,2.84800000,2.95150000,2.75930000,2.80660000,3743404.79000000,1626134399999,10725306.73237900,30953,1847719.77000000,5294759.86797300,0
2021-07-13,2.80690000,2.91870000,2.76490000,2.80940000,4705804.92000000,1626220799999,13408427.11246700,38007,2420420.62000000,6897678.09450300,0
