openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,0.02311000,0.02433000,0.02276000,0.02362000,185799287.00000000,1625356799999,4374518.61169000,20196,98313290.00000000,2319173.09554000,0
2021-07-04,0.02369000,0.02432000,0.02282000,0.02358000,140072684.00000000,1625443199999,3323481.21536000,13898,65138483.00000000,1547744.72585000,0
2021-07-05,0.02347000,0.02349000,0.02178000,0.02220000,126141649.00000000,1625529599999,2855797.23975000,13675,59005608.00000000,1337371.59811000,0
2021-07-06,0.02220000,0.02342000,0.02200000,0.02285000,152995232.00000000,1625615999999,3484115.94982000,16157,76132374.00000000,1734872.42844000,0
2021-07-07,0.02284000,0.02337000,0.02200000,0.02226000,144687042.00000000,1625702399999,3317017.71895000,13760,65985938.00000000,1513642.75174000,0
2021-07-08,0.02225000,0.02231000,0.02053000,0.02080000,114403570.00000000,1625788799999,2420860.04862000,12717,55214504.00000000,1167175.18665000,0
2021-07-09,0.02079000,0.02145000,0.01997000,0.02099000,80049972.00000000,1625875199999,1660640.15550000,8390,40622882.00000000,844182.94377000,0
2021-07-10,0.02097000,0.02145000,0.02025000,0.02056000,50108026.00000000,1625961599999,1042569.06245000,5544,25046681.00000000,522031.47054000,0
2021-07-11,0.02058000,0.02139000,0.02038000,0.02111000,64821676.00000000,1626047999999,1360549.75813000,6140,32356135.00000000,680104.54471000,0
2021-07-12,0.02107000,0.02136000,0.01972000,0.01997000,84015233.00000000,1626134399999,1722765.26174000,7909,39609082.00000000,813849.63879000,0
2021-07-13,0.01994000,0.02084000,0.01946000,0.01975000,93760424.00000000,1626220799999,1875539.39977000,8211,46384612.00000000,929834.81237000,0
