openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-04-07,3.55400000,6.00000000,3.50000000,3.54800000,28094.01800000,1586303999999,103816.26471400,1369,6699.29600000,25359.17405200,0
2020-04-08,3.54800000,3.70200000,3.49800000,3.67600000,47693.42400000,1586390399999,171661.99000600,3671,26844.98100000,96397.80819700,0
2020-04-09,3.67300000,4.01500000,3.64800000,3.96700000,63658.85800000,1586476799999,243534.42777000,4511,32230.66100000,122922.35349900,0
2020-04-10,3.96500000,3.98100000,3.32600000,3.45600000,57621.23600000,1586563199999,204578.08810000,4129,27165.55600000,95301.32468400,0
2020-04-11,3.45700000,3.48200000,3.34100000,3.40100000,19377.50500000,1586649599999,66282.88018700,2075,10505.64300000,35896.88735200,0
2020-04-12,3.40300000,3.52600000,3.33100000,3.40500000,30656.18300000,1586735999999,105089.30227000,2643,12116.03600000,41661.46445000,0
2020-04-13,3.40500000,3.41600000,3.21900000,3.30600000,29529.73500000,1586822399999,97074.75436400,2905,15944.21100000,52382.62805100,0
2020-04-14,3.30600000,3.43000000,3.27300000,3.36800000,33526.00000000,1586908799999,112531.39528600,2944,14695.70900000,49218.61441200,0
2020-04-15,3.36300000,3.40800000,3.25000000,3.28400000,30999.07600000,1586995199999,103409.68588900,2744,16383.16200000,54610.66019200,0
2020-04-16,3.28200000,3.58400000,3.13700000,3.56500000,52145.59100000,1587081599999,178023.93884100,3955,24977.84200000,85182.84708000,0
2020-04-17,3.56600000,3.57300000,3.42900000,3.51800000,30113.31500000,1587167999999,105660.58170900,2651,14985.09100000,52592.71500300,0
2020-04-18,3.51400000,3.76700000,3.51000000,3.71800000,38453.44800000,1587254399999,139826.05486100,2784,19541.66300000,71036.91936100,0
2020-04-19,3.72100000,4.87900000,3.65100000,4.09500000,216701.15200000,1587340799999,915598.02870000,7945,90842.19100000,380742.88083000,0
2020-04-20,4.09600000,4.50000000,3.85800000,3.89800000,191606.75100000,1587427199999,793101.43492400,7870,92608.87700000,383487.70838800,0
2020-04-21,3.89400000,4.39900000,3.66000000,4.05900000,110067.39200000,1587513599999,433098.51884200,6489,49946.30100000,195811.13543700,0
2020-04-22,4.05900000,4.10900000,3.97400000,4.00800000,55840.71400000,1587599999999,225406.64921100,3566,22908.63500000,92574.04359400,0
2020-04-23,4.02200000,4.23400000,3.87500000,4.05100000,87782.24700000,1587686399999,355283.51538600,5250,46475.33400000,187965.78316900,0
2020-04-24,4.05100000,4.12500000,3.97100000,4.01500000,55158.69600000,1587772799999,223146.53568800,3641,27499.54300000,111408.20563000,0
2020-04-25,4.01500000,4.16900000,3.98300000,4.12800000,51567.99100000,1587859199999,209706.44915300,3322,22673.50800000,92188.38643500,0
2020-04-26,4.12700000,4.14500000,3.99100000,4.04900000,50782.60900000,1587945599999,205903.92283200,3088,28232.93200000,114436.37098800,0
2020-04-27,4.04900000,4.07000000,3.90100000,3.96100000,36223.66100000,1588031999999,144470.73499200,2823,16100.41400000,64187.33351400,0
2020-04-28,3.96300000,3.96500000,3.87600000,3.92300000,36995.92300000,1588118399999,144875.42742000,2518,19228.82400000,75260.01381500,0
2020-04-29,3.92400000,4.20000000,3.92000000,4.10400000,97931.91400000,1588204799999,397178.98292300,5901,53612.91300000,217302.16736500,0
2020-04-30,4.10700000,4.30000000,3.90000000,4.00300000,88055.52500000,1588291199999,360493.02555500,6420,44629.40400000,183381.41291500,0
2020-05-01,4.00300000,4.50000000,4.00300000,4.32300000,108548.07000000,1588377599999,459629.28707200,6437,56506.89300000,238626.70644600,0
2020-05-02,4.32100000,4.70000000,4.25000000,4.32500000,131591.82900000,1588463999999,577122.79481900,7239,64282.80200000,282339.89422300,0
2020-05-03,4.32500000,4.36500000,4.10200000,4.15400000,64138.16200000,1588550399999,272190.06711600,3996,29245.07100000,123778.78452200,0
2020-05-04,4.15400000,4.17800000,4.02000000,4.14100000,36428.41100000,1588636799999,149520.12839300,3449,17823.53900000,73084.59679400,0
2020-05-05,4.14300000,4.24100000,4.04700000,4.11500000,28995.81800000,1588723199999,119614.46385300,2565,13195.15000000,54457.09167700,0
2020-05-06,4.11400000,4.13700000,3.99900000,4.01300000,32753.42600000,1588809599999,134031.75895200,2936,13416.82300000,54990.52821200,0
2020-05-07,4.01200000,4.21000000,3.94100000,4.16700000,49947.84300000,1588895999999,201009.38022600,4139,27633.01400000,111238.27114100,0
2020-05-08,4.16800000,4.20200000,3.96000000,4.14000000,57389.00200000,1588982399999,233363.67581800,3539,24772.34300000,100638.66024900,0
2020-05-09,4.14200000,4.35900000,4.08600000,4.19700000,61486.53000000,1589068799999,259332.33346400,4522,30771.71800000,129533.17477600,0
2020-05-10,4.20200000,4.21300000,3.61300000,3.78600000,74623.71200000,1589155199999,286760.84919600,5353,34165.20500000,130847.56360400,0
2020-05-11,3.78200000,4.08800000,3.65200000,3.85600000,112425.59400000,1589241599999,429765.80275300,5957,57495.01800000,218810.64272000,0
2020-05-12,3.85600000,4.03900000,3.83100000,4.01300000,59525.15600000,1589327999999,236413.36495100,3627,30812.44600000,122245.61259100,0
2020-05-13,4.00900000,4.15700000,4.00800000,4.09000000,45502.32200000,1589414399999,186159.50135300,3136,22717.62300000,92880.57121600,0
2020-05-14,4.09600000,4.11000000,3.99700000,4.05100000,43849.47700000,1589500799999,177262.56832200,3982,21784.44200000,88066.22375700,0
2020-05-15,4.05000000,4.06400000,3.89900000,3.97300000,39729.22000000,1589587199999,158813.40422000,4082,18240.51600000,73007.90190800,0
2020-05-16,3.97400000,4.04400000,3.94400000,3.99300000,28224.44500000,1589673599999,112674.69561600,3134,13120.90900000,52380.49894400,0
2020-05-17,3.99000000,4.24500000,3.98100000,4.14300000,37979.31200000,1589759999999,158045.10921900,3217,19453.53800000,80819.70169100,0
2020-05-18,4.14700000,4.55000000,4.14700000,4.28300000,71493.04400000,1589846399999,310697.90279900,4470,34258.03900000,148680.94922700,0
2020-05-19,4.27700000,4.43300000,4.17800000,4.41400000,48161.19900000,1589932799999,206246.49280700,3838,26725.69200000,114367.66696200,0
2020-05-20,4.42200000,4.48200000,4.19300000,4.34900000,45388.99600000,1590019199999,197800.20653300,3318,23656.95300000,102987.30019000,0
2020-05-21,4.34800000,4.41300000,4.00600000,4.09900000,41065.46200000,1590105599999,173187.75758500,3678,19765.69200000,83155.46380500,0
2020-05-22,4.09400000,4.51900000,4.08200000,4.51600000,52782.01900000,1590191999999,225446.53235500,3951,26954.89400000,115645.12649300,0
2020-05-23,4.50500000,4.68300000,4.41200000,4.51700000,46897.60600000,1590278399999,212864.60254500,3589,22338.51600000,101431.56016200,0
2020-05-24,4.51500000,4.59300000,4.05000000,4.20400000,55767.27700000,1590364799999,247296.47179600,3756,25945.55600000,115684.87374700,0
2020-05-25,4.19900000,5.01800000,4.15900000,4.85500000,98581.43600000,1590451199999,448145.23091100,5509,46219.47700000,208259.05639200,0
2020-05-26,4.84600000,4.85800000,4.40500000,4.59900000,63547.90600000,1590537599999,293432.40391400,3858,25848.01300000,119525.81571200,0
2020-05-27,4.59600000,4.66400000,4.44800000,4.52200000,48818.61200000,1590623999999,221629.42850600,3196,25257.08400000,114735.39060100,0
2020-05-28,4.51900000,4.62800000,4.47700000,4.55400000,50840.83300000,1590710399999,230388.35791800,3198,25393.45400000,115145.38437400,0
2020-05-29,4.55400000,4.70800000,4.52100000,4.67000000,49877.09600000,1590796799999,231150.90862300,3684,25173.03800000,116601.66858100,0
2020-05-30,4.67100000,4.98000000,4.63200000,4.93500000,65889.29100000,1590883199999,317150.29896700,4451,33904.84200000,163078.71343900,0
2020-05-31,4.94000000,5.17000000,4.78500000,4.79300000,54358.76500000,1590969599999,269483.98038700,3821,27190.52400000,134829.18206500,0
2020-06-01,4.78700000,5.04800000,4.74800000,4.97500000,39121.36100000,1591055999999,190322.95093900,3283,21527.14100000,104717.64374400,0
