openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-07-03,32051.79000000,34800.00000000,31518.01000000,32670.53000000,392.36064600,1625356799999,12902162.68981361,34720,185.25700300,6102625.24584899,0
2021-07-04,32670.53000000,34500.00000000,31602.76000000,33394.00000000,451.19873900,1625443199999,15043800.58908558,38762,205.53278700,6862117.66648996,0
2021-07-05,33394.00000000,33447.15000000,31000.00000000,32417.36000000,455.55744400,1625529599999,14693182.84402170,38863,229.23268400,7394529.05200644,0
2021-07-06,32421.59000000,37365.00000000,32405.80000000,35904.47000000,1254.09532300,1625615999999,44506415.59064592,92875,643.01734400,22809221.57009004,0
2021-07-07,35911.03000000,37783.66000000,35176.08000000,35399.46000000,640.64506500,1625702399999,23471532.85969859,53229,321.08414300,11772350.96741654,0
2021-07-08,35439.11000000,35501.25000000,32322.00000000,33070.65000000,835.70545700,1625788799999,28142220.70189973,54168,466.53515500,15707323.59405374,0
2021-07-09,33074.86000000,34026.70000000,31635.58000000,33473.06000000,347.64687100,1625875199999,11445542.91175822,28180,179.75897700,5922313.60329050,0
2021-07-10,33508.68000000,34084.22000000,32452.03000000,33154.70000000,237.17950000,1625961599999,7854165.40058475,19062,114.72368800,3801149.96834635,0
2021-07-11,33183.14000000,34319.56000000,32766.94000000,33826.33000000,194.23880700,1626047999999,6525807.45087075,16877,102.37842600,3440632.27371239,0
2021-07-12,33827.64000000,34388.00000000,32234.00000000,32843.00000000,224.96029000,1626134399999,7480239.91373148,15974,106.70706000,3550398.38745015,0
2021-07-13,32814.36000000,33868.00000000,31915.13000000,32267.26000000,364.95649300,1626220799999,11975903.09917645,26660,194.24148300,6380300.56779445,0
