openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01 00:00:00,0.03297000,0.03325000,0.03293000,0.03315000,2696571.40000000,1577811599999,89255.27825600,396,1930882.60000000,63887.81048900,0
2020-01-01 01:00:00,0.03313000,0.03315000,0.03292000,0.03295000,813911.70000000,1577815199999,26867.40777000,233,199206.40000000,6581.90677800,0
2020-01-01 02:00:00,0.03294000,0.03306000,0.03287000,0.03299000,975815.90000000,1577818799999,32152.24837500,254,631819.90000000,20824.93812900,0
2020-01-01 03:00:00,0.03300000,0.03304000,0.03294000,0.03295000,1379548.00000000,1577822399999,45505.80686100,219,407616.10000000,13459.34664700,0
2020-01-01 04:00:00,0.03295000,0.03300000,0.03288000,0.03295000,979006.30000000,1577825999999,32242.73658300,184,373518.60000000,12307.53895300,0
2020-01-01 05:00:00,0.03291000,0.03298000,0.03287000,0.03290000,567882.70000000,1577829599999,18684.99388900,142,277184.80000000,9122.15812600,0
2020-01-01 06:00:00,0.03287000,0.03296000,0.03281000,0.03284000,1780112.30000000,1577833199999,58520.62411300,371,1039947.10000000,34200.40876000,0
2020-01-01 07:00:00,0.03285000,0.03288000,0.03279000,0.03285000,3569858.30000000,1577836799999,117314.45382700,249,2591179.20000000,85185.22328900,0
2020-01-01 08:00:00,0.03285000,0.03285000,0.03270000,0.03278000,1166000.90000000,1577840399999,38189.17621100,301,360348.80000000,11807.25776500,0
2020-01-01 09:00:00,0.03277000,0.03303000,0.03276000,0.03299000,1560751.80000000,1577843999999,51357.01095400,265,1315620.00000000,43279.35604900,0
2020-01-01 10:00:00,0.03299000,0.03320000,0.03298000,0.03317000,1091975.10000000,1577847599999,36164.26391400,268,745541.50000000,24688.02783100,0
2020-01-01 11:00:00,0.03319000,0.03319000,0.03297000,0.03303000,739364.90000000,1577851199999,24449.95381500,150,110699.40000000,3660.03536200,0
2020-01-01 12:00:00,0.03301000,0.03305000,0.03290000,0.03299000,1350480.00000000,1577854799999,44502.66984300,354,712593.60000000,23484.10607900,0
2020-01-01 13:00:00,0.03300000,0.03311000,0.03300000,0.03310000,404277.70000000,1577858399999,13370.08255300,159,343294.40000000,11355.39440200,0
2020-01-01 14:00:00,0.03309000,0.03327000,0.03309000,0.03318000,1131820.40000000,1577861999999,37590.63984300,243,572054.30000000,19011.00632500,0
2020-01-01 15:00:00,0.03319000,0.03323000,0.03309000,0.03315000,438498.70000000,1577865599999,14537.59992500,131,109949.40000000,3646.84296500,0
2020-01-01 16:00:00,0.03312000,0.03315000,0.03304000,0.03313000,501882.70000000,1577869199999,16611.16232000,130,348368.30000000,11531.55727300,0
2020-01-01 17:00:00,0.03318000,0.03319000,0.03312000,0.03314000,467138.50000000,1577872799999,15482.08859000,95,45250.70000000,1500.50679900,0
2020-01-01 18:00:00,0.03313000,0.03322000,0.03311000,0.03319000,494628.20000000,1577876399999,16414.47208800,116,222145.80000000,7373.99347900,0
2020-01-01 19:00:00,0.03317000,0.03335000,0.03308000,0.03312000,1277368.10000000,1577879999999,42450.68803200,264,601693.10000000,20012.94750100,0
2020-01-01 20:00:00,0.03312000,0.03349000,0.03310000,0.03343000,1715045.70000000,1577883599999,57234.08248900,251,1119878.40000000,37403.91233100,0
2020-01-01 21:00:00,0.03345000,0.03349000,0.03338000,0.03338000,1393181.90000000,1577887199999,46591.10570800,251,412211.70000000,13790.72565100,0
2020-01-01 22:00:00,0.03338000,0.03371000,0.03334000,0.03369000,1842349.80000000,1577890799999,61750.36202600,340,1157744.90000000,38826.54494500,0
2020-01-01 23:00:00,0.03370000,0.03380000,0.03348000,0.03358000,4090597.40000000,1577894399999,137565.15075700,562,1661645.90000000,55874.92821900,0
2020-01-02 00:00:00,0.03360000,0.03374000,0.03357000,0.03374000,1394871.90000000,1577897999999,46948.04973800,354,783760.40000000,26382.84352200,0
2020-01-02 01:00:00,0.03375000,0.03378000,0.03364000,0.03366000,800880.40000000,1577901599999,26991.33070600,208,229885.60000000,7751.58741000,0
2020-01-02 02:00:00,0.03368000,0.03374000,0.03360000,0.03371000,978823.00000000,1577905199999,32947.58976100,226,391341.20000000,13179.70531200,0
2020-01-02 03:00:00,0.03370000,0.03371000,0.03360000,0.03362000,465388.10000000,1577908799999,15668.20300100,176,347131.80000000,11689.09744100,0
2020-01-02 04:00:00,0.03362000,0.03376000,0.03354000,0.03354000,1053984.10000000,1577912399999,35468.69243700,268,490974.40000000,16532.71762500,0
2020-01-02 05:00:00,0.03354000,0.03369000,0.03350000,0.03367000,1554373.90000000,1577915999999,52213.73947700,309,904821.30000000,30409.80451800,0
2020-01-02 06:00:00,0.03366000,0.03366000,0.03337000,0.03350000,2980843.30000000,1577919599999,99861.65051700,393,1437340.50000000,48176.60796300,0
2020-01-02 07:00:00,0.03346000,0.03351000,0.03335000,0.03348000,932882.00000000,1577923199999,31184.60549100,302,432715.30000000,14469.60785100,0
2020-01-02 08:00:00,0.03345000,0.03348000,0.03340000,0.03343000,1020309.20000000,1577926799999,34112.20463000,195,258262.20000000,8640.41549000,0
2020-01-02 09:00:00,0.03342000,0.03346000,0.03340000,0.03340000,150953.90000000,1577930399999,5044.96737900,80,97500.70000000,3259.19280100,0
2020-01-02 10:00:00,0.03340000,0.03340000,0.03320000,0.03327000,1231095.50000000,1577933999999,40995.35865500,367,468601.10000000,15608.44448700,0
2020-01-02 11:00:00,0.03327000,0.03328000,0.03304000,0.03305000,1481754.80000000,1577937599999,49139.70593400,331,430913.00000000,14308.83626600,0
2020-01-02 12:00:00,0.03303000,0.03316000,0.03297000,0.03306000,1670840.80000000,1577941199999,55257.99662900,382,987016.30000000,32640.59765100,0
2020-01-02 13:00:00,0.03304000,0.03315000,0.03301000,0.03305000,1025325.80000000,1577944799999,33890.15401200,154,512371.40000000,16935.38100000,0
2020-01-02 14:00:00,0.03305000,0.03312000,0.03301000,0.03305000,419709.90000000,1577948399999,13874.36597800,161,120172.30000000,3975.39521200,0
2020-01-02 15:00:00,0.03306000,0.03308000,0.03299000,0.03302000,1873522.00000000,1577951999999,61873.67956300,210,655544.90000000,21652.99337700,0
2020-01-02 16:00:00,0.03302000,0.03323000,0.03301000,0.03321000,906116.00000000,1577955599999,30026.96282800,215,646910.20000000,21433.79282500,0
2020-01-02 17:00:00,0.03321000,0.03335000,0.03318000,0.03330000,797850.60000000,1577959199999,26516.61831200,244,555207.10000000,18458.56492000,0
2020-01-02 18:00:00,0.03330000,0.03332000,0.03319000,0.03321000,881707.90000000,1577962799999,29311.22104200,221,399381.00000000,13279.48640000,0
2020-01-02 19:00:00,0.03322000,0.03331000,0.03318000,0.03322000,899993.10000000,1577966399999,29918.57417800,212,627074.00000000,20847.83105200,0
2020-01-02 20:00:00,0.03324000,0.03343000,0.03324000,0.03336000,1314253.70000000,1577969999999,43830.25516000,240,762716.90000000,25436.57550100,0
2020-01-02 21:00:00,0.03338000,0.03342000,0.03315000,0.03327000,1402215.00000000,1577973599999,46693.53892000,210,392240.60000000,13054.72038300,0
2020-01-02 22:00:00,0.03327000,0.03335000,0.03316000,0.03328000,748701.90000000,1577977199999,24901.01480200,204,276170.80000000,9190.15852400,0
2020-01-02 23:00:00,0.03329000,0.03329000,0.03315000,0.03317000,381163.90000000,1577980799999,12654.25050500,146,160123.40000000,5318.12773900,0
2020-01-03 00:00:00,0.03317000,0.03326000,0.03276000,0.03280000,4751589.60000000,1577984399999,156751.56560300,670,2141011.00000000,70697.11513700,0
2020-01-03 01:00:00,0.03280000,0.03282000,0.03218000,0.03244000,10688481.40000000,1577987999999,346791.18683000,1295,4523244.20000000,146628.89523800,0
2020-01-03 02:00:00,0.03244000,0.03256000,0.03236000,0.03252000,1427286.10000000,1577991599999,46330.04011800,270,544731.30000000,17697.90867100,0
2020-01-03 03:00:00,0.03252000,0.03266000,0.03245000,0.03259000,1495008.00000000,1577995199999,48674.75607100,286,971485.50000000,31638.58296100,0
2020-01-03 04:00:00,0.03260000,0.03265000,0.03245000,0.03253000,2582337.60000000,1577998799999,84016.29868900,337,1178427.60000000,38364.30680600,0
2020-01-03 05:00:00,0.03253000,0.03284000,0.03248000,0.03278000,1591500.10000000,1578002399999,51943.88714100,326,664997.20000000,21713.91563400,0
2020-01-03 06:00:00,0.03277000,0.03290000,0.03269000,0.03283000,2857807.90000000,1578005999999,93655.84434000,381,1387815.10000000,45480.72421300,0
2020-01-03 07:00:00,0.03284000,0.03284000,0.03267000,0.03269000,1226931.40000000,1578009599999,40186.56439200,316,582801.30000000,19093.97490700,0
