openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-01-01 00:00:00,0.00145500,0.00145900,0.00144500,0.00145200,1372904.00000000,1577811599999,1992.75179500,58,125510.00000000,182.92000700,0
2020-01-01 01:00:00,0.00144300,0.00145400,0.00142600,0.00144000,1673466.00000000,1577815199999,2404.28072300,34,248451.00000000,357.98562200,0
2020-01-01 02:00:00,0.00143700,0.00144500,0.00143100,0.00143700,272442.00000000,1577818799999,391.15574900,24,157890.00000000,226.60093800,0
2020-01-01 03:00:00,0.00143500,0.00144700,0.00143100,0.00144200,2017612.00000000,1577822399999,2894.91705800,29,480913.00000000,694.49406500,0
2020-01-01 04:00:00,0.00144100,0.00144100,0.00143800,0.00143900,209191.00000000,1577825999999,301.09436200,20,134029.00000000,192.90085300,0
2020-01-01 05:00:00,0.00144000,0.00144300,0.00143300,0.00143900,427329.00000000,1577829599999,613.60724300,24,291897.00000000,419.13949200,0
2020-01-01 06:00:00,0.00144300,0.00144600,0.00143900,0.00144100,450969.00000000,1577833199999,650.76136500,25,368666.00000000,532.20649500,0
2020-01-01 07:00:00,0.00144200,0.00144600,0.00144000,0.00144200,197952.00000000,1577836799999,285.42653400,21,90877.00000000,131.04672600,0
2020-01-01 08:00:00,0.00144100,0.00144600,0.00143600,0.00144000,299942.00000000,1577840399999,432.38057300,23,180809.00000000,260.81012300,0
2020-01-01 09:00:00,0.00144000,0.00146200,0.00144000,0.00145200,939121.00000000,1577843999999,1363.52709800,49,767506.00000000,1114.85244500,0
2020-01-01 10:00:00,0.00145000,0.00145100,0.00144500,0.00145100,305331.00000000,1577847599999,442.31997100,24,96878.00000000,140.49279200,0
2020-01-01 11:00:00,0.00145000,0.00146600,0.00144900,0.00145900,597011.00000000,1577851199999,869.24529600,42,443444.00000000,645.73022900,0
2020-01-01 12:00:00,0.00145900,0.00146800,0.00145500,0.00145800,340837.00000000,1577854799999,498.61038300,24,245709.00000000,359.78791800,0
2020-01-01 13:00:00,0.00145900,0.00146200,0.00145900,0.00146200,206178.00000000,1577858399999,301.11314500,18,127124.00000000,185.61993400,0
2020-01-01 14:00:00,0.00146000,0.00146100,0.00145800,0.00146000,219839.00000000,1577861999999,320.93016800,22,116548.00000000,170.17021400,0
2020-01-01 15:00:00,0.00146000,0.00146000,0.00145700,0.00146000,375969.00000000,1577865599999,548.31919800,22,104345.00000000,152.33438500,0
2020-01-01 16:00:00,0.00146000,0.00147600,0.00146000,0.00146500,716775.00000000,1577869199999,1053.46102600,34,272523.00000000,400.57622900,0
2020-01-01 17:00:00,0.00147000,0.00147200,0.00145600,0.00146500,433757.00000000,1577872799999,634.01970300,25,143554.00000000,210.28029300,0
2020-01-01 18:00:00,0.00146600,0.00147000,0.00144800,0.00145200,3809505.00000000,1577876399999,5528.64182700,34,247864.00000000,359.57609000,0
2020-01-01 19:00:00,0.00145100,0.00145600,0.00144800,0.00144900,232746.00000000,1577879999999,338.09135600,22,118959.00000000,172.94950500,0
2020-01-01 20:00:00,0.00144900,0.00144900,0.00144400,0.00144900,358154.00000000,1577883599999,517.74134300,21,125222.00000000,181.22738000,0
2020-01-01 21:00:00,0.00144800,0.00146400,0.00144800,0.00145400,3042063.00000000,1577887199999,4440.75764400,42,2664743.00000000,3890.01299400,0
2020-01-01 22:00:00,0.00145600,0.00147900,0.00145500,0.00147600,2393167.00000000,1577890799999,3519.86227700,76,1404563.00000000,2062.97168700,0
2020-01-01 23:00:00,0.00147600,0.00153000,0.00145800,0.00151400,8281641.00000000,1577894399999,12286.15237900,121,5527506.00000000,8214.38905500,0
2020-01-02 00:00:00,0.00151000,0.00151400,0.00145900,0.00146200,3547976.00000000,1577897999999,5207.83474800,88,670742.00000000,990.65758000,0
2020-01-02 01:00:00,0.00146300,0.00147500,0.00146000,0.00146800,788314.00000000,1577901599999,1155.08965300,32,305221.00000000,448.13586500,0
2020-01-02 02:00:00,0.00146800,0.00147600,0.00142800,0.00144600,3788726.00000000,1577905199999,5483.84830400,73,1375240.00000000,1990.62201300,0
2020-01-02 03:00:00,0.00144600,0.00145400,0.00144300,0.00145200,2048464.00000000,1577908799999,2960.12983700,33,287142.00000000,416.14487100,0
2020-01-02 04:00:00,0.00145300,0.00145800,0.00144400,0.00145200,404400.00000000,1577912399999,587.84064600,30,295653.00000000,430.27733200,0
2020-01-02 05:00:00,0.00145300,0.00145900,0.00144900,0.00145400,206262.00000000,1577915999999,299.48668800,23,82621.00000000,120.02236900,0
2020-01-02 06:00:00,0.00145500,0.00145500,0.00143500,0.00144000,1177315.00000000,1577919599999,1694.44848000,27,76575.00000000,111.18262200,0
2020-01-02 07:00:00,0.00144100,0.00144300,0.00143700,0.00143900,291488.00000000,1577923199999,419.65746800,24,183873.00000000,264.73970000,0
2020-01-02 08:00:00,0.00143900,0.00143900,0.00143500,0.00143800,202697.00000000,1577926799999,291.41088800,21,76218.00000000,109.59153600,0
2020-01-02 09:00:00,0.00143800,0.00144000,0.00143000,0.00143300,616183.00000000,1577930399999,883.51281300,34,279280.00000000,400.11748800,0
2020-01-02 10:00:00,0.00143000,0.00143000,0.00142100,0.00142500,363256.00000000,1577933999999,518.24556500,25,184758.00000000,263.90608900,0
2020-01-02 11:00:00,0.00142500,0.00143200,0.00140500,0.00141400,6415511.00000000,1577937599999,9121.10611500,133,4696984.00000000,6695.76863100,0
2020-01-02 12:00:00,0.00141500,0.00144300,0.00141500,0.00143500,3930463.00000000,1577941199999,5611.28686200,72,2585784.00000000,3690.38072800,0
2020-01-02 13:00:00,0.00143500,0.00143500,0.00141800,0.00142400,288805.00000000,1577944799999,411.44314400,25,168517.00000000,240.04533800,0
2020-01-02 14:00:00,0.00142300,0.00143000,0.00141200,0.00141800,1366624.00000000,1577948399999,1948.67363400,34,1002014.00000000,1429.07947700,0
2020-01-02 15:00:00,0.00141500,0.00141700,0.00140100,0.00140300,730154.00000000,1577951999999,1027.67199000,42,424842.00000000,598.58461000,0
2020-01-02 16:00:00,0.00140400,0.00143300,0.00139100,0.00143000,2070032.00000000,1577955599999,2915.56486100,86,1553194.00000000,2189.20534900,0
2020-01-02 17:00:00,0.00142900,0.00143200,0.00142600,0.00143200,533579.00000000,1577959199999,762.73024200,32,244854.00000000,350.34855200,0
2020-01-02 18:00:00,0.00143300,0.00143900,0.00143000,0.00143300,1458335.00000000,1577962799999,2090.57592200,60,1251013.00000000,1793.48058700,0
2020-01-02 19:00:00,0.00143300,0.00143400,0.00142700,0.00142900,464920.00000000,1577966399999,664.74305100,30,181390.00000000,259.53378300,0
2020-01-02 20:00:00,0.00142900,0.00143200,0.00142700,0.00143000,571989.00000000,1577969999999,818.22426400,37,320267.00000000,458.29971600,0
2020-01-02 21:00:00,0.00143100,0.00143300,0.00142600,0.00142800,639373.00000000,1577973599999,913.35198200,34,257212.00000000,367.88076400,0
2020-01-02 22:00:00,0.00142800,0.00143000,0.00142600,0.00142800,623108.00000000,1577977199999,890.15382700,29,241684.00000000,345.49064000,0
2020-01-02 23:00:00,0.00143000,0.00144500,0.00142700,0.00144200,585059.00000000,1577980799999,839.60678200,42,243538.00000000,349.24423900,0
2020-01-03 00:00:00,0.00143700,0.00144600,0.00142600,0.00142600,338631.00000000,1577984399999,485.85073400,27,96709.00000000,138.81239000,0
2020-01-03 01:00:00,0.00142500,0.00142600,0.00137900,0.00137900,3310162.00000000,1577987999999,4596.52685500,93,1181441.00000000,1642.58612000,0
