openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01 01:00:00,340.88000000,345.35000000,340.62000000,342.45000000,4793.13479000,1609437599999,1645324.96970240,2953,2718.41561000,932883.31365630,0
2021-01-01 02:00:00,342.50000000,343.73000000,341.17000000,342.90000000,2571.31608000,1609441199999,880533.32947820,1920,1408.91207000,482437.01422750,0
2021-01-01 03:00:00,342.91000000,343.92000000,341.82000000,342.39000000,2462.62006000,1609444799999,844387.00651910,1734,1264.54747000,433619.87832230,0
2021-01-01 04:00:00,342.37000000,342.90000000,340.48000000,341.34000000,2217.56047000,1609448399999,757328.35415030,1696,1028.88577000,351448.54388870,0
2021-01-01 05:00:00,341.34000000,344.13000000,340.62000000,342.86000000,2589.85157000,1609451999999,886507.42569920,1732,1075.09247000,368026.32369070,0
2021-01-01 06:00:00,342.82000000,345.95000000,342.31000000,344.25000000,2554.88527000,1609455599999,879313.60388700,1799,924.77183000,318310.02634490,0
2021-01-01 07:00:00,344.20000000,344.84000000,341.39000000,342.15000000,3946.25353000,1609459199999,1354588.92372010,2180,1774.46416000,608611.39499960,0
2021-01-01 08:00:00,342.05000000,343.00000000,335.71000000,341.44000000,9892.61012000,1609462799999,3354156.05263990,6278,4953.25405000,1679734.31680750,0
2021-01-01 09:00:00,341.38000000,350.41000000,341.35000000,349.71000000,18350.42822000,1609466399999,6365177.79375970,10267,8827.60855000,3061988.37506160,0
2021-01-01 10:00:00,349.73000000,355.40000000,346.78000000,354.37000000,13969.99270000,1609469999999,4896729.15286020,7441,7387.38967000,2590669.28204580,0
2021-01-01 11:00:00,354.24000000,354.95000000,350.88000000,350.95000000,11261.41773000,1609473599999,3970655.32226810,5393,5037.81866000,1776707.26030440,0
2021-01-01 12:00:00,350.93000000,352.65000000,347.55000000,348.21000000,7392.86978000,1609477199999,2590803.40432140,4551,3598.44312000,1261197.33252650,0
2021-01-01 13:00:00,348.00000000,349.40000000,347.61000000,348.18000000,3248.80924000,1609480799999,1131815.53235280,2002,1622.75758000,565313.30042120,0
2021-01-01 14:00:00,348.18000000,351.07000000,347.20000000,348.66000000,4130.84445000,1609484399999,1441260.00024530,2472,1846.85243000,644675.11900110,0
2021-01-01 15:00:00,348.64000000,348.76000000,344.50000000,345.91000000,5669.89691000,1609487999999,1963870.58587220,3666,3131.74027000,1085014.01152320,0
2021-01-01 16:00:00,345.92000000,347.31000000,339.87000000,341.81000000,11708.82692000,1609491599999,4013365.17310230,7110,5438.53173000,1864417.77552910,0
2021-01-01 17:00:00,341.72000000,344.32000000,341.27000000,344.11000000,5054.10602000,1609495199999,1735903.77286950,2881,2246.43167000,771519.92576720,0
2021-01-01 18:00:00,344.02000000,349.38000000,343.69000000,348.29000000,9852.22105000,1609498799999,3422272.36590530,5595,4724.78756000,1641289.56728060,0
2021-01-01 19:00:00,348.24000000,350.20000000,347.07000000,347.97000000,4875.31149000,1609502399999,1699290.39654410,2764,2432.47105000,848201.31928400,0
