openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-06-30 08:00:00,3.17950000,3.18670000,3.07010000,3.09430000,141702.14000000,1625043599999,443259.70813300,1885,63652.26000000,199154.13651600,0
2021-06-30 09:00:00,3.09070000,3.16320000,3.05700000,3.12920000,201903.74000000,1625047199999,626931.64642400,2558,101584.75000000,315860.41782100,0
2021-06-30 10:00:00,3.12610000,3.13000000,3.08130000,3.10450000,77622.15000000,1625050799999,240929.96895000,1281,29853.61000000,92714.78692500,0
2021-06-30 11:00:00,3.10680000,3.14600000,3.06890000,3.09190000,78030.03000000,1625054399999,242001.77035100,1388,35733.82000000,110937.35434300,0
2021-06-30 12:00:00,3.09190000,3.13820000,3.05300000,3.13430000,144294.84000000,1625057999999,445709.18438500,1983,68942.67000000,213089.20327700,0
2021-06-30 13:00:00,3.13740000,3.15450000,3.05270000,3.07390000,142615.74000000,1625061599999,440400.73070100,1903,67751.01000000,209542.30832700,0
2021-06-30 14:00:00,3.07250000,3.10000000,3.06010000,3.06390000,58881.42000000,1625065199999,181278.66277100,833,30532.17000000,93992.76088800,0
2021-06-30 15:00:00,3.06400000,3.12270000,2.95110000,3.08330000,279782.72000000,1625068799999,845728.59225100,4294,134067.91000000,406470.55491600,0
2021-06-30 16:00:00,3.08740000,3.09850000,3.03670000,3.06370000,116830.14000000,1625072399999,358886.19250800,1858,61200.50000000,187896.34817100,0
2021-06-30 17:00:00,3.06280000,3.08530000,3.00460000,3.01600000,148559.05000000,1625075999999,450089.93212500,1619,48898.13000000,147977.79729300,0
2021-06-30 18:00:00,3.01800000,3.06980000,3.00890000,3.06240000,61438.54000000,1625079599999,186423.20861300,1047,31049.02000000,94330.77625100,0
2021-06-30 19:00:00,3.06340000,3.09990000,3.01810000,3.08780000,139508.31000000,1625083199999,427553.66597000,2129,74959.11000000,229829.03469800,0
2021-06-30 20:00:00,3.08810000,3.15000000,3.06780000,3.14510000,162173.91000000,1625086799999,504616.09574600,2419,92395.35000000,287630.32267500,0
2021-06-30 21:00:00,3.14250000,3.23320000,3.10360000,3.11050000,215141.64000000,1625090399999,683393.32553800,3676,100997.82000000,321325.04013100,0
2021-06-30 22:00:00,3.11050000,3.17410000,3.08240000,3.09080000,101886.37000000,1625093999999,318027.20713800,1627,53044.59000000,165729.10996100,0
2021-06-30 23:00:00,3.09470000,3.10690000,3.06190000,3.08150000,143427.26000000,1625097599999,441746.14106500,2068,73869.08000000,227559.90572800,0
2021-07-01 00:00:00,3.08160000,3.09310000,3.01710000,3.05480000,138381.20000000,1625101199999,421884.82182300,2031,74044.37000000,225782.26323400,0
2021-07-01 01:00:00,3.05380000,3.08690000,2.99330000,3.05840000,173883.03000000,1625104799999,528927.90650900,2405,90215.89000000,275100.84860400,0
2021-07-01 02:00:00,3.06020000,3.08350000,2.95300000,2.95520000,102988.40000000,1625108399999,309475.61930900,1559,41256.25000000,124481.63041300,0
2021-07-01 03:00:00,2.95770000,2.99380000,2.95110000,2.95980000,56773.58000000,1625111999999,168319.68700400,981,33212.65000000,98466.79071000,0
2021-07-01 04:00:00,2.95990000,3.05160000,2.95130000,2.99670000,70315.16000000,1625115599999,210675.33637000,1332,45331.98000000,135837.16932800,0
2021-07-01 05:00:00,2.99990000,3.05160000,2.99830000,3.04910000,79541.62000000,1625119199999,240802.87924300,1467,38601.48000000,116925.79296000,0
2021-07-01 06:00:00,3.04860000,3.05210000,2.92180000,2.92180000,147716.43000000,1625122799999,441003.94900600,2184,59532.28000000,177764.63250600,0
2021-07-01 07:00:00,2.92890000,2.94280000,2.86520000,2.86630000,140060.22000000,1625126399999,406438.82086100,1872,48612.48000000,141090.46762200,0
2021-07-01 08:00:00,2.86630000,2.94670000,2.84500000,2.88580000,138908.06000000,1625129999999,401926.90212600,2219,81438.43000000,235739.24014400,0
2021-07-01 09:00:00,2.88460000,2.89990000,2.81130000,2.81400000,120517.06000000,1625133599999,343291.87755100,1915,42154.52000000,120065.95251300,0
2021-07-01 10:00:00,2.81720000,2.85960000,2.80750000,2.84210000,89620.67000000,1625137199999,253741.03354000,1381,46599.07000000,132037.67251200,0
2021-07-01 11:00:00,2.84370000,2.99000000,2.84370000,2.93030000,141264.62000000,1625140799999,412476.00564600,2295,81211.18000000,237241.97101700,0
2021-07-01 12:00:00,2.93680000,2.96440000,2.90100000,2.95770000,66942.04000000,1625144399999,196581.43607600,1152,33454.43000000,98221.53055300,0
2021-07-01 13:00:00,2.95790000,3.00000000,2.90010000,2.90370000,109186.09000000,1625147999999,323975.45662100,1737,44831.93000000,133353.37146800,0
2021-07-01 14:00:00,2.90020000,2.97030000,2.87100000,2.89070000,177274.86000000,1625151599999,517456.31113800,2258,86995.35000000,253913.92480000,0
