openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-07-20 20:00:00,0.02020000,0.02300000,0.01956000,0.02098000,2715123.60000000,1595249999999,57868.98852500,405,898612.10000000,19233.82479300,0
2020-07-20 21:00:00,0.02100000,0.02133000,0.02100000,0.02103000,723868.30000000,1595253599999,15301.35983900,147,324118.10000000,6873.58253400,0
2020-07-20 22:00:00,0.02110000,0.02195000,0.02109000,0.02117000,708311.90000000,1595257199999,15125.53173200,142,324301.20000000,6931.51796100,0
2020-07-20 23:00:00,0.02118000,0.02140000,0.02111000,0.02114000,1007075.50000000,1595260799999,21403.64126000,106,324188.00000000,6909.89726200,0
2020-07-21 00:00:00,0.02120000,0.02140000,0.02113000,0.02140000,964783.00000000,1595264399999,20514.44745100,110,257016.60000000,5476.15155200,0
2020-07-21 01:00:00,0.02140000,0.02156000,0.02124000,0.02150000,416428.70000000,1595267999999,8941.98723400,58,169467.10000000,3644.10179400,0
2020-07-21 02:00:00,0.02150000,0.02199000,0.02112000,0.02140000,871055.30000000,1595271599999,18737.75404900,106,373242.10000000,8077.92871800,0
2020-07-21 03:00:00,0.02128000,0.02128000,0.02050000,0.02061000,1549087.90000000,1595275199999,32171.84082100,164,776538.70000000,16075.54224400,0
2020-07-21 04:00:00,0.02060000,0.02070000,0.02040000,0.02067000,597912.30000000,1595278799999,12294.88771100,57,458076.00000000,9423.54366600,0
2020-07-21 05:00:00,0.02068000,0.02100000,0.02068000,0.02100000,180479.30000000,1595282399999,3763.08091500,34,142226.00000000,2971.18479000,0
2020-07-21 06:00:00,0.02102000,0.02150000,0.02081000,0.02117000,1149849.10000000,1595285999999,24320.56501300,106,662025.50000000,14052.69433500,0
2020-07-21 07:00:00,0.02120000,0.02149000,0.02104000,0.02104000,270827.30000000,1595289599999,5745.02465300,56,234191.90000000,4970.44938300,0
2020-07-21 08:00:00,0.02103000,0.02137000,0.02089000,0.02113000,171454.00000000,1595293199999,3615.06619300,37,61972.90000000,1311.99134500,0
2020-07-21 09:00:00,0.02115000,0.02126000,0.02050000,0.02085000,655489.70000000,1595296799999,13654.58811200,149,104758.80000000,2204.84091800,0
2020-07-21 10:00:00,0.02085000,0.02129000,0.02085000,0.02115000,603473.80000000,1595300399999,12740.04932300,63,234483.40000000,4956.31925300,0
2020-07-21 11:00:00,0.02130000,0.02141000,0.02086000,0.02100000,281375.00000000,1595303999999,5941.36727000,33,127982.60000000,2722.56070600,0
