openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-06-30 08:00:00,0.80580000,0.81070000,0.78300000,0.78660000,729938.96000000,1625043599999,582143.71084000,1352,374579.56000000,297804.77437900,0
2021-06-30 09:00:00,0.78690000,0.79620000,0.78020000,0.78340000,562531.80000000,1625047199999,442231.03307000,1440,223750.66000000,175964.41835000,0
2021-06-30 10:00:00,0.78370000,0.79620000,0.77690000,0.79380000,542659.92000000,1625050799999,427215.89376700,1209,219355.31000000,173190.35005900,0
2021-06-30 11:00:00,0.79340000,0.79960000,0.78420000,0.79580000,205010.20000000,1625054399999,162557.23395600,808,104344.47000000,82821.47241600,0
2021-06-30 12:00:00,0.79510000,0.82280000,0.79310000,0.80270000,745647.76000000,1625057999999,603802.62817000,1879,511537.24000000,414200.81164800,0
2021-06-30 13:00:00,0.80330000,0.80450000,0.78380000,0.79670000,376291.66000000,1625061599999,297024.57294800,911,188410.33000000,148706.98013800,0
2021-06-30 14:00:00,0.79630000,0.80110000,0.78110000,0.78880000,727603.65000000,1625065199999,574694.23921400,1920,428381.23000000,338341.93319100,0
2021-06-30 15:00:00,0.78830000,0.78940000,0.75730000,0.76290000,737088.70000000,1625068799999,565173.29373900,1817,319040.10000000,243942.98209500,0
2021-06-30 16:00:00,0.76180000,0.77040000,0.75000000,0.76000000,676026.67000000,1625072399999,514001.13018400,1473,268356.48000000,205200.04460100,0
2021-06-30 17:00:00,0.75950000,0.78250000,0.75820000,0.78140000,276827.43000000,1625075999999,214177.93192400,804,151940.24000000,117526.48806100,0
2021-06-30 18:00:00,0.78110000,0.79510000,0.77910000,0.79460000,232022.61000000,1625079599999,182562.55843600,750,100388.07000000,79150.52182900,0
2021-06-30 19:00:00,0.79380000,0.80030000,0.79010000,0.79820000,465198.09000000,1625083199999,370288.72149100,869,215701.45000000,171575.23228800,0
2021-06-30 20:00:00,0.79860000,0.80890000,0.78470000,0.80030000,549521.51000000,1625086799999,438935.22862400,1056,290457.06000000,232762.31944000,0
2021-06-30 21:00:00,0.79940000,0.81990000,0.79940000,0.81960000,248257.02000000,1625090399999,201545.13049500,969,173223.58000000,140686.92929300,0
2021-06-30 22:00:00,0.81910000,0.82170000,0.80640000,0.81810000,963843.48000000,1625093999999,785162.44473300,2139,474132.68000000,386310.83729200,0
2021-06-30 23:00:00,0.81970000,0.83770000,0.81970000,0.83650000,353127.11000000,1625097599999,292105.73616200,1334,219084.58000000,181320.76773700,0
2021-07-01 00:00:00,0.83660000,0.83820000,0.81330000,0.81500000,350536.82000000,1625101199999,288253.63033400,1537,169662.07000000,139439.42996700,0
2021-07-01 01:00:00,0.81510000,0.84530000,0.81460000,0.84300000,546908.83000000,1625104799999,456590.44971100,1748,332243.46000000,277167.14833100,0
2021-07-01 02:00:00,0.84420000,0.84520000,0.81380000,0.81500000,356502.97000000,1625108399999,293437.89716300,1133,140626.42000000,115850.53078200,0
2021-07-01 03:00:00,0.81600000,0.82150000,0.80720000,0.80860000,185873.04000000,1625111999999,151085.89725300,798,104687.68000000,85101.44389700,0
2021-07-01 04:00:00,0.80880000,0.81760000,0.80690000,0.81670000,301613.58000000,1625115599999,244694.57390600,638,213718.33000000,173346.46382000,0
2021-07-01 05:00:00,0.81780000,0.82840000,0.81070000,0.82700000,257563.61000000,1625119199999,210851.88139300,661,84528.78000000,69248.89025200,0
2021-07-01 06:00:00,0.82700000,0.83500000,0.79850000,0.80210000,502374.35000000,1625122799999,408587.20925900,1346,240836.47000000,196040.86531700,0
2021-07-01 07:00:00,0.80110000,0.81050000,0.78200000,0.78450000,1354474.99000000,1625126399999,1080066.69401400,2349,686348.87000000,546392.59643100,0
2021-07-01 08:00:00,0.78400000,0.79050000,0.77780000,0.78600000,303334.63000000,1625129999999,237982.21697500,1195,158996.87000000,124744.56218600,0
2021-07-01 09:00:00,0.78510000,0.79180000,0.77800000,0.78250000,456396.81000000,1625133599999,359036.42790700,1223,283275.48000000,222841.11449700,0
2021-07-01 10:00:00,0.78280000,0.78640000,0.77330000,0.77890000,346107.62000000,1625137199999,269310.68177400,958,185553.46000000,144199.90814900,0
2021-07-01 11:00:00,0.77840000,0.80000000,0.77840000,0.79910000,554572.14000000,1625140799999,440336.78690100,1251,209291.81000000,166056.00272500,0
2021-07-01 12:00:00,0.79840000,0.79890000,0.78650000,0.79370000,200996.57000000,1625144399999,159426.90893000,957,102976.20000000,81655.79199300,0
2021-07-01 13:00:00,0.79400000,0.80060000,0.78750000,0.78750000,439274.28000000,1625147999999,349235.79288100,1104,205988.67000000,163751.10796600,0
2021-07-01 14:00:00,0.78790000,0.79460000,0.77390000,0.78310000,402876.90000000,1625151599999,315841.73044800,1058,192417.89000000,151052.96686000,0
2021-07-01 15:00:00,0.78390000,0.79980000,0.78320000,0.79250000,362583.97000000,1625155199999,287352.88102800,958,166404.17000000,131858.49231300,0
2021-07-01 16:00:00,0.79150000,0.79400000,0.77990000,0.78140000,159123.47000000,1625158799999,125010.06190500,802,98107.42000000,77101.67367900,0
2021-07-01 17:00:00,0.78110000,0.81490000,0.77910000,0.81060000,655648.22000000,1625162399999,525823.47171100,1954,315843.42000000,252722.03321800,0
2021-07-01 18:00:00,0.81060000,0.81400000,0.79870000,0.80080000,531093.55000000,1625165999999,428055.77380200,1241,289534.18000000,233312.67541200,0
2021-07-01 19:00:00,0.79990000,0.80440000,0.78100000,0.78390000,338614.29000000,1625169599999,267585.99340800,1369,174371.19000000,137787.26084500,0
2021-07-01 20:00:00,0.78400000,0.79430000,0.78400000,0.78970000,297216.45000000,1625173199999,234622.08054500,754,136652.56000000,107884.82413600,0
2021-07-01 21:00:00,0.78990000,0.79720000,0.78800000,0.79250000,216489.83000000,1625176799999,171693.98997300,802,84956.34000000,67389.59225300,0
2021-07-01 22:00:00,0.79340000,0.81190000,0.79160000,0.80340000,215088.04000000,1625180399999,173088.26699800,887,133697.64000000,107519.63799400,0
2021-07-01 23:00:00,0.80420000,0.80800000,0.79650000,0.80430000,219160.10000000,1625183999999,175807.47861900,778,121784.76000000,97582.66021800,0
2021-07-02 00:00:00,0.80360000,0.81580000,0.79720000,0.81500000,175695.93000000,1625187599999,141850.37319700,834,99619.30000000,80466.06215800,0
2021-07-02 01:00:00,0.81500000,0.81760000,0.78130000,0.78130000,315318.60000000,1625191199999,251745.95936300,921,152211.49000000,121771.26311600,0
2021-07-02 02:00:00,0.78230000,0.78900000,0.77690000,0.78900000,331373.22000000,1625194799999,259265.47496400,1007,128774.72000000,100877.81997200,0
2021-07-02 03:00:00,0.78900000,0.78900000,0.76520000,0.76600000,309424.21000000,1625198399999,239617.86513800,804,158944.91000000,122821.84932800,0
2021-07-02 04:00:00,0.76630000,0.77450000,0.76390000,0.77140000,143649.30000000,1625201999999,110454.68265300,517,76898.80000000,59159.16636000,0
2021-07-02 05:00:00,0.77140000,0.77660000,0.76230000,0.76390000,158119.43000000,1625205599999,121715.23761900,416,48464.20000000,37329.03888000,0
2021-07-02 06:00:00,0.76330000,0.77290000,0.76130000,0.76690000,247388.74000000,1625209199999,189561.40491800,694,127405.53000000,97612.71506700,0
2021-07-02 07:00:00,0.76700000,0.77880000,0.76450000,0.77670000,159203.57000000,1625212799999,123137.02678400,509,76568.54000000,59194.06300100,0
2021-07-02 08:00:00,0.77660000,0.78490000,0.77310000,0.77490000,187889.29000000,1625216399999,146196.62334000,603,93407.64000000,72577.36034900,0
2021-07-02 09:00:00,0.77300000,0.77300000,0.75580000,0.75990000,210754.32000000,1625219999999,160856.65652700,644,86759.13000000,66123.91537500,0
2021-07-02 10:00:00,0.75990000,0.76680000,0.75760000,0.76310000,138529.35000000,1625223599999,105311.28464200,378,75724.54000000,57554.84995300,0
2021-07-02 11:00:00,0.76330000,0.77070000,0.75800000,0.76740000,243652.72000000,1625227199999,186287.90797200,945,110442.33000000,84539.73279700,0
2021-07-02 12:00:00,0.76660000,0.78380000,0.76450000,0.77480000,388875.92000000,1625230799999,300597.21111800,975,209900.97000000,162623.37660100,0
2021-07-02 13:00:00,0.77360000,0.78220000,0.76900000,0.77920000,190249.20000000,1625234399999,147509.66059400,725,113929.30000000,88345.73056900,0
2021-07-02 14:00:00,0.77960000,0.78920000,0.77290000,0.78850000,163063.73000000,1625237999999,127744.52324800,622,98201.25000000,76988.61888900,0
2021-07-02 15:00:00,0.78930000,0.79640000,0.78050000,0.79550000,139959.69000000,1625241599999,110197.45050100,713,63291.35000000,49925.27091600,0
2021-07-02 16:00:00,0.79700000,0.80460000,0.78740000,0.80410000,518092.46000000,1625245199999,411821.43309200,1074,255833.48000000,203526.71705000,0
2021-07-02 17:00:00,0.80440000,0.80870000,0.79780000,0.80600000,270179.07000000,1625248799999,217041.23506600,712,127714.42000000,102630.98171100,0
2021-07-02 18:00:00,0.80640000,0.80800000,0.79170000,0.79560000,104128.75000000,1625252399999,83207.09594900,494,45392.28000000,36266.87736900,0
