openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01 01:00:00,2.17400000,2.19800000,2.17400000,2.18800000,22111.14700000,1609437599999,48426.60333900,257,9996.28500000,21872.08647600,0
2021-01-01 02:00:00,2.18800000,2.19300000,2.18300000,2.19300000,23659.89600000,1609441199999,51796.19878200,208,11145.65200000,24395.74879200,0
2021-01-01 03:00:00,2.19200000,2.20200000,2.19200000,2.20100000,10164.05700000,1609444799999,22341.47678800,124,4895.48800000,10762.80979900,0
2021-01-01 04:00:00,2.20000000,2.21300000,2.19500000,2.20500000,33153.49000000,1609448399999,73135.38582800,263,17232.93200000,38042.75399300,0
2021-01-01 05:00:00,2.20500000,2.20700000,2.19100000,2.20200000,40951.52800000,1609451999999,90048.76345400,395,15825.77500000,34809.47031300,0
2021-01-01 06:00:00,2.20300000,2.21600000,2.19200000,2.21000000,26684.39300000,1609455599999,58850.30175000,259,12301.84700000,27169.40341900,0
2021-01-01 07:00:00,2.20900000,2.23000000,2.20500000,2.22200000,37889.45100000,1609459199999,84076.18635600,364,21307.58800000,47269.53315200,0
2021-01-01 08:00:00,2.22200000,2.23800000,2.20300000,2.23300000,44076.56200000,1609462799999,97956.99614700,477,23583.85600000,52420.09403700,0
2021-01-01 09:00:00,2.23400000,2.26300000,2.23400000,2.25100000,94277.01600000,1609466399999,212142.56618900,862,52901.81000000,119028.21175400,0
2021-01-01 10:00:00,2.25000000,2.26000000,2.24200000,2.26000000,50282.99800000,1609469999999,113286.31824700,319,36848.18900000,83048.52274700,0
2021-01-01 11:00:00,2.26000000,2.26100000,2.24500000,2.25300000,68867.13700000,1609473599999,155166.27032700,437,34602.61900000,77964.61260400,0
2021-01-01 12:00:00,2.25600000,2.26700000,2.24300000,2.26100000,73713.39300000,1609477199999,166349.82710700,529,37634.11100000,85005.18467300,0
2021-01-01 13:00:00,2.26100000,2.26800000,2.25300000,2.25300000,35885.43700000,1609480799999,81164.96814100,251,17287.87300000,39096.29792300,0
2021-01-01 14:00:00,2.25500000,2.25800000,2.22700000,2.23900000,40309.22400000,1609484399999,90396.56508700,352,17555.28200000,39376.17305100,0
2021-01-01 15:00:00,2.23900000,2.24200000,2.22000000,2.24100000,31687.35000000,1609487999999,70689.86681600,290,19693.24200000,43948.57651900,0
2021-01-01 16:00:00,2.24100000,2.24800000,2.20500000,2.22000000,67797.49200000,1609491599999,150631.42060200,613,31884.62500000,70869.36854000,0
2021-01-01 17:00:00,2.21800000,2.23200000,2.21800000,2.22600000,34882.96200000,1609495199999,77611.33173300,267,15148.48800000,33696.74965300,0
2021-01-01 18:00:00,2.22500000,2.25000000,2.22500000,2.24300000,46754.07300000,1609498799999,104585.65465200,349,27191.31600000,60861.10250600,0
2021-01-01 19:00:00,2.24300000,2.26500000,2.24100000,2.25100000,72537.21900000,1609502399999,163369.77560500,489,39427.85400000,88827.78320000,0
2021-01-01 20:00:00,2.25000000,2.28400000,2.23200000,2.23900000,116658.76400000,1609505999999,263272.96010900,899,52343.76900000,118252.58215300,0
2021-01-01 21:00:00,2.23900000,2.27800000,2.23900000,2.27100000,35309.34300000,1609509599999,79968.04160800,365,21369.77800000,48378.31066200,0
2021-01-01 22:00:00,2.27100000,2.30800000,2.26100000,2.28300000,113866.11300000,1609513199999,260356.95642800,1008,66941.91800000,153118.62647700,0
2021-01-01 23:00:00,2.28500000,2.37000000,2.28400000,2.30700000,330330.36700000,1609516799999,768424.68407200,2358,159582.02400000,370886.72704000,0
2021-01-02 00:00:00,2.30800000,2.33200000,2.30000000,2.30400000,67518.11000000,1609520399999,156122.30196800,624,30972.52800000,71602.72036500,0
2021-01-02 01:00:00,2.30300000,2.31400000,2.24300000,2.25100000,118136.84700000,1609523999999,267923.99775500,1033,64027.15700000,145151.27630900,0
2021-01-02 02:00:00,2.24900000,2.26400000,2.19600000,2.24400000,168108.94300000,1609527599999,374892.76270700,1182,65048.74400000,145708.31179200,0
2021-01-02 03:00:00,2.24300000,2.24300000,2.21800000,2.22500000,52351.56200000,1609531199999,116695.59742000,443,27761.92200000,61847.08539900,0
2021-01-02 04:00:00,2.22400000,2.24100000,2.21100000,2.23700000,44776.16200000,1609534799999,99887.24272600,371,21208.63000000,47328.98282600,0
2021-01-02 05:00:00,2.23500000,2.26500000,2.23300000,2.24700000,96488.94300000,1609538399999,217355.86079400,658,57002.76900000,128449.24193200,0
2021-01-02 06:00:00,2.24500000,2.27000000,2.24200000,2.26600000,24109.27200000,1609541999999,54337.61385200,295,15654.23300000,35259.51540200,0
2021-01-02 07:00:00,2.26400000,2.27300000,2.26200000,2.26800000,42319.41800000,1609545599999,95945.57295100,389,20516.86800000,46513.57672800,0
2021-01-02 08:00:00,2.26900000,2.27200000,2.20400000,2.22400000,184777.52000000,1609549199999,411398.87798700,1252,96539.41700000,214862.43192200,0
2021-01-02 09:00:00,2.22300000,2.24000000,2.21000000,2.23800000,45903.60100000,1609552799999,102163.87865200,428,17063.35400000,37977.66084600,0
2021-01-02 10:00:00,2.23800000,2.25400000,2.23600000,2.24500000,36891.89500000,1609556399999,82871.81260200,377,24041.91500000,54014.50789000,0
2021-01-02 11:00:00,2.24500000,2.26300000,2.24500000,2.25100000,48074.52700000,1609559999999,108354.04594700,425,30305.94800000,68281.63850200,0
2021-01-02 12:00:00,2.25100000,2.26000000,2.23800000,2.26000000,38377.55500000,1609563599999,86449.17125700,368,27750.39400000,62515.83105600,0
2021-01-02 13:00:00,2.26200000,2.26700000,2.24300000,2.25500000,66227.67500000,1609567199999,149327.03891700,515,35126.26900000,79191.00374600,0
2021-01-02 14:00:00,2.25600000,2.27500000,2.24300000,2.27100000,143275.35900000,1609570799999,323543.31902500,938,80073.18600000,180846.33957400,0
2021-01-02 15:00:00,2.27100000,2.27500000,2.22700000,2.23000000,117616.64000000,1609574399999,265168.23305700,732,43126.72100000,97276.31961800,0
2021-01-02 16:00:00,2.23100000,2.23600000,2.22000000,2.22300000,60200.93000000,1609577999999,134031.33148700,408,29282.08100000,65209.00594300,0
2021-01-02 17:00:00,2.22300000,2.22700000,2.19800000,2.20300000,79579.86300000,1609581599999,175945.26172500,538,34548.65500000,76492.60094500,0
2021-01-02 18:00:00,2.20400000,2.23700000,2.19200000,2.20800000,75051.53400000,1609585199999,166383.60106300,615,33942.30300000,75226.69735200,0
2021-01-02 19:00:00,2.21100000,2.21700000,2.20600000,2.21500000,38129.63200000,1609588799999,84307.38649900,297,18289.91500000,40450.42320700,0
2021-01-02 20:00:00,2.21400000,2.26200000,2.18700000,2.25700000,154028.98500000,1609592399999,341630.51118800,1119,85609.02500000,189939.45598100,0
2021-01-02 21:00:00,2.25900000,2.27300000,2.24000000,2.24700000,138575.29500000,1609595999999,312636.89206500,1034,73660.10900000,166241.22074000,0
2021-01-02 22:00:00,2.24700000,2.25000000,2.23500000,2.24800000,45503.40300000,1609599599999,102003.06483700,387,20514.77800000,45982.61963900,0
2021-01-02 23:00:00,2.24800000,2.25800000,2.22500000,2.23700000,189016.55500000,1609603199999,422686.10054800,963,109554.74700000,244834.60891200,0
2021-01-03 00:00:00,2.23800000,2.26700000,2.20900000,2.26200000,189136.56300000,1609606799999,421099.24428200,1570,89958.35600000,200377.45933600,0
2021-01-03 01:00:00,2.26500000,2.27700000,2.25100000,2.26200000,181373.90500000,1609610399999,410543.48118200,1067,80071.99800000,181223.50179200,0
2021-01-03 02:00:00,2.26400000,2.29100000,2.24500000,2.24800000,147871.46000000,1609613999999,334828.24353900,1066,60584.53500000,137210.21028300,0
2021-01-03 03:00:00,2.24800000,2.26400000,2.24800000,2.25900000,58210.95600000,1609617599999,131375.65420000,542,32659.84300000,73705.60976200,0
2021-01-03 04:00:00,2.25800000,2.27800000,2.21100000,2.22200000,200757.66600000,1609621199999,451547.71016200,1507,83452.56900000,187933.34434000,0
2021-01-03 05:00:00,2.22100000,2.26000000,2.19500000,2.25700000,140999.59400000,1609624799999,315146.75800300,1283,58785.64200000,131650.15458400,0
2021-01-03 06:00:00,2.25700000,2.25800000,2.22800000,2.25300000,53112.86000000,1609628399999,119368.68552500,434,31267.18900000,70283.08802500,0
2021-01-03 07:00:00,2.25200000,2.25600000,2.23400000,2.24900000,47525.34800000,1609631999999,106729.65137100,430,22505.80000000,50518.46452000,0
2021-01-03 08:00:00,2.24900000,2.26000000,2.22900000,2.23000000,110712.45000000,1609635599999,248594.02152700,722,62877.66500000,141312.81475300,0
2021-01-03 09:00:00,2.22800000,2.24500000,2.22300000,2.22500000,90982.33700000,1609639199999,203050.91746800,678,35500.80500000,79218.93727900,0
2021-01-03 10:00:00,2.22600000,2.23600000,2.22200000,2.23600000,42868.34700000,1609642799999,95564.08676300,341,15611.66200000,34814.33713600,0
2021-01-03 11:00:00,2.23600000,2.23800000,2.22200000,2.22500000,41658.78200000,1609646399999,92823.76743900,280,14737.47500000,32840.53234700,0
2021-01-03 12:00:00,2.22500000,2.23400000,2.22100000,2.22200000,35537.56300000,1609649999999,79165.10178100,293,11915.64700000,26533.09803100,0
2021-01-03 13:00:00,2.22300000,2.25000000,2.22300000,2.23200000,112825.43900000,1609653599999,252180.01177000,844,62167.14500000,138997.47785700,0
2021-01-03 14:00:00,2.23200000,2.24800000,2.22800000,2.23200000,70378.04400000,1609657199999,157378.09297900,519,29046.15600000,64949.26660300,0
2021-01-03 15:00:00,2.23100000,2.23800000,2.20700000,2.20800000,83004.96100000,1609660799999,184255.09832400,789,31617.19900000,70223.70140400,0
2021-01-03 16:00:00,2.20800000,2.26000000,2.20000000,2.25800000,133696.31200000,1609664399999,297246.84623800,1050,65072.00500000,144966.57084200,0
2021-01-03 17:00:00,2.25800000,2.29000000,2.25200000,2.26700000,205237.34500000,1609667999999,466015.91133400,1248,121262.50600000,275331.43175000,0
2021-01-03 18:00:00,2.27000000,2.34500000,2.26200000,2.31800000,298606.49900000,1609671599999,686825.11855700,2271,142876.49200000,328697.95375100,0
2021-01-03 19:00:00,2.31800000,2.40600000,2.30900000,2.36300000,400738.31700000,1609675199999,949380.88464000,2910,214530.65200000,508540.79978900,0
2021-01-03 20:00:00,2.36100000,2.39000000,2.33500000,2.38800000,181034.21300000,1609678799999,427425.82791100,1518,80077.63100000,189255.17267100,0
2021-01-03 21:00:00,2.39100000,2.45200000,2.36300000,2.39400000,247488.30400000,1609682399999,595969.75925500,1960,128656.79100000,309785.39631000,0
2021-01-03 22:00:00,2.39700000,2.44300000,2.36700000,2.39600000,252708.20300000,1609685999999,608391.12285000,2057,124938.67700000,300736.91487000,0
2021-01-03 23:00:00,2.39500000,2.41300000,2.32100000,2.37600000,267156.65200000,1609689599999,631168.68653900,2000,114936.14600000,271749.07419800,0
2021-01-04 00:00:00,2.37900000,2.43800000,2.36800000,2.37700000,227889.31100000,1609693199999,549366.19603700,1916,120928.28700000,291557.38818200,0
2021-01-04 01:00:00,2.37800000,2.39700000,2.36200000,2.39100000,133948.18500000,1609696799999,319055.84852800,1203,62019.90300000,147599.52059100,0
2021-01-04 02:00:00,2.39200000,2.39900000,2.34700000,2.35300000,172765.20000000,1609700399999,408700.42092500,1088,108890.67300000,257437.74763500,0
2021-01-04 03:00:00,2.35200000,2.36000000,2.32400000,2.34400000,66658.60100000,1609703999999,156116.27173000,601,27436.66300000,64322.17070400,0
2021-01-04 04:00:00,2.34400000,2.37800000,2.34300000,2.37500000,78902.00500000,1609707599999,186541.85435700,727,37816.41700000,89399.55418700,0
2021-01-04 05:00:00,2.37500000,2.40000000,2.36900000,2.39600000,70279.40200000,1609711199999,167498.50366900,608,42922.09200000,102277.85447500,0
2021-01-04 06:00:00,2.39300000,2.41800000,2.37400000,2.40600000,90226.40700000,1609714799999,216595.76413400,889,43132.23700000,103525.88694300,0
2021-01-04 07:00:00,2.40400000,2.49900000,2.40100000,2.46600000,231375.28800000,1609718399999,567321.85135800,2374,113705.75800000,278913.88129700,0
2021-01-04 08:00:00,2.46500000,2.51300000,2.46500000,2.51300000,232938.01500000,1609721999999,579102.56202200,2199,121219.31100000,301498.93913900,0
2021-01-04 09:00:00,2.50900000,2.57600000,2.49000000,2.57600000,175072.37700000,1609725599999,442497.15724600,1678,92226.86500000,233398.64319500,0
2021-01-04 10:00:00,2.57500000,2.57600000,2.53300000,2.54800000,104422.19200000,1609729199999,266825.08285200,998,54231.21300000,138647.35439500,0
2021-01-04 11:00:00,2.54800000,2.57500000,2.52500000,2.52700000,140113.77300000,1609732799999,357704.06827800,1242,61754.87800000,157580.82378200,0
2021-01-04 12:00:00,2.52800000,2.59500000,2.52000000,2.59500000,215902.50500000,1609736399999,553759.94539600,1572,131215.14300000,336472.35273100,0
2021-01-04 13:00:00,2.59500000,2.70300000,2.57600000,2.65200000,271569.57100000,1609739999999,717974.30195300,2891,146268.03000000,386223.96879500,0
2021-01-04 14:00:00,2.65300000,2.68600000,2.58700000,2.59700000,483170.14400000,1609743599999,1280663.63285200,3565,243863.46600000,646975.50174500,0
2021-01-04 15:00:00,2.59700000,2.61700000,2.45000000,2.51200000,449536.12900000,1609747199999,1133566.15371400,4825,209495.47500000,527747.15865800,0
2021-01-04 16:00:00,2.50700000,2.54700000,2.42000000,2.48100000,356474.60500000,1609750799999,887353.45906900,2739,188748.73300000,469212.98923900,0
2021-01-04 17:00:00,2.47900000,2.50100000,2.27900000,2.38500000,529136.34800000,1609754399999,1260334.24178200,5100,252795.55600000,601805.96322900,0
2021-01-04 18:00:00,2.38500000,2.40200000,2.25400000,2.33800000,573808.87500000,1609757999999,1324249.84475100,5517,289118.39800000,665984.89728600,0
2021-01-04 19:00:00,2.33300000,2.38500000,2.30200000,2.37100000,251932.09100000,1609761599999,589749.61162200,2496,129316.51400000,303130.74914700,0
2021-01-04 20:00:00,2.37200000,2.38300000,2.33100000,2.36700000,192125.15600000,1609765199999,452934.74649400,1689,91142.16500000,214810.34073900,0
2021-01-04 21:00:00,2.36700000,2.36700000,2.31400000,2.36300000,157716.20100000,1609768799999,369771.56864800,1282,79750.62800000,186921.80618800,0
2021-01-04 22:00:00,2.36400000,2.41200000,2.36100000,2.41200000,187026.92300000,1609772399999,445780.42344500,1488,106813.36800000,254562.34116800,0
2021-01-04 23:00:00,2.41500000,2.47700000,2.38400000,2.47100000,241344.28400000,1609775999999,583837.77856800,1987,135151.59200000,327184.98598900,0
2021-01-05 00:00:00,2.47200000,2.51000000,2.40000000,2.50400000,437045.84900000,1609779599999,1075355.17293700,3471,211656.58000000,520771.61404900,0
2021-01-05 01:00:00,2.50600000,2.55900000,2.49600000,2.55300000,357752.28600000,1609783199999,906354.75061600,2800,187144.50500000,474308.87620100,0
2021-01-05 02:00:00,2.55600000,2.59000000,2.54300000,2.57200000,154105.98300000,1609786799999,394970.78372600,1332,87083.57000000,223186.38850100,0
2021-01-05 03:00:00,2.57200000,2.63400000,2.55000000,2.56100000,345743.21800000,1609790399999,895212.51439200,2378,148378.62700000,383558.51730000,0
2021-01-05 04:00:00,2.56500000,2.57800000,2.51700000,2.53500000,157339.52900000,1609793999999,401124.33512800,1444,70727.72000000,180414.75633200,0
2021-01-05 05:00:00,2.53400000,2.55900000,2.46700000,2.48000000,332540.25800000,1609797599999,831252.22063600,2479,184573.07700000,461247.29877800,0
2021-01-05 06:00:00,2.47500000,2.49900000,2.44900000,2.48600000,192195.22600000,1609801199999,475263.78631800,1515,75369.19100000,186620.21823500,0
2021-01-05 07:00:00,2.48700000,2.51500000,2.46900000,2.51500000,104772.20800000,1609804799999,260614.77068200,919,62810.83800000,156174.48566200,0
2021-01-05 08:00:00,2.51500000,2.62100000,2.50700000,2.57800000,387733.10300000,1609808399999,997268.84165000,3030,208097.57700000,534900.45291200,0
2021-01-05 09:00:00,2.57900000,2.60800000,2.54500000,2.56700000,277474.50000000,1609811999999,715077.56808700,1975,139570.20400000,359827.60800100,0
2021-01-05 10:00:00,2.56900000,2.57100000,2.47100000,2.50200000,258338.44500000,1609815599999,647888.63241400,1931,122659.73400000,307431.81435100,0
2021-01-05 11:00:00,2.50400000,2.52500000,2.40500000,2.40500000,354910.40500000,1609819199999,877738.31578700,2738,186522.98500000,461158.32622200,0
2021-01-05 12:00:00,2.40600000,2.43800000,2.38900000,2.40400000,293033.00600000,1609822799999,707716.70830000,2160,170268.52600000,410906.67165000,0
2021-01-05 13:00:00,2.40600000,2.43800000,2.39000000,2.41000000,279701.22600000,1609826399999,674739.16439400,1703,113568.60400000,273861.75848900,0
2021-01-05 14:00:00,2.41000000,2.46100000,2.40200000,2.45500000,172528.68000000,1609829999999,418694.90935100,1403,92307.50400000,224089.31014500,0
2021-01-05 15:00:00,2.45700000,2.47200000,2.44400000,2.45400000,109023.59800000,1609833599999,268089.77121200,840,57647.22300000,141790.51148600,0
2021-01-05 16:00:00,2.45400000,2.49500000,2.45400000,2.47400000,121918.71100000,1609837199999,301518.61848600,1078,66572.14100000,164596.65413000,0
2021-01-05 17:00:00,2.47900000,2.54400000,2.47800000,2.52700000,149494.11800000,1609840799999,375995.98008900,1474,64142.61100000,161255.73188700,0
2021-01-05 18:00:00,2.52800000,2.56500000,2.50400000,2.55500000,278453.60000000,1609844399999,703159.12918200,1645,159115.95800000,401808.52807100,0
2021-01-05 19:00:00,2.55500000,2.58100000,2.53900000,2.56100000,210136.23900000,1609847999999,537666.45692400,1446,97603.53400000,249914.95471200,0
2021-01-05 20:00:00,2.56100000,2.60400000,2.53900000,2.59900000,268272.48300000,1609851599999,692953.34600900,1911,125486.98200000,323953.17613400,0
2021-01-05 21:00:00,2.60000000,2.64700000,2.53900000,2.54100000,370458.02100000,1609855199999,963473.07081800,2890,180334.85300000,469852.60581600,0
2021-01-05 22:00:00,2.54100000,2.56900000,2.48000000,2.56600000,301188.77300000,1609858799999,759833.20179300,2423,170016.48400000,428973.74362500,0
2021-01-05 23:00:00,2.56700000,2.60400000,2.54600000,2.60400000,218546.08100000,1609862399999,562168.13325400,1533,120585.35500000,310279.13127100,0
2021-01-06 00:00:00,2.60500000,2.64500000,2.57100000,2.61800000,312064.52200000,1609865999999,815174.13810000,2343,158987.98200000,415254.40094900,0
2021-01-06 01:00:00,2.61800000,2.65300000,2.58500000,2.63100000,196057.77300000,1609869599999,513653.59066300,1556,95094.98300000,248997.32514000,0
2021-01-06 02:00:00,2.63100000,2.64000000,2.59100000,2.60600000,151164.39300000,1609873199999,394299.39336400,1389,75901.22700000,198047.03408600,0
2021-01-06 03:00:00,2.60400000,2.61700000,2.53800000,2.60100000,225636.56300000,1609876799999,581664.43801400,2235,108903.09000000,280829.58930700,0
2021-01-06 04:00:00,2.60200000,2.60400000,2.56800000,2.57500000,109683.54400000,1609880399999,283337.61383100,802,61177.67100000,158033.00442600,0
2021-01-06 05:00:00,2.57600000,2.61200000,2.57400000,2.59400000,133273.44600000,1609883999999,345839.71643500,1046,52234.24100000,135537.29085400,0
2021-01-06 06:00:00,2.59400000,2.61700000,2.58000000,2.61500000,103131.62700000,1609887599999,268082.57992400,891,40761.54600000,106020.13916900,0
2021-01-06 07:00:00,2.61600000,2.61900000,2.57400000,2.61200000,119328.57900000,1609891199999,310298.16448900,1183,60799.11700000,158070.25747200,0
2021-01-06 08:00:00,2.61300000,2.63000000,2.55800000,2.56500000,268113.50500000,1609894799999,693333.31031100,2068,118336.69100000,306222.10672500,0
2021-01-06 09:00:00,2.56500000,2.59800000,2.55300000,2.55600000,144093.66000000,1609898399999,370425.13328400,1327,69352.24700000,178143.14139900,0
2021-01-06 10:00:00,2.55300000,2.59100000,2.53500000,2.58800000,78496.98500000,1609901999999,201245.35033400,679,39810.38200000,102077.15237700,0
2021-01-06 11:00:00,2.58800000,2.59600000,2.57300000,2.57600000,63917.73100000,1609905599999,165214.63366800,589,26872.04400000,69485.28225900,0
2021-01-06 12:00:00,2.57900000,2.63600000,2.57500000,2.61700000,218220.34600000,1609909199999,568895.18455500,1795,109204.25100000,284821.93067500,0
2021-01-06 13:00:00,2.61600000,2.61700000,2.56300000,2.57000000,75413.80900000,1609912799999,195160.15139100,704,41441.37900000,107441.43242300,0
2021-01-06 14:00:00,2.56700000,2.59100000,2.56600000,2.59000000,57833.28800000,1609916399999,149076.49181300,515,23232.13400000,59877.62578500,0
2021-01-06 15:00:00,2.58900000,2.62700000,2.57600000,2.62600000,121889.43900000,1609919999999,315962.61208000,1071,85071.02700000,220645.73848300,0
2021-01-06 16:00:00,2.62600000,2.75000000,2.62200000,2.73800000,403137.99200000,1609923599999,1079005.53197200,3835,230765.23400000,618288.10742200,0
2021-01-06 17:00:00,2.73800000,2.75000000,2.64000000,2.72500000,330663.74300000,1609927199999,893671.42624600,2920,173738.68700000,470247.37514200,0
2021-01-06 18:00:00,2.72400000,2.79700000,2.72100000,2.77300000,370615.89300000,1609930799999,1025145.68820200,2838,203265.18200000,561817.10886500,0
2021-01-06 19:00:00,2.77400000,2.78200000,2.72400000,2.74200000,252668.26600000,1609934399999,694906.25524100,2246,110957.17100000,305060.49582000,0
2021-01-06 20:00:00,2.74200000,2.92700000,2.74200000,2.88500000,850663.52800000,1609937999999,2428462.16522500,7063,426582.23800000,1217268.60044900,0
2021-01-06 21:00:00,2.88700000,2.91900000,2.82000000,2.88900000,494836.56800000,1609941599999,1417212.60093400,4297,253953.70400000,727596.65299900,0
2021-01-06 22:00:00,2.88700000,2.96000000,2.77700000,2.79600000,721329.94400000,1609945199999,2077253.36953500,5744,383713.43500000,1105430.25467100,0
2021-01-06 23:00:00,2.79700000,2.86000000,2.79500000,2.84800000,326066.92100000,1609948799999,926691.34738500,2286,151467.84700000,430271.10029300,0
2021-01-07 00:00:00,2.85000000,2.90900000,2.80000000,2.82900000,245389.95700000,1609952399999,702774.86857200,2278,124183.13600000,356215.45213500,0
2021-01-07 01:00:00,2.83000000,2.91000000,2.82400000,2.90800000,164849.13800000,1609955999999,474168.81676800,1550,95167.93300000,273709.78398700,0
2021-01-07 02:00:00,2.91000000,2.92500000,2.87500000,2.91800000,143770.46500000,1609959599999,417782.09571000,1312,64513.18700000,187446.98769600,0
2021-01-07 03:00:00,2.91700000,2.94100000,2.84000000,2.84600000,163940.80200000,1609963199999,476990.38066300,1576,85775.31300000,249631.99491000,0
2021-01-07 04:00:00,2.84600000,2.89100000,2.77500000,2.85300000,336572.02900000,1609966799999,954611.10825200,3149,163114.15200000,462128.17099700,0
2021-01-07 05:00:00,2.85400000,2.90500000,2.82900000,2.88500000,147935.67400000,1609970399999,423474.04224600,1454,81442.54800000,233318.10240500,0
2021-01-07 06:00:00,2.88700000,2.97000000,2.86300000,2.95900000,165169.02700000,1609973999999,483036.86740100,2184,90640.82400000,265157.22370200,0
2021-01-07 07:00:00,2.95800000,3.04500000,2.95600000,3.01300000,343103.20300000,1609977599999,1031020.14975600,3202,193789.34600000,582703.33295100,0
2021-01-07 08:00:00,3.01500000,3.09700000,2.93500000,3.09400000,351167.48400000,1609981199999,1065096.65790600,3472,202921.57700000,616500.89275300,0
2021-01-07 09:00:00,3.09400000,3.09800000,3.01600000,3.02700000,226165.23000000,1609984799999,688879.00686400,2088,116168.84300000,353891.01471000,0
2021-01-07 10:00:00,3.02700000,3.17200000,3.01500000,3.17000000,373765.28800000,1609988399999,1163193.68331600,3463,214648.44900000,668361.17486500,0
