openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01 01:00:00,1.48380000,1.54990000,1.48380000,1.53370000,174364.48000000,1609437599999,267053.87048100,2355,83176.92000000,127143.76056600,0
2021-01-01 02:00:00,1.53500000,1.55180000,1.51600000,1.52480000,50372.39000000,1609441199999,77411.73592300,866,23820.85000000,36641.62105700,0
2021-01-01 03:00:00,1.52420000,1.55230000,1.52420000,1.54950000,45025.03000000,1609444799999,69345.87165100,808,22094.19000000,34015.91068800,0
2021-01-01 04:00:00,1.54990000,1.55060000,1.52140000,1.52220000,64734.03000000,1609448399999,99299.45901500,890,28219.78000000,43293.86621300,0
2021-01-01 05:00:00,1.52140000,1.52240000,1.51010000,1.51830000,23782.05000000,1609451999999,36003.93474900,429,9638.73000000,14590.40846000,0
2021-01-01 06:00:00,1.51700000,1.52350000,1.50580000,1.51470000,32578.11000000,1609455599999,49340.37355500,533,16833.44000000,25490.70103200,0
2021-01-01 07:00:00,1.51330000,1.52120000,1.49060000,1.50730000,89317.30000000,1609459199999,134371.66511900,1027,47755.27000000,71775.12227800,0
2021-01-01 08:00:00,1.50880000,1.54420000,1.49900000,1.54420000,56894.22000000,1609462799999,86596.93842600,1040,28950.10000000,44111.01128600,0
2021-01-01 09:00:00,1.54420000,1.61000000,1.53220000,1.57340000,256745.01000000,1609466399999,406540.38944300,3240,152819.93000000,242110.52313200,0
2021-01-01 10:00:00,1.57440000,1.59080000,1.57050000,1.58720000,53278.27000000,1609469999999,84370.03960600,1031,25856.75000000,40977.01735300,0
2021-01-01 11:00:00,1.58720000,1.60570000,1.58220000,1.60290000,36968.00000000,1609473599999,58935.54430400,796,14130.44000000,22522.72270000,0
2021-01-01 12:00:00,1.60290000,1.60820000,1.58900000,1.60220000,46602.17000000,1609477199999,74409.90908800,573,25074.99000000,40010.47898700,0
2021-01-01 13:00:00,1.60280000,1.61840000,1.58240000,1.60280000,126437.05000000,1609480799999,202139.22113300,1566,48010.32000000,76659.55636500,0
2021-01-01 14:00:00,1.60280000,1.63200000,1.60280000,1.62610000,173511.78000000,1609484399999,281516.28909300,2627,52383.04000000,84879.93461500,0
2021-01-01 15:00:00,1.62790000,1.64100000,1.61290000,1.61960000,128387.39000000,1609487999999,208846.79090100,2339,39783.53000000,64807.51465700,0
2021-01-01 16:00:00,1.61830000,1.61910000,1.57010000,1.60500000,69466.55000000,1609491599999,110885.73152700,1395,23854.73000000,38082.64793100,0
2021-01-01 17:00:00,1.60710000,1.61970000,1.57370000,1.57830000,72983.37000000,1609495199999,115866.76759100,1212,42311.60000000,67196.90106700,0
2021-01-01 18:00:00,1.57780000,1.64900000,1.57590000,1.63300000,179587.53000000,1609498799999,290474.82120000,2682,95912.58000000,154984.83038200,0
2021-01-01 19:00:00,1.63200000,1.63700000,1.60620000,1.62720000,136686.82000000,1609502399999,221597.46168500,1549,89086.38000000,144424.41518800,0
2021-01-01 20:00:00,1.62750000,1.64490000,1.58730000,1.59960000,258836.10000000,1609505999999,416949.93282200,2230,156449.90000000,251837.48329100,0
2021-01-01 21:00:00,1.59810000,1.61330000,1.58080000,1.60270000,115773.85000000,1609509599999,184774.84636900,1384,59518.82000000,94976.98598500,0
2021-01-01 22:00:00,1.60130000,1.64670000,1.59270000,1.64200000,120772.56000000,1609513199999,196486.00878100,1471,61520.98000000,99969.85613400,0
2021-01-01 23:00:00,1.64240000,1.65790000,1.62400000,1.64630000,156363.42000000,1609516799999,257344.36660100,2183,77563.09000000,127631.26555700,0
2021-01-02 00:00:00,1.64780000,1.67490000,1.62380000,1.65620000,145366.46000000,1609520399999,239802.97553500,2093,53644.87000000,88308.15193400,0
2021-01-02 01:00:00,1.65620000,1.73350000,1.61550000,1.67570000,309085.65000000,1609523999999,518336.08497500,3900,177138.90000000,297596.02100000,0
2021-01-02 02:00:00,1.67790000,1.83270000,1.65940000,1.75690000,730252.34000000,1609527599999,1279161.07500200,7668,405939.79000000,710427.47516900,0
2021-01-02 03:00:00,1.75370000,1.81210000,1.71420000,1.72560000,373373.75000000,1609531199999,655627.75661500,4113,193859.97000000,339811.37662600,0
