openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01 01:00:00,156.97000000,157.83000000,156.80000000,157.13000000,1919.34666000,1609437599999,301894.28860300,923,965.67265000,151924.26608350,0
2021-01-01 02:00:00,157.28000000,157.68000000,155.68000000,156.08000000,4042.42171000,1609441199999,631823.38907820,1601,1641.85599000,256758.50555840,0
2021-01-01 03:00:00,156.03000000,157.81000000,155.88000000,157.52000000,4681.88015000,1609444799999,734364.63730580,1567,2824.18881000,442782.84669070,0
2021-01-01 04:00:00,157.51000000,157.97000000,156.85000000,157.34000000,2276.82350000,1609448399999,358357.72619910,1011,1066.13214000,167805.78869580,0
2021-01-01 05:00:00,157.34000000,158.40000000,156.62000000,157.01000000,6381.06487000,1609451999999,1006363.09395980,1619,3789.46455000,598577.66193330,0
2021-01-01 06:00:00,156.92000000,157.06000000,155.45000000,156.16000000,2330.94339000,1609455599999,363975.87704840,1153,923.26447000,144175.56136420,0
2021-01-01 07:00:00,155.98000000,157.19000000,155.36000000,156.22000000,1401.11131000,1609459199999,219165.98988530,795,811.42511000,126987.45155140,0
2021-01-01 08:00:00,156.20000000,157.10000000,155.21000000,156.92000000,2326.27320000,1609462799999,362952.23160850,1119,1221.60865000,190583.78427080,0
2021-01-01 09:00:00,156.92000000,160.48000000,156.92000000,160.01000000,4232.44673000,1609466399999,671306.92094080,2469,2386.35415000,378498.48626020,0
2021-01-01 10:00:00,160.01000000,161.50000000,159.86000000,161.32000000,3525.71498000,1609469999999,566640.58448010,1589,1839.78249000,295782.88533830,0
2021-01-01 11:00:00,161.41000000,161.76000000,159.55000000,159.75000000,3594.46402000,1609473599999,578553.89763370,1563,1610.53128000,259275.45721410,0
2021-01-01 12:00:00,159.82000000,160.50000000,159.51000000,159.88000000,1732.53648000,1609477199999,277185.14662820,889,854.30076000,136694.35486230,0
2021-01-01 13:00:00,159.88000000,160.15000000,159.07000000,160.04000000,2107.95962000,1609480799999,336423.69245270,992,1203.84750000,192155.40949220,0
2021-01-01 14:00:00,160.07000000,160.88000000,158.43000000,159.34000000,2509.92750000,1609484399999,401413.21929540,1215,1079.63990000,172675.72496470,0
2021-01-01 15:00:00,159.45000000,159.50000000,157.58000000,158.75000000,2100.21356000,1609487999999,332728.82736560,999,885.52916000,140244.86188420,0
2021-01-01 16:00:00,158.79000000,159.00000000,157.19000000,158.66000000,4000.13044000,1609491599999,633646.78015410,1695,1892.41661000,299812.00927540,0
2021-01-01 17:00:00,158.56000000,162.46000000,158.56000000,161.63000000,5239.44278000,1609495199999,842021.83872180,2643,2927.51355000,470336.71573520,0
2021-01-01 18:00:00,161.54000000,164.33000000,161.44000000,164.16000000,7913.65548000,1609498799999,1290966.25102800,3290,4831.73382000,787939.17188900,0
2021-01-01 19:00:00,164.19000000,165.96000000,163.68000000,163.93000000,5792.46393000,1609502399999,954038.93662270,3009,2664.72730000,439033.62007710,0
