openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-06-30 08:00:00,2.93080000,2.93340000,2.85210000,2.85560000,176295.13000000,1625043599999,510321.85449900,1477,78846.74000000,228191.67630600,0
2021-06-30 09:00:00,2.85560000,2.88470000,2.83870000,2.85020000,193053.01000000,1625047199999,551935.20962600,1395,103390.22000000,295564.58359300,0
2021-06-30 10:00:00,2.84780000,2.87940000,2.84680000,2.87030000,86789.11000000,1625050799999,248529.64900600,830,45777.28000000,131029.28431100,0
2021-06-30 11:00:00,2.87170000,2.89920000,2.85220000,2.89450000,154946.36000000,1625054399999,447284.82353500,1090,61892.24000000,178640.14853900,0
2021-06-30 12:00:00,2.89310000,2.90590000,2.86020000,2.86340000,125795.87000000,1625057999999,362828.24150900,1085,55343.04000000,159828.82274200,0
2021-06-30 13:00:00,2.86350000,2.87210000,2.82540000,2.86690000,154794.14000000,1625061599999,440274.36282700,1392,60184.73000000,171321.31438100,0
2021-06-30 14:00:00,2.86490000,2.87800000,2.82000000,2.82320000,164249.37000000,1625065199999,467720.31003400,1755,67954.62000000,193462.40851500,0
2021-06-30 15:00:00,2.82160000,2.82840000,2.75140000,2.76450000,355574.38000000,1625068799999,989139.89180900,3046,138099.95000000,384087.64690600,0
2021-06-30 16:00:00,2.76900000,2.80420000,2.75110000,2.76600000,125299.18000000,1625072399999,349068.55640900,1134,62517.68000000,174014.49200600,0
2021-06-30 17:00:00,2.76980000,2.81120000,2.76070000,2.80810000,164053.00000000,1625075999999,457823.37455300,1209,69780.82000000,194799.96825600,0
2021-06-30 18:00:00,2.80660000,2.85390000,2.79610000,2.84780000,206704.56000000,1625079599999,582645.69435500,1423,138697.45000000,390865.40687600,0
2021-06-30 19:00:00,2.84920000,2.92890000,2.83200000,2.92640000,297334.57000000,1625083199999,858879.32968300,2857,170343.12000000,491514.08035000,0
2021-06-30 20:00:00,2.92640000,2.94780000,2.88570000,2.92330000,157979.74000000,1625086799999,462167.80721600,1817,66654.00000000,195069.42019500,0
2021-06-30 21:00:00,2.92640000,2.96840000,2.92640000,2.95560000,106191.36000000,1625090399999,313377.96562400,1212,53881.08000000,159113.13010000,0
2021-06-30 22:00:00,2.95810000,2.99310000,2.92500000,2.99310000,168051.24000000,1625093999999,498241.88462700,1655,64988.69000000,192648.17571700,0
2021-06-30 23:00:00,2.99360000,3.04600000,2.98480000,3.04320000,168438.63000000,1625097599999,506892.06009900,2378,87080.74000000,262070.89216800,0
2021-07-01 00:00:00,3.04640000,3.06120000,3.01350000,3.01590000,488770.28000000,1625101199999,1485761.61186800,2903,242802.15000000,738433.02611900,0
2021-07-01 01:00:00,3.01700000,3.06610000,3.01670000,3.05830000,175623.83000000,1625104799999,535079.68086300,1389,101320.11000000,308668.47592500,0
2021-07-01 02:00:00,3.05640000,3.06390000,2.99310000,3.00860000,214555.11000000,1625108399999,646128.03647700,1432,91903.41000000,276713.30131800,0
2021-07-01 03:00:00,3.00640000,3.01410000,2.95860000,2.96400000,134938.72000000,1625111999999,402016.95029200,995,79777.02000000,237344.67726800,0
2021-07-01 04:00:00,2.96240000,3.02050000,2.96220000,3.01940000,105438.29000000,1625115599999,314938.35486400,835,43116.92000000,129055.03111600,0
2021-07-01 05:00:00,3.02000000,3.02620000,2.98110000,3.01680000,80591.50000000,1625119199999,242184.65810900,962,29743.03000000,89337.99439400,0
2021-07-01 06:00:00,3.01550000,3.03380000,2.90060000,2.91330000,181129.65000000,1625122799999,536834.52479100,2222,93824.25000000,277905.03480800,0
2021-07-01 07:00:00,2.90910000,2.93500000,2.89530000,2.89820000,136449.08000000,1625126399999,397993.79583400,1623,89930.71000000,262328.63549400,0
2021-07-01 08:00:00,2.89770000,2.91970000,2.87860000,2.90220000,160925.07000000,1625129999999,466596.43151600,1706,89451.22000000,259501.17523200,0
2021-07-01 09:00:00,2.89940000,2.92080000,2.86050000,2.88500000,106017.23000000,1625133599999,305891.25084700,1260,54570.89000000,157645.87520600,0
2021-07-01 10:00:00,2.88650000,2.91220000,2.86890000,2.90760000,109396.92000000,1625137199999,317156.57313300,1350,37447.50000000,108477.23790600,0
2021-07-01 11:00:00,2.90570000,2.97440000,2.90270000,2.96570000,308298.60000000,1625140799999,910830.62025900,2135,178137.59000000,526582.71404500,0
2021-07-01 12:00:00,2.96440000,2.97930000,2.92870000,2.95680000,142356.59000000,1625144399999,420717.72435400,1550,69758.54000000,206401.10724700,0
2021-07-01 13:00:00,2.95980000,2.97870000,2.90000000,2.90610000,166902.68000000,1625147999999,490085.79428800,1351,69217.45000000,203409.63096300,0
2021-07-01 14:00:00,2.90330000,2.92560000,2.86490000,2.89990000,167166.34000000,1625151599999,483101.56192200,1404,80528.48000000,232880.03761400,0
2021-07-01 15:00:00,2.89510000,2.94270000,2.89420000,2.90080000,113402.22000000,1625155199999,330566.90996400,1333,49419.04000000,144099.54420100,0
2021-07-01 16:00:00,2.89950000,2.90990000,2.83760000,2.84370000,178759.32000000,1625158799999,512853.15612300,1584,75539.17000000,216725.99494800,0
2021-07-01 17:00:00,2.84270000,2.88350000,2.83670000,2.87860000,99359.44000000,1625162399999,284526.57543100,971,65915.87000000,188786.52745200,0
2021-07-01 18:00:00,2.87740000,2.91030000,2.86940000,2.89490000,123660.07000000,1625165999999,357549.47155000,954,63575.45000000,183829.73070700,0
2021-07-01 19:00:00,2.89710000,2.89830000,2.84050000,2.87080000,159753.43000000,1625169599999,459026.34076900,1249,79186.06000000,227563.33999300,0
2021-07-01 20:00:00,2.87070000,2.90760000,2.87070000,2.90760000,114111.62000000,1625173199999,329535.64385800,723,64667.84000000,186517.74857400,0
2021-07-01 21:00:00,2.90530000,2.94460000,2.89090000,2.93360000,90088.12000000,1625176799999,263104.44673600,1013,44115.77000000,128804.78379300,0
2021-07-01 22:00:00,2.93370000,2.94760000,2.92780000,2.94350000,28438.65000000,1625180399999,83526.04656200,385,14707.22000000,43201.95991700,0
2021-07-01 23:00:00,2.94340000,2.95850000,2.91590000,2.94190000,106406.93000000,1625183999999,312731.91080100,959,62821.38000000,184669.10926000,0
2021-07-02 00:00:00,2.94190000,2.98220000,2.92660000,2.95660000,190803.68000000,1625187599999,563338.03255000,1632,86233.48000000,254629.59945800,0
2021-07-02 01:00:00,2.96040000,2.96050000,2.85580000,2.86410000,206044.58000000,1625191199999,596807.39414000,1607,118131.51000000,342607.56781300,0
2021-07-02 02:00:00,2.86490000,2.87310000,2.84680000,2.87210000,75420.17000000,1625194799999,215681.80375400,720,33395.39000000,95433.47063100,0
2021-07-02 03:00:00,2.86720000,2.87230000,2.77950000,2.79770000,235798.22000000,1625198399999,663414.78451400,2034,94641.37000000,266315.82198700,0
2021-07-02 04:00:00,2.79590000,2.82590000,2.79370000,2.82110000,104199.65000000,1625201999999,293227.50247000,784,64586.86000000,181742.64094500,0
2021-07-02 05:00:00,2.81700000,2.82950000,2.77250000,2.78200000,111408.24000000,1625205599999,311369.57910300,835,44123.55000000,123587.57457900,0
2021-07-02 06:00:00,2.78450000,2.81010000,2.76630000,2.80130000,100295.21000000,1625209199999,279663.26430800,793,56045.64000000,156327.06798100,0
2021-07-02 07:00:00,2.80020000,2.83420000,2.78880000,2.82420000,67934.78000000,1625212799999,191141.73213600,630,28381.40000000,79809.00928400,0
2021-07-02 08:00:00,2.82250000,2.83970000,2.80370000,2.81520000,75144.78000000,1625216399999,212337.27641800,596,31294.92000000,88375.60909000,0
2021-07-02 09:00:00,2.81460000,2.81480000,2.76380000,2.76920000,111405.68000000,1625219999999,309895.64929500,891,45673.01000000,127111.63553300,0
2021-07-02 10:00:00,2.76920000,2.78260000,2.75000000,2.77230000,77332.45000000,1625223599999,213665.50009400,905,34795.46000000,96157.42706000,0
2021-07-02 11:00:00,2.77540000,2.80690000,2.74810000,2.76490000,191917.80000000,1625227199999,532907.55014800,1394,89641.04000000,249003.65319100,0
2021-07-02 12:00:00,2.76290000,2.80540000,2.74870000,2.79370000,185017.72000000,1625230799999,512459.04986900,1125,103068.25000000,285738.85458800,0
2021-07-02 13:00:00,2.79620000,2.83330000,2.77980000,2.80270000,115857.08000000,1625234399999,325546.36820500,1120,54881.58000000,154330.71030600,0
2021-07-02 14:00:00,2.80350000,2.83190000,2.78600000,2.83190000,83910.86000000,1625237999999,236230.87884600,806,58741.72000000,165443.76923900,0
2021-07-02 15:00:00,2.83190000,2.84610000,2.80890000,2.84330000,140994.28000000,1625241599999,398955.59342300,995,61025.82000000,172760.98771800,0
2021-07-02 16:00:00,2.84560000,2.85130000,2.82210000,2.84160000,61578.24000000,1625245199999,174788.44590800,542,27883.09000000,79142.62405700,0
2021-07-02 17:00:00,2.83830000,2.85000000,2.82110000,2.83700000,45470.90000000,1625248799999,128964.39278200,536,20714.42000000,58758.69176800,0
2021-07-02 18:00:00,2.83720000,2.83720000,2.80950000,2.82100000,43641.09000000,1625252399999,123226.82514800,474,17599.66000000,49689.08988400,0
2021-07-02 19:00:00,2.82020000,2.86110000,2.81780000,2.86060000,97393.78000000,1625255999999,276451.75163000,608,44777.50000000,127048.37496100,0
2021-07-02 20:00:00,2.85860000,2.87630000,2.84280000,2.87490000,151209.44000000,1625259599999,432130.67549800,1158,95345.16000000,272498.40777400,0
2021-07-02 21:00:00,2.87430000,2.96040000,2.87290000,2.95960000,337926.07000000,1625263199999,989550.99220400,2714,233468.36000000,683756.74210000,0
2021-07-02 22:00:00,2.96080000,2.96910000,2.93240000,2.93500000,226306.09000000,1625266799999,667696.01276000,1758,69760.05000000,205933.06783700,0
2021-07-02 23:00:00,2.93500000,2.97110000,2.93340000,2.95290000,129110.94000000,1625270399999,381213.57702800,872,79281.47000000,234092.74170500,0
2021-07-03 00:00:00,2.95210000,2.97180000,2.92510000,2.93280000,103847.23000000,1625273999999,306177.82848100,982,42790.90000000,126266.17522500,0
2021-07-03 01:00:00,2.93280000,2.93800000,2.91490000,2.93090000,85107.87000000,1625277599999,249135.73002300,676,36789.40000000,107652.13056200,0
2021-07-03 02:00:00,2.93260000,2.93260000,2.89090000,2.89820000,71031.74000000,1625281199999,206353.82165400,637,23156.61000000,67212.89366900,0
2021-07-03 03:00:00,2.89660000,2.90470000,2.88060000,2.90280000,48027.79000000,1625284799999,138918.93612100,813,26398.58000000,76385.11154200,0
2021-07-03 04:00:00,2.90110000,2.91410000,2.89060000,2.89930000,35344.56000000,1625288399999,102630.52488900,552,17411.80000000,50554.98335000,0
2021-07-03 05:00:00,2.89930000,2.91020000,2.87360000,2.90450000,55818.96000000,1625291999999,161341.31911900,790,21232.24000000,61377.57749400,0
2021-07-03 06:00:00,2.90270000,2.90500000,2.88500000,2.89420000,39922.53000000,1625295599999,115639.78803400,364,22131.79000000,64075.73657500,0
2021-07-03 07:00:00,2.89600000,2.96950000,2.88760000,2.95450000,104885.51000000,1625299199999,307766.10441000,1408,61125.89000000,179426.34587800,0
2021-07-03 08:00:00,2.95470000,2.98100000,2.94170000,2.97300000,105535.67000000,1625302799999,312922.39806500,1512,58223.65000000,172686.89920600,0
2021-07-03 09:00:00,2.97340000,2.98770000,2.96330000,2.98330000,108387.07000000,1625306399999,322488.28056600,883,56289.94000000,167503.30551800,0
2021-07-03 10:00:00,2.98320000,2.98920000,2.96890000,2.98270000,94207.05000000,1625309999999,280719.85346900,556,24897.70000000,74146.67487400,0
2021-07-03 11:00:00,2.98180000,2.98340000,2.95500000,2.97790000,128304.41000000,1625313599999,381137.68976500,759,63225.86000000,187733.90707100,0
2021-07-03 12:00:00,2.97830000,3.00040000,2.97370000,2.99170000,186107.65000000,1625317199999,556952.19217500,1478,117448.39000000,351560.42573500,0
2021-07-03 13:00:00,2.99180000,2.99590000,2.97610000,2.99430000,56214.40000000,1625320799999,167644.80577500,681,27478.79000000,81968.52770300,0
2021-07-03 14:00:00,2.99100000,3.00000000,2.97620000,2.99790000,120938.69000000,1625324399999,361349.57723600,831,68842.18000000,205720.17950900,0
2021-07-03 15:00:00,2.99790000,3.02590000,2.97690000,3.01870000,131010.54000000,1625327999999,392596.26525800,1285,73751.50000000,221149.88911400,0
2021-07-03 16:00:00,3.01740000,3.02740000,2.97560000,2.98110000,124006.48000000,1625331599999,371507.46559100,1584,61991.50000000,185621.50842900,0
2021-07-03 17:00:00,2.98110000,3.00630000,2.98080000,3.00010000,37961.00000000,1625335199999,113578.93789300,562,23086.59000000,69088.70262600,0
2021-07-03 18:00:00,2.99460000,3.00050000,2.98000000,2.99030000,30429.12000000,1625338799999,90914.82847800,382,14984.92000000,44758.91567100,0
2021-07-03 19:00:00,2.98840000,3.01010000,2.98230000,3.01000000,38239.93000000,1625342399999,114494.43670800,386,25439.09000000,76162.35644700,0
2021-07-03 20:00:00,3.00960000,3.01210000,2.98550000,2.99410000,79161.69000000,1625345999999,237442.91814200,391,57524.96000000,172515.97004200,0
2021-07-03 21:00:00,2.99300000,3.01170000,2.97030000,2.97100000,74530.82000000,1625349599999,223254.67070600,612,31870.11000000,95490.68397800,0
2021-07-03 22:00:00,2.97230000,2.99740000,2.95420000,2.99260000,89273.90000000,1625353199999,265236.26798900,960,47721.95000000,141842.93619000,0
2021-07-03 23:00:00,2.99150000,3.02850000,2.96360000,3.02850000,62610.55000000,1625356799999,187506.06069200,751,35295.81000000,105773.60877000,0
2021-07-04 00:00:00,3.02730000,3.03170000,2.96000000,2.96060000,68272.67000000,1625360399999,204657.23233100,1011,24531.09000000,73524.27004900,0
2021-07-04 01:00:00,2.96280000,2.96640000,2.91700000,2.91770000,90809.54000000,1625363999999,266770.93964900,1439,25014.71000000,73514.32771500,0
2021-07-04 02:00:00,2.91670000,2.95500000,2.91010000,2.94710000,80292.40000000,1625367599999,235967.49629200,1048,28339.46000000,83303.82402100,0
2021-07-04 03:00:00,2.94710000,2.95830000,2.93990000,2.94180000,96825.36000000,1625371199999,285531.25906300,1117,29327.00000000,86545.20748200,0
2021-07-04 04:00:00,2.94000000,2.97340000,2.93980000,2.97190000,70205.66000000,1625374799999,207825.82781000,1020,32073.94000000,95015.44085300,0
2021-07-04 05:00:00,2.97040000,3.00460000,2.95700000,2.99390000,106340.84000000,1625378399999,316951.48966100,1313,50443.20000000,150285.32462000,0
2021-07-04 06:00:00,2.99540000,3.01950000,2.98910000,3.01650000,70206.36000000,1625381999999,210842.43875000,1174,35610.35000000,106934.18783500,0
